Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.5303732547658406,0.5393173016515853,0.5322970742429856,0.5592798632261459,0.5899430143868271,0.618123676622514,0.5580261028566116,0.4833477875944571,0.4904515237224214,0.5005283257540258,0.5026726337509264,0.4051943754884339,0.5,0.597727076666879,0.5895274457110715,0.5378966217961956,0.5724809107646857,0.5,0.5590317822605251,0.5083002223152846,0.4872797968191302,0.4244934313094047,0.5,0.5530348344819473,0.5441660663567174,0.4843928657956178,0.3992419852766412,0.5,0.5649933086381628,0.5360473825175408,0.5106732013847993,0.46965749467647677,0.5,0.4786998214913119,0.48208592133893385,0.46928298691000137,0.5222980461619355,0.5
census-income-full-nominal,0.676785679476477,0.4782199425280976,0.3776926799953963,0.4854469206681754,0.2833839431318115,0.5,0.3038413780071641,0.614083942086795,0.4566403489992923,0.5182835076693075,0.48944541153236065,0.4972586633721724,0.5059757547714019,0.5,0.5,0.5,0.5063685297346697,0.5,0.4046790840294583,0.34041226267431224,0.36304802031385386,0.4754884224110203,0.6098335494931216,0.39362335111300956,0.35266993891008,0.3579755466809868,0.47782650059028936,0.6078036417093983,0.43731289900371734,0.4644636058775454,0.4372942784997683,0.4867417495787552,0.6103571742760076,0.5003061121256469,0.502273531714198,0.5006537178922108,0.5000416541582013,0.5
chess_krkopt_zerovsall,0.34803966262455677,0.7219969264637287,0.6386731731553166,0.3509757750900852,0.3042325210793583,0.3051786311267563,0.8323363500501465,0.2382743798420419,0.5194925097418943,0.7467186762916186,0.5354408066777399,0.4017380147281321,0.3602649636685813,0.4857905106219351,0.5983326792488732,0.5,0.5025866067287452,0.5,0.4576014524639163,0.43202701434889523,0.5742693744441933,0.39421756302665356,0.7458572668783521,0.44281081895338553,0.4269664487706515,0.49917506075057183,0.47423382924827856,0.6688577174698691,0.4899628427171329,0.3665537545108703,0.4776491411672831,0.4858735595276321,0.6473282962222988,0.5108650696434777,0.4794339989138234,0.5,0.4979835699269144,0.5
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.6221922731356693,0.1725067385444743,0.3086253369272237,0.5215633423180592,0.9209098179078642,0.5229110512129379,0.22911051212938,0.5404312668463611,0.6043126684636119,0.4830188679245283,0.4533692722371967,0.39509924038225924,0.45653638814016173,0.5,0.5,0.5,0.5283018867924528,0.5,0.35929919137466304,0.32803234501347706,0.3638814016172506,0.386351384464592,0.6110736747529201,0.3486073674752919,0.37960467205750215,0.3665768194070081,0.4531817649126919,0.5176200459219327,0.38769092542677447,0.31940700808625333,0.4797843665768194,0.47064338450720733,0.5169711490466207,0.5970350404312669,0.5,0.6132075471698113,0.47529200359389034,0.5094339622641509
solar-flare_FvsAll-cleaned,0.47941323345817727,0.5076529338327092,0.530749063670412,0.4927867942849216,0.736441947565543,0.7376404494382023,0.67729088639201,0.3289138576779026,0.5085374051666187,0.5055027369634111,0.5440795159896283,0.44440603092288483,0.48605589167386914,0.479717660616537,0.5053202727360031,0.5,0.5,0.5,0.4910016325746662,0.44974551041966776,0.4401805435513301,0.5031499087678862,0.46655142610198785,0.46963891289733983,0.4656343032747527,0.45375012004225485,0.5138816863535964,0.5120810525304907,0.4688178238740036,0.4336982617881494,0.47040238163833664,0.5195428790934409,0.47807548256986465,0.5103716508210889,0.4959185633342936,0.527753769326803,0.5049937578027466,0.5
lymphography,0.0093896713615023,0.9906103286384976,0.9976525821596244,0.0023474178403755,0.982394366197183,0.9741784037558686,0.9929577464788732,0.0704225352112675,0.721830985915493,0.8306338028169014,0.5868544600938967,0.6356807511737089,0.6343896713615024,0.9626760563380282,0.9730046948356808,0.9269953051643192,0.5,0.9190140845070423,0.9789906103286385,0.998943661971831,0.9967136150234742,0.8009389671361502,0.9954225352112676,0.9896042924211939,0.9954728370221329,0.9786217303822937,0.8419684775318578,0.9462608987256874,0.8127095908786048,0.723943661971831,0.9276492287055668,0.6784875922199866,0.857645875251509,0.4154929577464788,0.5985915492957746,0.4342723004694835,0.5522300469483568,0.3028169014084507
nursery,0.5,0.5,0.5,0.5,0.7342992874109263,0.3231833777201948,0.0489289570287195,0.6836787111015139,0.49142743347969003,0.5,0.5352525732383215,0.5035236929868758,0.4430444948295304,0.5594358819789342,0.5,0.40489201696297894,0.5,0.3995556515271479,0.5434707406607644,0.5,0.46818028263633965,0.5215268600494254,0.6135190863504403,0.5517973439861801,0.5,0.5,0.5260347777057991,0.5865002039396339,0.5548314019050361,0.5,0.5,0.5286158437102617,0.5841675184145493,0.5050581827778978,0.5,0.5,0.5,0.5
cmc-nominal,0.6447426115934403,0.4220928702972902,0.3736845566956064,0.4830636674559326,0.5023349118652987,0.5857340173638517,0.447744014732965,0.6086227308602999,0.5329518547750591,0.40914890818205735,0.45908313601683765,0.4036700868192581,0.49113391212838725,0.5,0.5,0.5,0.5540449881610103,0.43556300973428047,0.3654893449092344,0.3701197053406998,0.3485201262825572,0.35265061825835303,0.35107208629308073,0.34996053670086813,0.3829354117337543,0.436473954222573,0.43661536437779536,0.3484379110760326,0.34820113128124175,0.42725927387529594,0.4084254143646408,0.45083530649828996,0.40659037095501177,0.5167719021310182,0.4604051565377532,0.5276243093922652,0.4959550118389896,0.4830965535385425
Average AUC,0.476±0.22,0.542±0.24,0.532±0.22,0.424±0.18,0.632±0.26,0.571±0.22,0.511±0.32,0.446±0.21,0.541±0.08,0.562±0.15,0.513±0.05,0.461±0.08,0.485±0.08,0.573±0.16,0.583±0.16,0.546±0.16,0.52±0.03,0.532±0.16,0.52±0.2,0.491±0.22,0.505±0.21,0.482±0.14,0.612±0.2,0.512±0.21,0.506±0.21,0.51±0.2,0.515±0.14,0.586±0.17,0.508±0.14,0.471±0.12,0.526±0.17,0.511±0.07,0.575±0.14,0.504±0.05,0.502±0.04,0.509±0.05,0.506±0.02,0.474±0.07
Average Rank,16.75±14.85,17.0±10.99,17.875±13.22,20.5±10.93,12.375±15.8,14.0±14.65,18.75±16.29,19.5±17.58,18.0±11.1,15.375±7.95,16.875±8.48,27.125±7.4,23.125±9.05,13.125±7.68,11.375±4.0,16.5±7.89,12.75±9.19,19.5±7.52,21.25±10.59,24.875±12.08,26.25±12.81,25.625±8.07,13.25±13.48,22.625±11.82,23.125±11.26,24.125±8.71,21.5±9.1,13.5±11.26,22.25±11.12,25.875±8.41,22.125±5.3,20.0±8.38,15.125±9.91,15.875±11.18,20.0±7.78,15.375±12.28,17.875±6.15,18.0±7.48
