Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
creditA_plus_42_variant1ori,-0.0548302872062663,0.7086659206763646,0.5629988810145468,-0.04980728583861741,0.39221683451448464,0.7388039288822579,0.7187119234116622,-0.0046002735297774,0.06823324630113142,0.11796095984085539,0.1892875792614696,0.07978614944672385,0.0,0.0,0.0,0.0,0.0,0.0,0.3414845207012309,0.5695287827924903,0.4645480542086286,0.3249086161879896,0.0,0.2560934974511998,0.2616187989556136,0.41381574039537483,0.512266567201293,0.0,0.13152306353350737,0.04763894069377098,0.010468730573169226,0.1923013800820589,0.0,0.02051473330846699,-0.02469227900037298,0.0054457292055203515,-0.014646276265075201,0.0
anneal,-0.03798701298701295,0.06731601731601726,0.15005411255411255,-0.053030303030303,0.01842532467532462,-0.045508658008657984,-0.041747835497835464,-0.053030303030303,0.06806818181818178,0.20195346320346316,0.17149080086580082,0.041742424242424185,0.05101911976911971,0.24181818181818177,0.24407467532467528,0.17449945887445886,0.0,0.12623556998556998,0.1395238095238095,0.4783739177489177,0.3617884199134198,0.23805735930735927,0.15882936507936504,0.1632169913419913,0.5859334415584415,0.3238041125541125,0.20834686147186143,0.19142316017316013,0.045127164502164446,0.12636093073593072,0.1286174242424242,-0.012789502164502168,-0.03422619047619046,-0.00790043290043291,-0.041747835497835464,-0.011661255411255409,-0.007900432900432918,-0.027958152958152932
australian,-0.07596375364767316,0.263477192443557,0.3595453847335279,-0.07916602672400552,0.08414990016894483,0.07134080786361541,0.22825218860390106,-0.07596375364767316,0.037076485946859146,0.11168944862540314,0.2170442328367378,0.04892489632928888,0.24639840270311777,0.2714828751343879,0.21800491475963754,0.29902242359084624,0.0,0.13965596682537243,0.2775671939794194,0.24074105360159728,0.24938719090769465,0.1879035478421133,0.3520734142220857,0.2615558285977576,0.19462832130241128,0.31759560743357396,0.12161649516203346,0.24106128090923054,0.13218399631393024,0.026188757487329125,-0.0035923821225618234,0.0562901244048533,-0.04500844724312701,0.004093073260635839,0.00409307326063584,0.023306711718629997,0.04252035017662416,-0.014053140838580868
crx,-0.08623074229691877,0.3053571428571429,0.34281337535014006,-0.08623074229691877,0.0840248599439776,0.09424019607843136,0.20660889355742298,0.07040441176470588,-0.010977766106442566,0.046228116246498606,0.046568627450980386,0.11909751400560223,0.21682422969187673,0.0874299719887955,0.11977853641456582,0.11875700280112043,0.0,0.07607959850606906,0.12182160364145656,0.15893732492997198,0.12182160364145656,0.24542717086834734,0.24066001400560222,0.09628326330532211,0.08674894957983191,0.12352415966386554,0.19707457983193277,0.12942635387488327,0.02647846638655462,-0.010637254901960769,-0.017787990196078428,0.12692927170868346,-0.030613912231559272,0.036353291316526606,0.03635329131652662,0.05337885154061624,-0.04877450980392154,0.03521825396825397
german,-0.0585714285714285,0.07214285714285709,0.04428571428571425,-0.04571428571428565,0.0657142857142857,0.01428571428571428,0.05499999999999998,-0.0628571428571428,0.054357142857142826,0.002285714285714298,0.01942857142857142,0.0029285714285714397,0.025000000000000005,0.04599999999999996,0.06121428571428569,0.061428571428571395,0.0,0.05499999999999997,0.023499999999999986,0.06657142857142855,0.039571428571428535,0.010642857142857112,0.06071428571428567,0.027142857142857118,0.019428571428571424,0.047071428571428535,0.014928571428571423,0.03071428571428567,0.023071428571428552,0.0014285714285714407,0.04857142857142854,0.06442857142857139,0.023571428571428566,0.014285714285714252,0.01000000000000002,-0.00714285714285712,0.00571428571428573,0.007142857142857132
heart,-0.06994871794871789,0.16410256410256413,0.30620512820512824,-0.06994871794871789,-0.003076923076923033,0.22261538461538466,0.11394871794871797,-0.06158974358974352,0.11144102564102566,0.15574358974358976,0.09973846153846155,0.03203076923076927,0.1278803418803419,0.026179487179487218,-0.010042735042734997,0.05125641025641029,0.0,0.16874643874643874,0.16744615384615386,0.12983076923076925,0.2568871794871795,0.03453846153846157,0.23933333333333334,0.17768589743589744,0.07319871794871799,0.2267948717948718,0.09305128205128207,0.2267948717948718,-0.03860256410256404,-0.016660256410256355,-0.03964743589743584,0.05857051282051284,-0.017008547008546957,-0.011435897435897383,-0.011435897435897381,-0.036512820512820454,-0.003076923076923022,-0.0030769230769230375
scenario-1-4-rcat-0-icat,-0.0489878089699138,0.980840405315618,0.982037879983392,0.0,0.8886348558970297,0.0,0.96287828529901,-0.0489878089699138,0.6568037602160076,0.4854451352575662,0.5340626067691855,0.4278466037376429,0.4163508469270137,0.0,0.0,0.0,0.0,0.0,0.9972458082641202,0.9955693437292368,1.0,0.8094817803571767,0.9976050506644523,0.9997605050664452,0.9978445455980068,0.9997605050664452,0.9750925269103033,0.9997605050664452,0.5390920003738358,0.45993892483398263,0.7702046112541935,0.7073371911960651,0.6581209823505588,0.0,0.0,0.0,-0.0130635689366976,-0.0154585182722453
scenario-1-5-rcat-0-icat,-0.0489878089699138,0.9880252533222612,0.9880252533222612,0.0,0.9341388932724368,0.0,0.9772479813122964,-0.0489878089699138,0.6721314359635133,0.4631721064369721,0.5411277073090514,0.4332352397426253,0.32043312603832685,0.0,0.0,0.0,0.0,0.0,0.9985630303986713,0.9979642930647845,1.0,0.8419333438538485,-0.0489878089699122,0.9997605050664452,0.9984432829318939,0.9997605050664452,0.9764097490448547,-0.0489878089699122,0.5768124524087128,0.42820584613797497,0.7442194109635004,0.6982363837209837,-0.04359917296492988,0.0,0.0,0.0,-0.0130635689366976,0.0025036017443629
scenario-1-6-rcat-0-icat,-0.0489878089699138,0.9952101013289044,0.9952101013289044,0.0,0.9688656586378792,0.0,0.9868277786544872,-0.0489878089699138,0.6489004274087,0.4484431680233535,0.5285542232974257,0.44652720855491534,0.32294782284065193,0.0,0.0,0.0,0.0,0.0,0.9995210101328904,0.9990420202657809,1.0,0.8555845550664708,-0.0489878089699122,1.0,0.9998802525332227,1.0,0.9808404053156179,-0.0489878089699122,0.5965707844269817,0.4096449887874799,0.7482908248339316,0.6954821919851037,-0.04503614256625848,0.0,0.0,0.0,-0.0118660942689237,0.0084909750832319
scenario-1-7-rcat-0-icat,-0.0489878089699138,0.998802525332226,0.998802525332226,0.0,0.9760505066445224,0.0,0.9940126266611308,-0.0489878089699138,0.6709339612957393,0.4953841750000894,0.586751492151236,0.4490419053572404,0.3253427721762002,0.0,0.0,0.0,0.0,0.0,0.999401262666113,0.9995210101328904,1.0,0.8772588465531779,-0.0489878089699122,1.0,0.9998802525332227,1.0,0.9814391426495049,-0.0489878089699122,0.6065098241695048,0.3928803434386457,0.7268560282807793,0.6914107781146727,-0.04479664763270391,0.0,0.0,0.0,-0.0118660942689237,0.0120833990865552
