Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
sick_sick_35_variant1ori,0.0098759522023373,0.0270714237391333,0.1016488102967169,0.0099153911536301,0.0116950920427076,0.0404399079930994,0.0626306916200533,0.0100518029606132,0.08478395828761626,0.08797105769111192,0.11274196447473786,0.011241616220064709,0.05411768566410287,0.0,0.0,0.0,0.0,-0.0100632547441058,0.08462516115558769,0.09201273161802549,0.10091574358176685,0.04670916483659202,0.055078143413964574,0.10103600471017815,0.1034205273005732,0.15177348953184883,0.04012539748739036,0.04779611390465665,0.04418134585072064,0.04223298509524148,0.07637644334091906,0.058873027007874154,0.0098647125140924,0.0777683326249468,0.0386144924724776,0.0205006189585256,0.0445347590258458,0.0098647125140924
thyroid_disease_variant1ori,0.17464877318513883,0.051520357155147044,0.04866482493161186,0.16433588731315668,0.11778040810269312,0.05965848342936671,0.0485405050836339,0.05876272935096516,0.08465016355317888,0.08396440050870503,0.08708579097669522,0.049040647185262395,-0.03223696472250389,0.0,0.0,0.0,0.0,-0.0537595350526698,0.07816847003236813,0.048857066308733606,0.048580507722016976,0.0508573146090136,-0.0537595350526698,0.1515524320364076,0.15354847181724737,0.0485405050836339,0.04952705937460529,0.026540129277157654,0.07996746333624068,0.07345029231209294,0.05899380036834831,0.05232712191046796,0.048552818130137274,0.0,0.0,0.0,0.0485405050836339,0.0
ecoli,0.033202334863490036,0.1887976822790922,0.4560172692930383,0.0260869565217391,0.0752293577981651,0.3976589686807972,0.0892410341951626,0.0260869565217391,0.7164421022528785,0.6530970777534739,0.7544425193222308,0.16179636876884582,0.1509415741187832,0.34040262310095015,0.34040262310095015,0.34040262310095015,0.0,-0.027522935779816505,0.696249798808949,0.6260033119386929,0.729599227426364,0.19759189302632368,0.40674664784756526,0.6579380420502925,0.6579380420502925,0.6579380420502925,0.29694623655913976,0.5493078200814434,0.4853972852620848,0.4780098654623607,0.4421254655144663,0.18574154967921547,0.026118215934159833,0.0333172380492515,0.0306387398303617,0.0295616717635066,0.0324159021406727,0.0260869565217391
heart,0.0738636363636363,0.3104471483622639,0.36986137025786964,0.0740470995670995,0.08484855328114935,0.36102140138649774,0.22860066540977647,0.07943977992357973,0.247703000062528,0.261877017802357,0.23687017288087614,0.13114804267864963,0.15352473449213183,0.19587723212757152,0.18578615458204403,0.21397799675485216,0.0,-0.0866666666666666,0.2960642581830885,0.25616905197106954,0.3360865862368033,0.20154692064778967,-0.03561058201058198,0.29461285867495624,0.26099379088670827,0.332676600515607,0.22922314459193394,0.10824299920561442,0.14792845259970638,0.13557197002067362,0.13783844909415735,0.16444913327018645,0.07409384402315429,0.10706545897468638,0.10815475216932273,0.10095315803063216,0.08373346414651604,0.0738636363636363
hepatitis,0.04607397793640491,0.4776119402985074,0.3731343283582089,0.0487859211405658,0.0781387181738366,0.3731343283582089,0.2537313432835821,0.0516647531572904,0.27408111668149504,0.24251857941521102,0.22518041005865036,0.07267604381271393,0.1375459226991041,0.1159586681974741,0.2010535557506584,0.1100055279159756,0.0,-0.044776119402985,0.3475275139454243,0.2727411891590995,0.21359379572724607,0.10993818811175582,-0.044776119402985,0.22718140068886336,0.24156992813709224,0.18918479497935156,0.1988751892710361,0.061051306791366104,0.09819324430479176,0.06383257579331993,0.09822681464472503,0.08735134558074642,0.0414934460119493,0.1511194029850746,0.1010065949323151,0.1451831750339212,0.0614722995193523,0.0410958904109588
lymphography,0.0389610389610389,0.7915492957746479,0.9198266522210184,0.0389610389610389,0.7594799566630551,0.7594799566630551,0.7915492957746479,0.0394918530792598,0.2623492735066525,0.34987351369332914,0.25243063440311536,0.25846099991763444,0.14508682783571783,0.6000266961244591,0.6750572554614196,0.6518533110082405,0.0,-0.0422535211267605,0.7048960077844219,0.951895991332611,0.929839643924151,0.26698653459216837,0.3994634473507713,0.8138832997987927,0.8976835371201568,0.7593411283552128,0.4788732394366197,0.04030620765814531,0.4233549498905939,0.24727638558624476,0.5591061925140701,0.34330739682852357,0.03919154386195034,0.2183098591549296,0.1390079608083282,0.0389610389610389,0.093692590324556,0.0389610389610389
nursery,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0867507087034527,0.0263631814618588,0.0248306997742663,0.0850258790900744,0.026967856287836472,0.0248306997742663,0.04364238594597257,0.275212206060255,-0.026128266033254098,0.04006313978360609,0.0,0.034255999321619476,0.0,-0.0261282660332541,0.034173738365831416,0.0248306997742663,0.0295978276098795,0.36731134502927815,-0.026128266033254098,0.03830987706564487,0.0248306997742663,0.0248306997742663,0.3560543050172193,0.03285971751436154,0.03777238841474064,0.0248306997742663,0.0248306997742663,0.2869706287255064,0.0248306997742663,0.0248306997742663,0.0,0.0248306997742663,0.0,0.0248306997742663
cmc-nominal,0.1367746900854841,0.0470739208627545,0.0470739208627545,0.0467445742904841,0.0669208621897128,0.0833524444907745,0.0496794290573078,0.1329197764207941,0.08187366474014904,0.058531941944648405,0.05987815830498968,0.05053813529528317,-0.0515653775322283,0.0,0.0,0.0,0.0581141713415614,-0.0515653775322283,0.04856561701308449,0.047970253072841015,0.056816594270419817,0.0467445742904841,-0.0515653775322283,0.050115950673828326,0.05022856790095783,0.04682732677518335,0.0467445742904841,0.0435879793077487,0.06854800040108466,0.05525459647972332,0.051099416349404216,0.04806173366106932,0.0467445742904841,0.0522454641254322,0.0519278757925603,0.0519278757925603,0.0467445742904841,0.0467445742904841
Average ADJ_MAX_F1,0.067±0.06,0.24±0.28,0.293±0.31,0.054±0.05,0.16±0.24,0.263±0.26,0.194±0.26,0.06±0.04,0.222±0.22,0.22±0.21,0.222±0.23,0.126±0.1,0.066±0.09,0.162±0.21,0.175±0.24,0.169±0.23,0.007±0.02,-0.043±0.02,0.286±0.28,0.29±0.33,0.306±0.34,0.161±0.12,0.081±0.2,0.292±0.29,0.299±0.31,0.276±0.29,0.212±0.16,0.114±0.18,0.173±0.18,0.14±0.15,0.181±0.2,0.153±0.11,0.039±0.02,0.083±0.07,0.059±0.05,0.051±0.05,0.051±0.03,0.033±0.02
Average Rank,22.375±14.25,14.375±9.2,10.5±9.07,25.875±11.15,16.625±11.43,10.125±7.57,15.75±7.25,22.25±12.85,9.5±6.41,10.5±4.66,8.75±7.25,20.625±7.78,26.75±8.43,21.25±9.38,23.375±9.32,21.375±9.09,31.125±9.45,37.5±0.76,9.625±5.24,11.5±7.39,8.875±7.04,17.625±7.41,28.875±10.71,7.875±4.61,8.375±5.83,12.625±9.12,16.5±7.33,23.0±8.49,14.625±6.78,18.5±6.72,16.375±4.07,17.5±6.93,28.625±6.05,20.625±7.37,25.5±6.05,24.25±7.55,27.375±4.21,29.875±6.08
