Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
census-income-full-nominal,0.1790644572572939,0.0969219156165486,0.0796221659325438,0.0862999896471136,0.0796286918726723,0.0,0.0796221659325438,0.138861940625464,0.08262296910467411,0.10007304776731862,0.08564359392310984,0.05213507731898651,-0.0552889106036873,0.0,0.0,0.0,0.05104202533756736,0.0,0.07963289781970065,0.07962608157262734,0.07963357585893543,0.050645858078972705,-0.05397191885161733,0.08059870407683985,0.07962521146899793,0.0796221659325438,0.05013043377288012,0.0666280691390718,0.07974678201756455,0.0796251019811903,0.08081795748801487,0.052480339055198076,0.0497839138760933,0.0796221659325438,0.0796221659325438,0.0796221659325438,0.0497839138760933,0.0
bands_band_16_variant1ori,0.0497420497420497,0.2878411910669975,0.3530571992110454,0.0470835207677313,0.1489621489621489,0.0531931836279662,0.1903919834954318,0.1142741772663032,0.10646653838439449,0.09815388103036657,0.1307198364042505,0.0845330589926844,0.03699724950968086,0.0,0.0,0.0,0.0,-0.0512820512820512,0.15579979308729403,0.30191770745289537,0.14662381733186347,0.2399006357627047,-0.0512820512820512,0.15550085600846852,0.2159553335380719,0.29943314389760645,0.3348316346909697,0.05754379498928487,0.17446010599335668,0.1835757593438147,0.2955154110835009,0.29525221155655934,0.04659766340186441,0.1315496098104794,0.1016317016317016,0.1398601398601399,0.0593792172739541,0.0465116279069767
sick_sick_35_variant1ori,0.0098759522023373,0.0270714237391333,0.1016488102967169,0.0099153911536301,0.0116950920427076,0.0404399079930994,0.0626306916200533,0.0100518029606132,0.08478395828761626,0.08797105769111192,0.11274196447473786,0.011241616220064709,0.05411768566410287,0.0,0.0,0.0,0.0,-0.0100632547441058,0.08462516115558769,0.09201273161802549,0.10091574358176685,0.04670916483659202,0.055078143413964574,0.10103600471017815,0.1034205273005732,0.15177348953184883,0.04012539748739036,0.04779611390465665,0.04418134585072064,0.04223298509524148,0.07637644334091906,0.058873027007874154,0.0098647125140924,0.0777683326249468,0.0386144924724776,0.0205006189585256,0.0445347590258458,0.0098647125140924
ad_nominal,0.1227929373996789,0.3355623100303952,0.2655172413793102,0.1555662670233133,0.1567796610169491,0.3304297155151805,0.4039739937175835,0.1567796610169491,0.26796801925339986,0.2696418629320195,0.2775957650083193,0.1662545228432296,0.0,0.0,0.0,0.0,0.0,0.0,0.2655172413793102,0.2655172413793102,0.2655172413793102,0.2327736527564043,0.0,0.2655172413793102,0.2655172413793102,0.2655172413793102,0.24195085055959287,0.0,0.26947106095063633,0.26860289320573555,0.26840508765827886,0.1676346934894881,0.0,0.2655172413793102,0.2655172413793102,0.2655172413793102,0.0,0.0
AID362red_train_allpossiblenominal,0.0241774675972083,0.0357660099228541,0.048534460197971,0.0229321399098584,0.0534814475492441,0.040039446424864,0.0608515154352779,0.0235945389637538,0.036858858000595116,0.049872382931529353,0.03769561506440442,0.02905470520465494,0.02918770979520366,0.0,0.0,0.0,0.02968886905632534,-0.0240112994350282,0.03838409194731038,0.05572095685936514,0.05370223120072694,0.024949412815829998,-0.01779946618477897,0.04203683148300993,0.04523241429398135,0.05144535264776966,0.0246158302456234,0.0208368578201426,0.04352256837707136,0.04140971380760766,0.05310415513999146,0.04929797900947005,0.022911051212938,0.022911051212938,0.0313406626965949,0.022911051212938,0.0,0.022911051212938
apascal_entire_trainvsall,0.050309352775523807,0.031044314575712,0.0308075253979966,0.038114630723075,0.0868116485124077,0.0368654982925095,0.0961666337536162,0.0602723188549692,0.04596530183019445,0.07862803793662639,0.06262234013833044,0.0365511943825286,-0.01690354342975746,0.0,0.0,0.0,0.05230083509137375,-0.0328106852497096,0.031009020201233212,0.030804058465536237,0.030804058465536237,0.041564138565603356,-0.0328106852497096,0.04188222648000437,0.04546601000760847,0.030791924201924982,0.04585452047085698,0.029451503153838023,0.04488804584504562,0.058291519961376145,0.050889932586033214,0.05809791333681451,0.0307901907356948,0.0316686558736147,0.0344582869507206,0.0316686558736147,0.0,0.0307901907356948
covertype_nominal_4vs123567,0.0047343701164687,0.1003820018351702,0.2716841979506555,0.1726582278481012,0.1134020618556701,0.1619147020108126,0.1134020618556701,0.2436879432624113,0.126036057577768,0.12946666908554866,0.12284765628769859,0.0047069078884544,0.0,0.0,0.0,0.0,0.0,0.0,0.12149266495679589,0.1495509761521443,0.17322669478783875,0.0047057090340363,-0.0047504171962681,0.1147565864833906,0.1173161102929144,0.1134020618556701,0.0047057090340363,0.035891136474615476,0.15327839706431884,0.1512048587882489,0.1134020618556701,0.0047057090340363,0.0047057090340363,0.2355555555555556,0.2355555555555556,0.1134020618556701,0.0047069240912715,0.0
list_attr_celeba_baldvsnonbald,0.0219520022772114,0.1522458176570461,0.1606363981977354,0.0219507014376333,0.1843784344296316,0.1834205666139795,0.1418299085523008,0.0303023302517983,0.06176159284285919,0.057326723791074265,0.06266651247681562,0.07237585579265428,-0.0106046028823261,0.0,0.0,0.0,0.0219541705106496,0.0,0.0825144607670333,0.07665465194760487,0.07677172084179043,0.04873613544829101,-0.008945171287812151,0.12032714524993589,0.1463094227233611,0.05279707722602387,0.0635202355827648,0.02245216977639566,0.06524243541789299,0.07894082620517649,0.047211651973535065,0.03925101381044342,0.0219507014376333,0.0304349577371162,0.0304349577371162,0.0304349577371162,0.0,0.0219507014376333
Reuters-corn-100,0.1861281826163301,0.4782744965877496,0.4568332719911667,0.1861281826163301,0.3265511873285726,0.4840718044841756,0.4217472668176893,0.1861281826163301,0.29257013258427256,0.2974635653996721,0.3096249814329874,0.19742577331639935,0.2122565345207957,0.0,0.0,0.0,0.18692659945154708,0.0,0.4288971666226705,0.4270899217936284,0.4265752957216793,0.2584381465011489,-0.1478860259989345,0.4623385345378505,0.4590657289483204,0.42496903735629876,0.28083333587205095,0.18598502134678152,0.39635056909994665,0.3690362951150191,0.42054725132361914,0.269731923230934,0.18629804868201205,0.1869771389560308,0.1869771389560308,0.1869771389560308,0.0,0.1861281826163301
w7a-libsvm-nonsparse,0.0330501237006991,0.028870929960178,0.0501432759312935,0.0633543136472303,0.3414389453191634,0.1049497716031732,0.1319011150986143,0.0274566979295876,0.21390569560936265,0.2663883303127313,0.3220801260242748,0.12362195123570974,0.25294392024482504,0.0,0.0,0.0,0.03024544824445005,0.0,0.31491614881936414,0.0274321187886244,0.0274321187886244,0.02952709873016226,-0.02647332757990948,0.5189762161916189,0.18712318084687526,0.0274321187886244,0.02916539784289645,0.02680168032625292,0.5698541074350348,0.49077153750971964,0.12374725606287267,0.03227185350204066,0.028870929960178,0.0287189224708973,0.028164222506045,0.0274321187886244,0.0,0.028870929960178
