Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
census-income-full-nominal,0.676785679476477,0.4782199425280976,0.3776926799953963,0.4854469206681754,0.2833839431318115,0.5,0.3038413780071641,0.614083942086795,0.4566403489992923,0.5182835076693075,0.48944541153236065,0.4972586633721724,0.5059757547714019,0.5,0.5,0.5,0.5063685297346697,0.5,0.4046790840294583,0.34041226267431224,0.36304802031385386,0.4754884224110203,0.6098335494931216,0.39362335111300956,0.35266993891008,0.3579755466809868,0.47782650059028936,0.6078036417093983,0.43731289900371734,0.4644636058775454,0.4372942784997683,0.4867417495787552,0.6103571742760076,0.5003061121256469,0.502273531714198,0.5006537178922108,0.5000416541582013,0.5
bands_band_16_variant1ori,0.23153712606837604,0.7089342948717948,0.733974358974359,0.2251602564102564,0.6668669871794872,0.3659855769230769,0.7944711538461539,0.6646634615384616,0.5013020833333333,0.4881410256410256,0.5059695512820512,0.5056690705128205,0.4959535256410256,0.5,0.5,0.5,0.5,0.6570913461538461,0.6891426282051282,0.8593549679487179,0.6040665064102564,0.6578525641025641,0.7502604166666667,0.6856169871794873,0.728495592948718,0.7084935897435898,0.710556891025641,0.5692508012820513,0.6583934294871795,0.7051582532051281,0.7229266826923076,0.6564302884615384,0.5570012019230769,0.6463341346153846,0.6219951923076923,0.6189903846153847,0.5068108974358975,0.5765224358974358
sick_sick_35_variant1ori,0.1153002546619567,0.6072208987102604,0.8862893288425203,0.1139489033106054,0.4426764150168406,0.7474739176866837,0.8313398504887868,0.2446069169473425,0.5322829212190914,0.5758334017908486,0.5844068840877352,0.43494290643226813,0.46515320791916537,0.5,0.5,0.5,0.5,0.8753750102686272,0.8701786741148443,0.8838766121744845,0.8980292450505216,0.7077811550151976,0.8703154522303459,0.858143842931077,0.857082066869301,0.9071794134560092,0.7315595991127906,0.8779429885812865,0.699034749034749,0.6762852213916044,0.7863887291546866,0.7463644951942825,0.733648237903557,0.6348517210219337,0.5554423724636491,0.6291218269941673,0.5442002793066623,0.5581491826172678
ad_nominal,0.29562531868539377,0.6921070319380707,0.4389323911382735,0.5251224524482764,0.2684459459459459,0.7006130348120335,0.7508033033033035,0.3119886553219886,0.42491405653170355,0.4613540870893812,0.47902024446142094,0.5437668227259382,0.5,0.5,0.5,0.5,0.5,0.5,0.3737872421695951,0.5228896103896103,0.5315603514132926,0.6163255380954589,0.5,0.3518430099312452,0.3725362872421696,0.5006779984721161,0.6323570744294565,0.5,0.36799560733384257,0.37482811306340713,0.48515087853323147,0.5794308858295091,0.5,0.404268525592055,0.4459033613445378,0.4713521772345301,0.5,0.5
AID362red_train_allpossiblenominal,0.4164174144233965,0.5580757726819541,0.5894907868985636,0.5002354048964218,0.5152043868394816,0.576862006572874,0.6053783095158968,0.4014299693512056,0.48855470625161546,0.5445903031645803,0.5010247036667774,0.489645877183265,0.5087118274805214,0.5,0.5,0.5,0.511203888334995,0.5307369557992689,0.5556764890513644,0.5820649163620251,0.5853642775377571,0.4704349913223293,0.5844078874487648,0.5508622281304235,0.5540097300690521,0.5392304567778148,0.4581505483549352,0.5408713673793434,0.5274265167460581,0.532227391898379,0.538472545326982,0.4890305934049703,0.5336421291680514,0.4384623906059599,0.4353836638233448,0.4518343118791773,0.5,0.4357852368819467
apascal_entire_trainvsall,0.6095038526238613,0.3587424069563072,0.3583518341504527,0.5550232288037167,0.7047590782481782,0.2683248024009949,0.6899507158788402,0.6354837963676729,0.462830188194423,0.5833127768698673,0.5371856145868665,0.4052914906519482,0.4629346407244098,0.5,0.5,0.5,0.5654540922779645,0.3912320259422569,0.36164420873033004,0.29621247160638486,0.3290637558714399,0.43348249617135864,0.2966074126607258,0.44575303464791916,0.47265669164276974,0.39538160504866743,0.44838965804323017,0.39538160504866743,0.4745552095217539,0.562916653818877,0.4425360765933829,0.531067754103584,0.4425360765933829,0.512819524529,0.5229448675649842,0.5158965701540706,0.5,0.5158965701540706
covertype_nominal_4vs123567,0.0226982698841935,0.9170556594910052,0.9771761860434652,0.62,0.0733333333333333,0.962311907255574,0.0757575757575757,0.6309090909090909,0.3873939393939393,0.426060606060606,0.36969696969696964,0.274564429802945,0.5,0.5,0.5,0.5,0.5,0.5,0.3579393939393939,0.48969696969696963,0.5121212121212121,0.2744364607921973,0.923330664925319,0.23621212121212115,0.22909090909090907,0.3933333333333333,0.4999982706890439,0.757552707526671,0.386060606060606,0.3836363636363636,0.4983333333333333,0.4999982706890439,0.7324496471460185,0.5824242424242423,0.6018181818181818,0.4903030303030303,0.5000648491608519,0.5
list_attr_celeba_baldvsnonbald,0.26415586526202645,0.7851088388011616,0.757172995057632,0.4940757983862446,0.8646171348544981,0.893206595490573,0.7374054311526536,0.2899812271947202,0.5135055060146224,0.4969187790940103,0.47983803731918034,0.5504132787993277,0.47817950860514913,0.5,0.5,0.5,0.5000403934320279,0.5,0.6571037936640659,0.5721366954712261,0.5795216282444081,0.6061837510681506,0.6964875015929843,0.6969560694757483,0.7214264494779583,0.5368124260068885,0.6121127372426213,0.6812143057079495,0.6126903927109999,0.6522985035638524,0.5150293960879729,0.5149219247127457,0.5703906730019712,0.5037576435958908,0.5043548748004407,0.5008827257568604,0.5,0.4992708999954699
Reuters-corn-100,0.1891322513964023,0.8229812640189998,0.8184094207679115,0.1658068346747591,0.7094570523815806,0.8328506399261117,0.8136726481066103,0.1944715661696794,0.6406603773584906,0.668977437656683,0.6764012402691648,0.5121427628974798,0.6384503232616441,0.5,0.5,0.5,0.4094695870167568,0.5,0.8022107138144874,0.8012264150943397,0.7983157408629107,0.6530653780182082,0.7983223380393192,0.8111967278005012,0.810205831903945,0.8052144082332762,0.6381547697585433,0.8052144082332762,0.7700748779522365,0.7439167436337247,0.7860769890486872,0.6179406913840876,0.7860766591898667,0.4995777807098561,0.4938283414698509,0.503994590315345,0.5,0.503994590315345
w7a-libsvm-nonsparse,0.5273614620524182,0.4608392853866149,0.5683110750282983,0.6494904143122141,0.9078755112183712,0.6177275938128621,0.7230870669469227,0.418170361879407,0.6822383308241964,0.6932945693614336,0.7358801835001121,0.5359387218307881,0.6943505766036295,0.5,0.5,0.5,0.4991998363106557,0.5,0.83677926703403,0.42774415121064535,0.4198966960612235,0.49110237405578516,0.4265289664725394,0.8378797450382681,0.7425756825466279,0.4518624328829614,0.46216744456224584,0.4494140156794949,0.8521296071857798,0.8315077510903564,0.5780278183501257,0.47295909531311436,0.6814365862073168,0.5150127338813775,0.5098025688169905,0.5059695412880229,0.5,0.5081778627740932
KDDTrain20FS,0.1145481583357036,0.6115225330832442,0.3542895491473501,0.2502660713659033,0.1158860971516651,0.3428097546578526,0.7817566552416348,0.4588772653997142,0.4975788807009767,0.49315131639263415,0.5883326719781015,0.4732853697546294,0.5677251624224239,0.5,0.5,0.5,0.5,0.5106056296578637,0.7489008410926374,0.7273028393606262,0.6736959897290595,0.6671810641306999,0.728411760603236,0.6039328178460643,0.5965722728984718,0.6795247485092879,0.40641343315314,0.5120996453112123,0.4500967976082902,0.44272687026909213,0.5973150437203048,0.44736430594637505,0.4380927733465584,0.502265068846611,0.5011977153380931,0.5019442665991583,0.5025576476138989,0.5020774780060441
Average AUC,0.315±0.22,0.636±0.17,0.624±0.22,0.417±0.19,0.505±0.29,0.619±0.23,0.646±0.24,0.442±0.17,0.508±0.09,0.541±0.08,0.541±0.1,0.475±0.08,0.529±0.07,0.5±0.0,0.5±0.0,0.5±0.0,0.499±0.04,0.542±0.13,0.605±0.2,0.591±0.2,0.572±0.17,0.55±0.13,0.653±0.19,0.588±0.21,0.585±0.21,0.571±0.18,0.553±0.11,0.609±0.15,0.567±0.16,0.579±0.15,0.581±0.13,0.549±0.09,0.599±0.12,0.522±0.07,0.518±0.06,0.517±0.06,0.505±0.01,0.509±0.04
Average Rank,29.273±14.46,13.182±11.96,14.636±14.4,24.273±13.02,21.545±15.81,14.636±14.79,9.818±13.57,25.0±15.21,24.636±5.5,20.0±10.54,20.636±8.7,24.0±8.01,20.182±10.26,21.364±6.98,21.364±6.98,21.364±6.98,20.636±9.9,18.364±7.84,16.091±12.29,16.545±14.03,16.727±13.01,20.364±9.48,11.545±12.5,16.273±12.22,16.0±12.48,17.0±11.79,20.545±9.77,14.182±10.25,19.818±9.23,18.273±9.67,17.182±7.08,20.273±7.96,16.0±8.52,21.0±8.35,21.364±9.21,21.545±6.39,20.182±6.75,20.909±8.13
