Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
thyroid_disease_variant1ori,0.1256643857806226,-0.034535543534817005,-0.0537595350526698,0.1256643857806226,0.01886443290366284,-0.0537595350526698,-0.0537595350526698,-0.030975545105585,0.004197239375227043,0.0034140397207959995,0.009038837238982545,-0.04436113919949732,0.012456435731045257,0.0,0.0,0.0,0.0,0.00937110375904424,0.0238484307045876,-0.04457473910525124,-0.04386273941940484,-0.03937714139857252,-0.046639538194205805,0.11505559046151123,0.1146283906500034,-0.026062747273244872,-0.025777947398906317,-0.03358621062035514,0.022068431489971622,0.014236434945661234,-0.006269156006715015,-0.024567547932967428,0.0008271075288873996,0.0,0.0,0.0,-0.0110395539018859,0.0
german,-0.0585714285714285,0.07214285714285709,0.04428571428571425,-0.04571428571428565,0.0657142857142857,0.01428571428571428,0.05499999999999998,-0.0628571428571428,0.054357142857142826,0.002285714285714298,0.01942857142857142,0.0029285714285714397,0.025000000000000005,0.04599999999999996,0.06121428571428569,0.061428571428571395,0.0,0.05499999999999997,0.023499999999999986,0.06657142857142855,0.039571428571428535,0.010642857142857112,0.06071428571428567,0.027142857142857118,0.019428571428571424,0.047071428571428535,0.014928571428571423,0.03071428571428567,0.023071428571428552,0.0014285714285714407,0.04857142857142854,0.06442857142857139,0.023571428571428566,0.014285714285714252,0.01000000000000002,-0.00714285714285712,0.00571428571428573,0.007142857142857132
hepatitis,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,0.1293532338308458,0.05970149253731345,0.0248756218905473,-0.044776119402985,-0.00995024875621885,-0.044776119402985,-0.044776119402985,-0.044776119402985,0.0,-0.044776119402985,-0.009950248756218852,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.009950248756218852,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985
lymphography,-0.0422535211267605,0.6525821596244131,0.8262910798122066,-0.0422535211267605,0.6525821596244131,0.6525821596244131,0.6525821596244131,-0.0422535211267605,0.18356807511737086,0.2356807511737089,0.09671361502347423,0.13145539906103282,0.09671361502347416,0.2704225352112676,0.4788732394366197,0.5483568075117371,0.0,0.2704225352112676,0.5309859154929577,0.895774647887324,0.895774647887324,0.1314553990610328,0.8262910798122066,0.7518443997317237,0.8262910798122066,0.6525821596244131,0.3051643192488263,0.6525821596244131,0.2307176391683434,0.21830985915492956,0.37961099932930914,0.2307176391683434,0.3299798792756539,0.1314553990610328,0.1314553990610328,-0.0422535211267605,-0.0422535211267605,-0.0422535211267605
scenario-1-9-rcat-1-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9892227279900352,0.0,0.9964075759966784,-0.0489878089699138,0.6560852754153432,0.504844224875503,0.5929783604236601,0.3981492319768508,0.3327671151163979,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7764314795266177,-0.0489878089699122,1.0,1.0,1.0,0.8606139486711211,-0.0489878089699122,0.687818354111351,0.38330054609645475,0.8282821326412264,0.6916502730482273,-0.045155890033036,0.0,0.0,0.0,-0.0154585182722453,-0.003483771594506
scenario-1-9-rcat-2-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9892227279900352,0.0,0.9964075759966784,-0.0489878089699138,0.6026779052326285,0.4371869061462791,0.5131068000831427,0.3871324650333311,0.2687022203904954,0.0,0.0,0.0,0.0,0.0,1.0,0.9995210101328904,1.0,0.5868712396180134,-0.0489878089699122,1.0,1.0,1.0,0.6771608295681635,-0.0489878089699122,0.7692466315199744,0.3835400410300095,0.8743849073505207,0.5455583635798147,-0.04503614256625848,0.0,0.0,0.0,-0.0118660942689237,-0.003483771594506
scenario-1-9-rcat-3-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9916176773255828,0.0,0.9964075759966784,-0.0489878089699138,0.588906946553229,0.4185063013290066,0.4701174595100606,0.3573153458057617,0.24259727263302455,0.0,0.0,0.0,0.0,0.0,1.0,0.9980840405315619,1.0,0.6656650727575343,-0.0489878089699122,1.0,1.0,1.0,0.7378727952242989,-0.0489878089699122,0.8667210694767679,0.3836597884967869,0.9046810164451996,0.642673559136276,-0.04551513243336809,0.0,0.0,0.0,-0.0154585182722453,0.0025036017443629
scenario-1-9-rcat-4-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9952101013289044,0.0,0.9952101013289044,-0.0489878089699138,0.5872304820183455,0.41898529119611616,0.47849978218447775,0.3134877729652379,0.24894388837222658,0.0,0.0,0.0,0.0,0.0,1.0,0.9976050506644523,1.0,0.6384823977990673,-0.0489878089699122,1.0,1.0,1.0,0.702667039991747,-0.0489878089699122,0.8601349588040115,0.3842585258306738,0.9161767732558289,0.6441105287376045,-0.04611386976725499,0.0,0.0,0.0,-0.0154585182722453,-0.0082736702656021
scenario-1-9-rcat-5-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9952101013289044,0.0,0.9952101013289044,-0.0489878089699138,0.5661549278655253,0.43096003787385484,0.4278466037376429,0.392640848505091,0.3768341828904759,0.0,0.0,0.0,0.0,0.0,1.0,0.9974853031976748,1.0,0.4898757915283296,0.9998802525332227,1.0,1.0,1.0,0.7193119378738039,1.0,0.8563030398671352,0.3843782732974512,0.9220443991279208,0.6397996199336186,0.7839755699335931,0.0,0.0,0.0,-0.0166559929400192,-0.0154585182722453
scenario-1-9-rcat-6-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9952101013289044,0.0,0.9928151519933568,-0.0489878089699138,0.5244828094269945,0.4576637229652123,0.4984976091363015,0.28438913853833275,0.3722837791529351,0.0,0.0,0.0,0.0,0.0,1.0,0.9966470709302332,0.9996407575996678,0.6019594204319642,0.9998802525332227,1.0,1.0,1.0,0.7049422418605173,1.0,0.8432505659883999,0.3842585258306738,0.9076747031146344,0.6511756292774704,0.7999019830149856,0.0,0.0,0.0,-0.0106686196011499,-0.0154585182722453
