Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.20843656692713297,0.1044776119402985,0.111756168359942,0.1396226415094339,0.6915520529049011,0.1913746630727762,0.111756168359942,0.1342952275249722,0.2109687536640799,0.14693161552093337,0.1406874912856446,0.07387586822219054,0.08390340418109424,0.0,0.0,0.0,0.115566037735849,0.0,0.11843873299358346,0.1044776119402985,0.11352262798686338,0.0766301745532303,0.06918238993710693,0.13222951522022205,0.10447761194029852,0.10447761194029852,0.06679696441389771,0.007686932215234122,0.12287618511217498,0.10447761194029852,0.10447761194029852,0.08582569279822709,0.0687241757315119,0.1698113207547169,0.0,0.1560891938250429,0.09015341718575487,0.06425499620541357
solar-flare_FvsAll-cleaned,0.07526121976048923,0.08666147525953058,0.11399675366143272,0.09506682139106665,0.197473242094296,0.2208119555106299,0.16450093524094486,0.05470054086048283,0.12977771475828032,0.1315605242173987,0.14531727652026608,0.11816364526850287,-0.0812381310494205,0.14635278640723498,0.14918447707522262,0.0,0.0,0.0,0.12081320422002162,0.12001907285920674,0.11357117800175098,0.12258899702515373,-0.09439912681207367,0.11471816086086392,0.14013027674150041,0.1130434782608695,0.12865352747499934,0.10714791103303474,0.13118177221508265,0.12167294883108862,0.12066443988905007,0.13055424404738616,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.0
bands_band_16_variant1ori,0.0497420497420497,0.2878411910669975,0.3530571992110454,0.0470835207677313,0.1489621489621489,0.0531931836279662,0.1903919834954318,0.1142741772663032,0.10646653838439449,0.09815388103036657,0.1307198364042505,0.0845330589926844,0.03699724950968086,0.0,0.0,0.0,0.0,-0.0512820512820512,0.15579979308729403,0.30191770745289537,0.14662381733186347,0.2399006357627047,-0.0512820512820512,0.15550085600846852,0.2159553335380719,0.29943314389760645,0.3348316346909697,0.05754379498928487,0.17446010599335668,0.1835757593438147,0.2955154110835009,0.29525221155655934,0.04659766340186441,0.1315496098104794,0.1016317016317016,0.1398601398601399,0.0593792172739541,0.0465116279069767
creditA_plus_42_variant1ori,0.0494117647058823,0.7826729315092193,0.6110011076113827,0.0494117647058823,0.4587885460248641,0.7679602851240855,0.7643740561807388,0.06152255181300605,0.15326114971461507,0.2128928521684854,0.25497001605056147,0.15132094440581687,0.0,0.0,0.0,0.0,0.0,0.0,0.503763951396177,0.6270628638268478,0.5209055615411493,0.455864555964419,0.0,0.39888402292598535,0.3277474715210557,0.5189141992302131,0.6107583680653176,0.0,0.2762361117081216,0.12167557808546495,0.13707165058033444,0.2631142487450742,0.0,0.06628932897928388,0.0598976712375058,0.05588543175019315,0.053360478928989166,0.0
sick_sick_35_variant1ori,0.0098759522023373,0.0270714237391333,0.1016488102967169,0.0099153911536301,0.0116950920427076,0.0404399079930994,0.0626306916200533,0.0100518029606132,0.08478395828761626,0.08797105769111192,0.11274196447473786,0.011241616220064709,0.05411768566410287,0.0,0.0,0.0,0.0,-0.0100632547441058,0.08462516115558769,0.09201273161802549,0.10091574358176685,0.04670916483659202,0.055078143413964574,0.10103600471017815,0.1034205273005732,0.15177348953184883,0.04012539748739036,0.04779611390465665,0.04418134585072064,0.04223298509524148,0.07637644334091906,0.058873027007874154,0.0098647125140924,0.0777683326249468,0.0386144924724776,0.0205006189585256,0.0445347590258458,0.0098647125140924
thyroid_disease_variant1ori,0.17464877318513883,0.051520357155147044,0.04866482493161186,0.16433588731315668,0.11778040810269312,0.05965848342936671,0.0485405050836339,0.05876272935096516,0.08465016355317888,0.08396440050870503,0.08708579097669522,0.049040647185262395,-0.03223696472250389,0.0,0.0,0.0,0.0,-0.0537595350526698,0.07816847003236813,0.048857066308733606,0.048580507722016976,0.0508573146090136,-0.0537595350526698,0.1515524320364076,0.15354847181724737,0.0485405050836339,0.04952705937460529,0.026540129277157654,0.07996746333624068,0.07345029231209294,0.05899380036834831,0.05232712191046796,0.048552818130137274,0.0,0.0,0.0,0.0485405050836339,0.0
anneal,0.05117488086405182,0.19620971787127747,0.2029165175853403,0.0504253056884635,0.08831880414476101,0.15789616472809412,0.09988696999576512,0.10534456070641074,0.13097544258138766,0.31138460513695426,0.2859068625356161,0.08905603717417283,-0.044903626089266124,0.30607457573483754,0.32483067251714787,0.26784386457765197,0.0,-0.053030303030303,0.323474736977542,0.5304226860890313,0.44251467029014857,0.32814332125980683,-0.053030303030303,0.3661457009686016,0.6484511908395487,0.39442706874260497,0.3029735045345609,0.2209055798009299,0.13342567887677612,0.22740668014062337,0.20896289222452913,0.12880076147692812,0.04806770609636157,0.05806422701365421,0.05697167358839791,0.061381685476187955,0.05516093006566075,0.047945205479452
australian,0.0753880266075388,0.3183262257140278,0.39923446049982625,0.0753880266075388,0.15290526413993638,0.19784406956870929,0.29676006350519496,0.0753880266075388,0.12273793993993141,0.1925547214526203,0.2780530308665972,0.13698796750955813,-0.07904168938111496,0.34039900041904325,0.29587365121227804,0.38673264507079574,0.0,-0.0887728459530026,0.3326552729727946,0.32731815885668103,0.320544225442571,0.25383345677752184,0.03649400711101962,0.3376939792812949,0.3095015581947158,0.381531142075463,0.2039428385165781,0.2621787860251607,0.22424539946296446,0.1166339768296055,0.14462637473435716,0.16167010017732078,0.07547363636267425,0.09187416061252737,0.09116524624351811,0.08676465560189867,0.09460403945513533,0.0753880266075388
crx,0.07604894055801253,0.3487122996377237,0.3676044778304136,0.0760095011876484,0.14035124400269608,0.19422043238437117,0.2746267684556274,0.1411629984674408,0.10269603289135718,0.1608380977308537,0.14612104542814022,0.18249134045562357,-0.0724066406122758,0.21561928716791834,0.24964437285627278,0.2330979220909826,0.0,-0.0896358543417367,0.21299406133138468,0.27071608564334315,0.22775543922951155,0.32672654758817027,-0.003504584246057281,0.20571809453256726,0.23213189940789034,0.25845926980264833,0.2750535805002179,0.1743388203906297,0.15895084762885375,0.11539058933962734,0.1389726222325633,0.21694254896002885,0.07616782433409883,0.08548450056313209,0.09342610075393082,0.08724335364837696,0.07833970834624403,0.0760095011876484
ecoli,0.033202334863490036,0.1887976822790922,0.4560172692930383,0.0260869565217391,0.0752293577981651,0.3976589686807972,0.0892410341951626,0.0260869565217391,0.7164421022528785,0.6530970777534739,0.7544425193222308,0.16179636876884582,0.1509415741187832,0.34040262310095015,0.34040262310095015,0.34040262310095015,0.0,-0.027522935779816505,0.696249798808949,0.6260033119386929,0.729599227426364,0.19759189302632368,0.40674664784756526,0.6579380420502925,0.6579380420502925,0.6579380420502925,0.29694623655913976,0.5493078200814434,0.4853972852620848,0.4780098654623607,0.4421254655144663,0.18574154967921547,0.026118215934159833,0.0333172380492515,0.0306387398303617,0.0295616717635066,0.0324159021406727,0.0260869565217391
