Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.012558286291435886,0.02417853802072971,0.021097285620371047,0.0383467082230072,0.02703959664727647,0.030679129391023054,0.02991508302100797,0.00685930398525632,-0.002332246355731417,0.0044294233649531615,0.0072202615215684485,-0.013104334894973242,0.0,0.06348929988768501,0.05322697219999618,0.022416091264914825,-0.0011325625103819775,0.0,0.02128321943650718,0.008468334317495805,0.004293408666151734,-0.008792157392587627,0.0,0.018965297477612664,0.0299757494714501,-0.013477097491303517,-0.014461241729831549,0.0,0.02325205903178929,0.01527984672224513,0.017707510119285792,-0.006441163570534313,0.0,-0.0110488270299909,-0.00531527381243845,-0.01881140053762033,-0.00665050784826942,0.0
nursery,0.061797356576098,0.061797356576098,0.061797356576098,0.061797356576098,0.0719138563843299,-0.0087219489810445,-0.012647683591373,0.0297594967237201,-0.0013107429381201698,0.06179735657609799,0.00681341143823949,-0.036053665719420286,-0.00323366756755586,0.0049955224707984875,0.0,0.0013688661360733367,0.0,-0.0039897060665765,0.00356877308524425,0.061797356576098,-0.0010769608210228602,-0.6191531816581136,0.00699474224486832,0.0033210718977225197,0.06179735657609799,0.06179735657609799,-0.6206949790876746,0.01798932810552355,0.0038914912247512597,0.06179735657609799,0.06179735657609799,-0.16209599059687846,0.011520085265287059,0.0260122751726654,0.0,0.061797356576098,0.0,0.061797356576098
scenario-1-1-rcat-0-icat,-0.023956880230749638,0.8580661956985853,0.8694464473800749,0.0,0.5727784158075364,0.0,0.7778924187635193,-0.0240540076241411,0.2309744471788738,0.2855878628930203,0.31742576831763075,0.17585620092446846,0.43881424264913943,0.0,0.0,0.0,0.0,0.8355256295644606,0.9379135616857273,0.9477255034979291,0.9548289222380273,0.7788253358372519,0.9541321992558632,0.9945331984728787,0.9017610535636584,0.9945331984728787,0.9797174098929045,0.9945331984728787,0.791230981542063,0.5871178400232289,0.8369822630534168,0.8951025535421835,0.787490879221802,0.0,0.0,0.0,-0.0043002293874806,-0.0048731312603255
scenario-1-2-rcat-0-icat,-0.024051297723520434,0.942267647163348,0.942855277161184,0.0,0.7192158685853691,0.0,0.9130639570729798,-0.0240743231645083,0.5543404946646744,0.23636950181543998,0.4484045715802331,0.28809135042154776,0.4868495462284793,0.0,0.0,0.0,0.0,0.9490069368236704,0.9903757928642296,0.986194499851021,0.98915776196056,0.8908034360684468,0.9895587016223347,0.9975237322986523,0.9949751791121315,0.99805432379633,0.975860306121157,0.99805432379633,0.40928946564015745,0.5353579188085265,0.8012476970834734,0.8533702562917748,0.7518814329443224,0.0,0.0,0.0,-0.0046971862148674,-0.0051498941137135
scenario-1-3-rcat-0-icat,-0.02407202439338953,0.9784514295235376,0.9784084271209664,0.0,0.8912367696285497,0.0,0.9684409899239642,-0.024075468742085,0.6211885171423204,0.3292562859611624,0.4277553743549719,0.4210702675367264,0.49404310848267025,0.0,0.0,0.0,0.0,0.0,0.9978469669715405,0.9954939883094933,0.9980760062508749,0.9084011539390946,0.9975558164413536,0.9987701609769788,0.9978974314036965,0.9987726034190116,0.9782899833559711,0.9987726034190116,0.5511621438863668,0.5308606618154841,0.7881241579369435,0.7684725713458723,0.7087840855322719,0.0,0.0,0.0,-0.0045549546308568,-0.0050149849988654
scenario-1-4-rcat-0-icat,-0.02407514182334647,0.991560587792745,0.9922969915081672,0.0,0.9443108796160692,0.0,0.98827291579373,-0.0240754931831718,0.6777358381393536,0.5079824315909072,0.5532992591002974,0.43904380780449215,0.43947097272549585,0.0,0.0,0.0,0.0,0.0,0.9984652796906197,0.9980249075927798,0.9988025253322259,0.8846830070810748,0.9987317617780311,0.9987726034190116,0.9984767153407942,0.9987726034190116,0.9819544280202093,0.9987726034190116,0.5663103848546597,0.4817163873244169,0.7764950691804436,0.7059548065547462,0.6817062648875961,0.0,0.0,0.0,-0.005004993029306,-0.0052571784222713
scenario-1-5-rcat-0-icat,-0.024075308977228437,0.9943648492708724,0.9947629234780602,0.0,0.9740563070850212,0.0,0.9932858279993309,-0.0240754942192235,0.689705922931963,0.48104150606656626,0.5602519011336522,0.43986862054808623,-0.9745597858065619,0.0,0.0,0.0,0.0,0.0,0.9986747099790525,0.9985122524066676,0.9988025253322259,0.9017030066449607,-2.2135369993438596,0.9987726034190116,0.9985548360594171,0.9987726034190116,0.9847635340989778,-2.2135359082166497,0.6034453794064658,0.4486023012050155,0.7548134790047334,0.6969803438264026,-1.4813506261369074,0.0,0.0,0.0,-0.0052189434796263,0.0532666445527202
scenario-1-6-rcat-0-icat,-0.0240754325111962,0.9969635139235709,0.9973463596065096,0.0,0.9910900462916932,0.0,0.9963871757831484,-0.0240754942454448,0.6685881097045314,0.4685420726407501,0.5473729245363554,0.4482458216864349,-0.8733400198002714,0.0,0.0,0.0,0.0,0.0,0.9988007541654129,0.9987709611765887,0.9988025253322259,0.9025586862472235,-2.213537963153006,0.9988025253322259,0.9987652386327005,0.9988025253322259,0.9866745159468335,-2.213537966401549,0.6247415732119617,0.4323466333805883,0.7601459091673979,0.6941732899000292,-1.4077000479893989,0.0,0.0,0.0,-0.0054143051863317,0.0595020224204958
scenario-1-7-rcat-0-icat,-0.0240754401154824,0.9978361561522182,0.9977666619068998,0.0,0.9957864278191532,0.0,0.9976117211855836,-0.0240754942454448,0.6896280316078038,0.5186659608612574,0.605033244879462,0.45600232912533906,-1.0023955397327917,0.0,0.0,0.0,0.0,0.0,0.998749025485685,0.9987938872271267,0.9988025253322259,0.9175844326134703,-2.213537966401549,0.9988025253322259,0.9988023887900747,0.9988025253322259,0.9870503566545764,-2.213537966401549,0.6397528481226499,0.41484771113140306,0.7392650790265668,0.6907795720876384,-1.336798741172729,0.0,0.0,0.0,-0.0062095416367933,0.0707167276241616
scenario-1-8-rcat-0-icat,-0.0240754392522162,0.997836513111268,0.9977689827401738,0.0,0.9973327324541592,0.0,0.9976478521959514,-0.0240754942454448,0.6731045553183359,0.5049796991673108,0.5980788056388027,0.4868167689542289,-0.9232981827199922,0.0,0.0,0.0,0.0,0.0,0.9987004026431124,0.9987431883599038,0.9988025253322259,0.9252459993072945,-2.213537966245679,0.9988025253322259,0.9988023887900747,0.9988025253322259,0.9881269652848893,-2.213537966401549,0.6591056966634421,0.4183978031843205,0.7370651679254441,0.685374706436759,-1.2759734845195054,0.0,0.0,0.0,-0.0061704351921757,0.0733923405879286
