Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.0725479391532751,0.0845816478458756,0.099691673956109,0.2128177865616073,0.1197002850341512,0.1425262347569367,0.0999319558669852,0.0614446591958197,0.0595474595611471,0.1741285337774468,0.1558208908843124,0.0612452502356178,0.0,0.4378553427853717,0.3910004622042943,0.1057454119426668,0.1236828928709546,0.0,0.1013068473518539,0.0929419815830371,0.0865536126336786,0.0630754996686591,0.0,0.1076419235812222,0.1465761472204517,0.064677888404885,0.0657882019755713,0.0,0.1175068320289733,0.14961743003451,0.1230924671817783,0.0988360177779223,0.0,0.0553251121076233,0.0553251121076233,0.0553251121076233,0.0621835252220892,0.0
census-income-full-nominal,0.1790644572572939,0.0969219156165486,0.0796221659325438,0.0862999896471136,0.0796286918726723,0.0,0.0796221659325438,0.138861940625464,0.0927478109461115,0.1436170919667815,0.1022656305399773,0.0547975296994618,-0.0552889106036873,0.0,0.0,0.0,0.0579629803116853,0.0,0.0796589060749992,0.0796330427708772,0.0796765637005729,0.0541200691056781,-0.0496261874344839,0.0811628939183506,0.0796395695254044,0.0796221659325438,0.0504771146004923,0.0949916403858997,0.080194860909247,0.0796428253826552,0.0910915946649005,0.0627165010261993,0.0497839138760933,0.0796221659325438,0.0796221659325438,0.0796221659325438,0.0497839138760933,0.0
chess_krkopt_zerovsall,0.0012224382633831,0.0032946203272098,0.0026756333044125,0.0010566627288681,0.0009836904925949,0.0011210067963485,0.0177463061455375,0.0009619156224591,0.0020414798208529,0.027432833622927,0.0308133242950753,0.0015844290285972,-0.0009632880231189,0.0027681687821862,0.01154875307717,0.0,0.0009813789152962,0.0,0.001306041177009,0.0057053548018185,0.0182860059773256,0.0013803893221885,-0.0009632880231189,0.0045924749076292,0.2033149340224155,0.0009907995931367,0.0009614357440444,0.0102582735018039,0.0165590452464324,0.2573498185634923,0.0027099717494429,0.0009795615348857,0.0009938420208107,0.0010693826975778,0.0010981388279467,0.0009614357440444,0.0009614357440444,0.0
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.2109777015437393,0.1044776119402985,0.111756168359942,0.1396226415094339,0.6915520529049011,0.1913746630727762,0.111756168359942,0.1342952275249722,0.2560646900269542,0.2674805771365149,0.2162554426705369,0.1277451283637488,0.3660377358490567,0.0,0.0,0.0,0.115566037735849,0.0,0.1235544735240413,0.1044776119402985,0.1320754716981132,0.1355060034305317,0.2955974842767295,0.1727140783744558,0.1044776119402985,0.1044776119402985,0.1194968553459119,0.2955974842767295,0.1560891938250429,0.1044776119402985,0.1044776119402985,0.3660377358490567,0.1044776119402985,0.1698113207547169,0.0,0.1560891938250429,0.2162554426705369,0.1044776119402985
solar-flare_FvsAll-cleaned,0.13585291113381,0.1449973247726056,0.149904083310496,0.2014250479583447,0.2518726591760299,0.273876404494382,0.2193453834880313,0.0598839362884306,0.141648253490668,0.1477960242005185,0.1943486483479809,0.1207781318128458,-0.0394564933368173,0.4202247191011236,0.3701791679319769,0.0,0.0,0.0,0.126123595505618,0.1346021554689291,0.1145543289546958,0.1286995356750434,-0.0914927768860353,0.1208249961520701,0.1730905987768453,0.1130434782608695,0.1496919173613628,0.1561921224842572,0.1622314212497536,0.1652101539741989,0.1312069590431316,0.1566673733305066,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.0
lymphography,0.0389610389610389,0.7915492957746479,0.9198266522210184,0.0389610389610389,0.7594799566630551,0.7594799566630551,0.7915492957746479,0.0394918530792598,0.4788732394366197,0.5136150234741784,0.4788732394366197,0.4209702660406885,0.3051643192488263,0.6934548467274233,0.7594799566630551,0.8262910798122066,0.0,-0.0422535211267605,0.7915492957746479,1.0,1.0,0.2784398699891657,0.6525821596244131,0.8511066398390341,1.0,0.9198266522210184,0.4788732394366197,0.0483772198407838,0.6091549295774648,0.3051643192488263,0.6525821596244131,0.5830985915492958,0.040574573267419,0.2183098591549296,0.1390079608083282,0.0389610389610389,0.093692590324556,0.0389610389610389
nursery,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0867507087034527,0.0263631814618588,0.0248306997742663,0.0850258790900744,0.0329441304232507,0.0248306997742663,0.1122705367072618,0.4935521688159416,-0.0261282660332541,0.0431087622977093,0.0,0.0726353133727105,0.0,-0.0261282660332541,0.0454395866401302,0.0248306997742663,0.0495465758206016,0.4935521688159416,-0.0261282660332541,0.0506093855056974,0.0248306997742663,0.0248306997742663,0.4935521688159416,0.0494527712243624,0.0447424605118441,0.0248306997742663,0.0248306997742663,0.5053657912141811,0.0248306997742663,0.0248306997742663,0.0,0.0248306997742663,0.0,0.0248306997742663
cmc-nominal,0.1367746900854841,0.0470739208627545,0.0470739208627545,0.0467445742904841,0.0669208621897128,0.0833524444907745,0.0496794290573078,0.1329197764207941,0.0963110036832412,0.1208223892763336,0.0871025843401533,0.0547300396912459,-0.0515653775322283,0.0,0.0,0.0,0.0698624951620243,-0.0515653775322283,0.054653347471027,0.0527220979255132,0.0739946675462466,0.0467445742904841,-0.0515653775322283,0.0591257148395851,0.0603032796520512,0.0475720991374766,0.0467445742904841,0.0470739208627545,0.1166850828729281,0.0629615447732618,0.0703552459497691,0.0545385164169694,0.0467445742904841,0.0522454641254322,0.0519278757925603,0.0519278757925603,0.0467445742904841,0.0467445742904841
Average ADJ_MAX_F1,0.1±0.08,0.162±0.26,0.179±0.3,0.094±0.08,0.257±0.3,0.185±0.25,0.174±0.26,0.082±0.05,0.145±0.16,0.177±0.16,0.172±0.14,0.167±0.18,0.062±0.17,0.2±0.28,0.192±0.29,0.126±0.29,0.046±0.05,-0.015±0.02,0.165±0.26,0.187±0.33,0.194±0.33,0.15±0.16,0.091±0.26,0.181±0.28,0.224±0.32,0.169±0.31,0.176±0.2,0.088±0.1,0.163±0.19,0.144±0.1,0.15±0.21,0.229±0.22,0.048±0.04,0.089±0.07,0.055±0.05,0.065±0.05,0.073±0.07,0.027±0.04
Average Rank,15.25±10.87,16.125±7.47,16.5±6.39,16.875±10.6,11.0±8.16,13.5±8.98,14.5±7.29,18.875±13.16,14.5±8.04,8.75±7.01,7.25±5.39,19.375±8.28,30.375±12.32,17.625±13.54,19.125±14.62,24.25±12.28,24.625±10.35,34.375±2.2,15.75±4.77,15.75±7.4,12.5±8.19,20.375±8.42,29.5±12.77,12.25±5.01,11.125±8.34,20.5±7.56,20.875±9.26,16.125±11.23,11.0±4.07,13.625±8.57,14.875±6.1,15.0±9.86,26.75±4.8,21.625±5.8,26.25±5.8,23.625±7.27,26.0±7.6,29.25±5.78
