Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
sick_sick_35_variant1ori,-0.0044046251623684,0.0051978281814975,0.0460077041063918,-0.0043695516821371,-0.0016200363825632,0.0091002191069957,0.0179867149820751,-0.0036306590828821,0.0506500267281775,0.0696372735150199,0.1332695094941294,2.248162838900928e-05,0.058616199314982,0.0,0.0,0.0,0.0,0.0663775970619457,0.0379427069675312,0.0627143363349145,0.0935589126873779,0.0124641768840335,0.0729937144700987,0.0546331623459453,0.049757037485822,0.0896796892366318,0.022453331865009,0.0645039168202915,0.0317117190557976,0.0257642732261232,0.0326265823279112,0.039161253970079,0.0358655361934037,0.009439517957795,0.0125699316196916,0.0059600853559222,0.0198420421358549,0.0056733195138986
thyroid_disease_variant1ori,0.0540242601907559,-0.0070456434472404,-0.0105202281322428,0.051504407736423,0.0961861353492173,-0.0063335990617489,-0.0159837995772487,0.0020115431895982,0.0916272231598629,0.1395646071025493,0.1602979559185564,-0.0080088904359792,0.0913030459396226,0.0,0.0,0.0,0.0,0.2255142884726983,0.0295993935257399,-0.0027412349475243,-0.0056810988537383,-0.0031549195654955,-0.008335031431674,0.0600460599093025,0.053933157791552,-0.0033015886415343,-0.0032611364375191,-0.0104318298911516,0.054269032276568,0.0573129634765958,0.0246563713486048,-0.000609641005889,0.0159049700649976,0.0,0.0,0.0,-0.0008164517585604,0.0
ecoli,-0.0061949136138259,0.0559956643492277,0.2545270208332902,-0.0116473436961802,0.014457810795991,0.2494158049061558,0.0256288413213482,-0.0109368784519277,0.6663134687214931,0.6685170411736029,0.6513408440013946,0.0541826842035076,0.6529263435617287,0.1653107558467288,0.1653107558467288,0.1653107558467288,0.0,0.2094884058760401,0.5062954052599538,0.4880262907826763,0.5101776705516534,0.0844793799478382,0.4793536510539121,0.5779552256548309,0.5779552256548309,0.5779552256548309,0.133531717544842,0.5183319945917884,0.4852065053000474,0.5156394548499922,0.4966112523355512,0.1153662293700375,0.2969360687565669,-0.0030508926596782,-0.0050771099787592,-0.0015398460560601,-0.0016452949150968,-0.0029240263842238
heart,-0.0136995592048621,0.2241627676630669,0.3675078143836174,-0.0080097190481903,0.0124650636324532,0.6295404287070953,0.2116842645406902,0.0136454875835923,0.2754424863834779,0.3720523514035435,0.3007807474216942,0.1799927382825764,0.2524751152033426,0.202830370867231,0.2191636748076612,0.3198371171989248,0.0,0.2596949440313951,0.3307013506691746,0.3061568054303473,0.4277330747402366,0.1632657858923583,0.3851496542144316,0.2816709794553192,0.214629670271557,0.4683689497462158,0.205510316415234,0.3272378083204522,0.1303981107764183,0.1700690487673246,0.1825184573208169,0.1263107567921751,0.1176465015807927,0.113622705462466,0.0813894622764855,0.0538844179243328,0.0383805078922018,0.0962835622250741
hepatitis,-0.0086379478779182,0.0572139303482587,0.1819747416762342,-0.0091245682614496,0.0091715336361669,0.2903131401814456,0.1443037338559726,-0.0095485928004632,0.3922544142034923,0.2487562189054726,0.2221584385763489,0.0280541735765616,0.232821400245151,0.0275733386795256,0.0648721992005574,0.0223046598086293,0.0,0.035033167495854,0.2396351575456053,0.1390270867882808,0.1121738053029869,0.0404620255366524,0.2675511332227749,0.0972734891848998,0.1087962962962962,0.0752965939533103,0.0832202623247399,0.0677910183828866,0.02999495277237,0.0144693200663349,0.02999495277237,0.0350810224017883,0.02999495277237,0.0290247358355095,0.0205347904352879,0.0265054040144107,-0.0070062147176575,0.0112166369039896
lymphography,-0.0172351219430002,0.582684998882182,0.7725240330874134,-0.0173050727263687,0.5450480661748267,0.5121944225740919,0.7032472613458529,-0.0163276807373174,0.2937946077872593,0.3919200530453727,0.2599717546471239,0.151603719654936,0.1282582536995202,0.4380340968369137,0.5913704448915714,0.5667321388649357,0.0,0.4252546111330396,0.6048122065727698,0.8262910798122066,0.8262910798122066,0.0997611485805098,0.8014755197853789,0.6178403755868545,0.8262910798122066,0.8014755197853789,0.2639569996642539,0.5276453593355002,0.5031373425739623,0.2027788202877957,0.5241886099203918,0.3132431626797824,0.4663208466025367,0.0793572780590435,0.045627701418408,-0.0063659451273342,0.015802834182519,-0.0096188916255233
nursery,0.061797356576098,0.061797356576098,0.061797356576098,0.061797356576098,0.0719138563843299,-0.0087219489810445,-0.012647683591373,0.0297594967237201,0.0014933463553745,0.061797356576098,0.039205411759115,0.0394485094230292,0.0097806264471543,0.006695069933986,0.0,0.0565497690459319,0.0,-0.0020324828821878,0.0079126628768734,0.061797356576098,0.0108537181675327,0.1655765985161967,0.014147953639144,0.0043283650472433,0.061797356576098,0.061797356576098,0.1829131178350877,0.061797356576098,0.0066754576569609,0.061797356576098,0.061797356576098,0.0641247005806626,0.061797356576098,0.0260122751726654,0.0,0.061797356576098,0.0,0.061797356576098
cmc-nominal,0.0504558625757259,-0.0082720812246112,-0.0102963493896821,-0.0007739027152619,0.0004824948567746,0.0306472669197438,0.0122875952976702,0.0488002459017455,0.0183528958936954,0.0382554987958784,0.0112205600183051,-0.0038455231077323,0.0227365394503874,0.0,0.0,0.0,0.0253281208762322,0.0900656198245015,0.010252076496046,0.0047430409828007,-0.0035367566017486,0.0051233366069481,-0.0014350745822624,-0.0075875412609552,-0.0043506964358927,0.0417866333857422,0.0102501116829282,0.0010966694935167,0.0354019162022272,0.0096421408569003,0.0031206566255369,0.0011587618736134,0.0103290769854081,-0.0027969585074753,-0.007381862658308,0.016202937128001,0.0037162107868574,-0.0071393115869561
Average ADJ_AVERAGE_PRECISION,0.015±0.03,0.121±0.2,0.208±0.26,0.008±0.03,0.094±0.19,0.213±0.25,0.136±0.24,0.007±0.02,0.224±0.23,0.249±0.22,0.222±0.2,0.055±0.07,0.181±0.21,0.105±0.16,0.13±0.2,0.141±0.21,0.003±0.01,0.164±0.14,0.221±0.24,0.236±0.29,0.246±0.31,0.071±0.07,0.251±0.29,0.211±0.26,0.236±0.3,0.264±0.31,0.112±0.1,0.195±0.23,0.16±0.21,0.132±0.17,0.169±0.22,0.087±0.1,0.129±0.17,0.031±0.04,0.018±0.03,0.02±0.03,0.009±0.02,0.019±0.04
Average Rank,25.25±16.38,21.875±11.17,16.25±13.73,29.0±13.2,22.0±13.51,17.375±13.56,21.625±12.25,27.75±12.81,12.0±10.41,6.125±6.17,10.5±8.82,27.375±4.6,12.75±9.47,23.5±4.96,21.125±7.62,20.25±7.76,27.625±9.81,14.75±11.9,12.75±6.8,11.625±8.18,14.25±12.86,21.25±8.68,14.75±13.0,15.125±11.44,12.125±9.98,8.5±9.58,18.375±8.43,14.625±10.47,17.625±7.95,17.375±9.4,16.0±5.86,19.75±7.46,16.75±6.61,26.625±5.26,29.25±6.2,23.125±10.76,28.875±5.77,26.75±10.47
