Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
sick_sick_35_variant1ori,-0.0100632547441058,-0.0100632547441058,0.0476546455269859,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,0.1053725457980777,0.1342314959336235,0.1630904460691694,-0.0100632547441058,0.1053725457980777,0.0,0.0,0.0,0.0,0.1342314959336235,0.0765135956625318,0.0765135956625318,0.1053725457980777,0.01879569539144,0.1053725457980777,0.1342314959336235,0.1053725457980777,0.1342314959336235,0.01879569539144,0.1053725457980777,0.01879569539144,0.01879569539144,0.0765135956625318,0.0765135956625318,0.1053725457980777,0.0476546455269859,0.01879569539144,0.01879569539144,0.01879569539144,0.01879569539144
thyroid_disease_variant1ori,0.1456003769843218,-0.0252795476188138,-0.0537595350526698,0.1456003769843218,0.2025603518520336,-0.0537595350526698,-0.0537595350526698,-0.0181595507603498,0.1812003612766417,0.2096803487104976,0.1883203581351057,-0.0181595507603498,0.1740803644181777,0.0,0.0,0.0,0.0,0.3734402764551693,0.1171203895504658,-0.0039195570434219,-0.0181595507603498,-0.0110395539018859,-0.0323995444772778,0.2025603518520336,0.2025603518520336,0.010320436673506,0.010320436673506,-0.0110395539018859,0.1171203895504658,0.1171203895504658,0.0459204209658259,0.024560430390434,0.031680427248898,0.0,0.0,0.0,-0.0110395539018859,0.0
ecoli,-0.0275229357798165,0.0866462793068297,0.4291539245667686,-0.0275229357798165,-0.0275229357798165,0.200815494393476,-0.0275229357798165,-0.0275229357798165,0.7716615698267074,0.7716615698267074,0.7716615698267074,0.0866462793068297,0.7716615698267074,0.3149847094801223,0.3149847094801223,0.3149847094801223,0.0,0.3149847094801223,0.6574923547400611,0.6574923547400611,0.6574923547400611,0.200815494393476,0.5433231396534149,0.7716615698267074,0.7716615698267074,0.7716615698267074,0.200815494393476,0.7716615698267074,0.7716615698267074,0.6574923547400611,0.6574923547400611,0.200815494393476,0.3149847094801223,-0.0275229357798165,-0.0275229357798165,-0.0275229357798165,-0.0275229357798165,-0.0275229357798165
heart,-0.003076923076923,0.3312820512820513,0.4148717948717949,-0.003076923076923,0.0805128205128205,0.5820512820512821,0.2476923076923077,-0.003076923076923,0.4148717948717949,0.4148717948717949,0.4148717948717949,0.2476923076923077,0.3312820512820513,0.3312820512820513,0.2476923076923077,0.4148717948717949,0.0,0.3312820512820513,0.4148717948717949,0.3312820512820513,0.4148717948717949,0.2476923076923077,0.4148717948717949,0.4148717948717949,0.2476923076923077,0.4984615384615384,0.2476923076923077,0.4148717948717949,0.1641025641025641,0.2476923076923077,0.1641025641025641,0.1641025641025641,0.1641025641025641,0.0805128205128205,0.1641025641025641,0.0805128205128205,0.0805128205128205,0.0805128205128205
hepatitis,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,0.6517412935323383,0.3034825870646765,0.3034825870646765,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,0.0,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985
lymphography,-0.0422535211267605,0.6525821596244131,0.8262910798122066,-0.0422535211267605,0.6525821596244131,0.6525821596244131,0.6525821596244131,-0.0422535211267605,0.4788732394366197,0.4788732394366197,0.3051643192488263,0.3051643192488263,0.3051643192488263,0.3051643192488263,0.6525821596244131,0.8262910798122066,0.0,0.4788732394366197,0.6525821596244131,1.0,1.0,0.1314553990610328,0.8262910798122066,0.8262910798122066,1.0,0.8262910798122066,0.3051643192488263,0.6525821596244131,0.4788732394366197,0.3051643192488263,0.4788732394366197,0.4788732394366197,0.4788732394366197,0.1314553990610328,0.1314553990610328,-0.0422535211267605,-0.0422535211267605,-0.0422535211267605
nursery,0.1044698769164327,0.1044698769164327,0.1044698769164327,0.1044698769164327,0.1044698769164327,-0.0261282660332541,-0.0261282660332541,0.0671561217879507,-0.004361908874973,0.1044698769164327,0.0702656013819909,0.1169077952925926,0.0142949686892679,0.0049665299071474,0.0,0.1044698769164327,0.0,-0.0261282660332541,0.0267328870654286,0.1044698769164327,0.0174044482833081,0.2754912545886417,0.0111854890952278,0.0018570503131073,0.1044698769164327,0.1044698769164327,0.2381774994601597,0.1044698769164327,-0.0074713884690131,0.1044698769164327,0.1044698769164327,0.1448931116389517,0.1044698769164327,0.073375080976031,0.0,0.1044698769164327,0.0,0.1044698769164327
cmc-nominal,0.0611023414890818,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,-0.0140094711917916,0.0986582478295185,0.023546435148645,0.0986582478295185,0.023546435148645,-0.0140094711917916,0.023546435148645,0.0,0.0,0.0,0.023546435148645,0.1737700605103919,-0.0140094711917916,0.023546435148645,0.023546435148645,-0.0140094711917916,0.0611023414890818,0.023546435148645,0.023546435148645,0.0986582478295185,-0.0140094711917916,0.0611023414890818,0.0986582478295185,0.023546435148645,0.023546435148645,-0.0140094711917916,0.023546435148645,-0.0140094711917916,-0.0515653775322283,-0.0140094711917916,-0.0140094711917916,-0.0515653775322283
Average ADJ_R_PRECISION,0.023±0.07,0.179±0.24,0.214±0.31,0.014±0.07,0.118±0.23,0.204±0.28,0.091±0.25,0.002±0.05,0.328±0.29,0.314±0.23,0.28±0.24,0.084±0.13,0.254±0.24,0.114±0.17,0.146±0.24,0.202±0.3,0.003±0.01,0.217±0.19,0.279±0.27,0.268±0.38,0.269±0.39,0.101±0.13,0.279±0.3,0.291±0.35,0.301±0.38,0.3±0.35,0.12±0.14,0.257±0.31,0.2±0.28,0.179±0.23,0.188±0.25,0.129±0.17,0.147±0.17,0.031±0.06,0.024±0.08,0.009±0.06,-0.005±0.04,0.005±0.06
Average Rank,19.875±13.46,17.875±12.22,14.25±11.31,22.0±12.25,17.5±11.93,20.0±14.4,24.0±10.82,24.375±12.12,9.625±11.01,4.125±4.94,8.375±9.13,20.75±9.65,11.0±9.2,19.625±6.32,18.75±7.29,13.125±8.87,23.625±10.14,12.0±11.74,11.875±8.11,11.0±7.62,11.875±10.59,18.75±9.35,12.25±12.42,7.625±9.23,6.625±5.68,5.375±5.5,16.75±7.32,8.5±8.4,14.875±11.48,13.125±6.13,12.75±5.99,16.0±7.37,12.875±6.66,22.25±6.98,24.75±8.43,21.0±9.84,25.25±7.59,22.75±11.37
