Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
sick_sick_35_variant1ori,0.1153002546619567,0.6072208987102604,0.8862893288425203,0.1139489033106054,0.4426764150168406,0.7474739176866837,0.8313398504887868,0.2446069169473425,0.7177852624661136,0.8312494865686355,0.79914565020948,0.4927380267805799,0.7275034913332786,0.5,0.5,0.5,0.5,0.8866672143267887,0.879696870122402,0.897962704345683,0.9223363180809988,0.7204715353651524,0.8894438511459788,0.880986609710014,0.8774500944713711,0.9359401955146636,0.8031257701470468,0.8884293107697363,0.7975108847449273,0.7769079109504642,0.8601577261151729,0.8612420931569867,0.8176127495276432,0.6348517210219337,0.5554423724636491,0.6291218269941673,0.5442002793066623,0.5581491826172678
thyroid_disease_variant1ori,0.6567884175494056,0.408243832281246,0.3980129784706609,0.665760202629073,0.6428650317589657,0.4878633628179578,0.3491743650661195,0.5424046003868016,0.7077733381765348,0.6747049901336135,0.7138207950049578,0.4430817486574842,0.6582303334936827,0.5,0.5,0.5,0.5,0.8494799285300556,0.4796119221291759,0.4377362287823603,0.439137648363947,0.4823214969419111,0.4084684030198015,0.5467867976948979,0.5656114705333739,0.4951846143273676,0.4780644702094029,0.3880116040486545,0.5677970469561461,0.5965445558162595,0.58473188953574,0.5073727923346522,0.5521777225827353,0.5,0.5,0.5,0.4995889005605678,0.5
ecoli,0.1676860346585117,0.6527353041114509,0.8418280665987088,0.1036357458375806,0.6170574243968739,0.8311247026843357,0.6816173972137275,0.1211348963642541,0.8637444784233775,0.8858307849133538,0.8844716275908936,0.616038056405029,0.8967040434930342,0.8511722731906218,0.8511722731906218,0.8511722731906218,0.5,0.852871219843697,0.8848114169215087,0.8803941556235134,0.8865103635745837,0.6608902480462113,0.8817533129459735,0.8802242609582059,0.8802242609582059,0.8802242609582059,0.8355419639823309,0.8798844716275909,0.8817533129459734,0.8817533129459734,0.8807339449541284,0.7740400951410125,0.8640842677539925,0.5305810397553516,0.4836901121304791,0.4610941216445803,0.5276928304451239,0.5265035677879714
heart,0.2528205128205128,0.8241025641025641,0.8610256410256409,0.2835897435897436,0.4517948717948717,0.9512820512820512,0.7753846153846153,0.5261538461538461,0.8420512820512821,0.882051282051282,0.8564102564102564,0.657948717948718,0.8266666666666667,0.8302564102564103,0.8574358974358974,0.8261538461538462,0.5,0.8605128205128204,0.8825641025641026,0.8620512820512821,0.8943589743589744,0.7964102564102564,0.8958974358974359,0.8571794871794872,0.8643589743589745,0.8969230769230768,0.801025641025641,0.8625641025641025,0.7928205128205129,0.8353846153846154,0.7866666666666667,0.738974358974359,0.6815384615384615,0.6994871794871795,0.7025641025641025,0.6364102564102564,0.5602564102564103,0.6146153846153847
hepatitis,0.1990049751243781,0.8557213930348258,0.8457711442786069,0.1840796019900497,0.3681592039800995,0.900497512437811,0.8208955223880597,0.1641791044776119,0.8407960199004976,0.945273631840796,0.9104477611940298,0.4825870646766169,0.845771144278607,0.6069651741293532,0.7213930348258706,0.5671641791044776,0.5,0.6268656716417911,0.8955223880597015,0.835820895522388,0.8059701492537313,0.6567164179104477,0.8656716417910448,0.7810945273631841,0.7860696517412935,0.7761194029850746,0.7512437810945274,0.7537313432835822,0.4626865671641791,0.5174129353233831,0.4825870646766169,0.6218905472636815,0.5024875621890548,0.7835820895522387,0.6965174129353233,0.7985074626865671,0.5223880597014925,0.7388059701492538
lymphography,0.0093896713615023,0.9906103286384976,0.9976525821596244,0.0023474178403755,0.982394366197183,0.9741784037558686,0.9929577464788732,0.0704225352112675,0.8838028169014084,0.9565727699530516,0.8345070422535211,0.6842723004694835,0.8485915492957746,0.971830985915493,0.983568075117371,0.9577464788732396,0.5,0.9612676056338028,0.988262910798122,1.0,1.0,0.8145539906103286,0.9988262910798122,0.9929577464788732,1.0,0.9988262910798122,0.874413145539906,0.960093896713615,0.9741784037558684,0.8708920187793427,0.9730046948356808,0.789906103286385,0.9647887323943662,0.4154929577464788,0.5985915492957746,0.4342723004694835,0.5522300469483568,0.3028169014084507
nursery,0.5,0.5,0.5,0.5,0.7342992874109263,0.3231833777201948,0.0489289570287195,0.6836787111015139,0.5408807792893304,0.5,0.725127522253413,0.5488885289954173,0.6115865303870054,0.5783708822188632,0.5,0.65582667530411,0.5,0.4864192998872333,0.581077041195806,0.5,0.5805892655773891,0.8419475035389523,0.6535557474987405,0.5640332061709734,0.5,0.5,0.866648432064109,0.6513472012284364,0.5716667866311571,0.5,0.5,0.6851919431848172,0.6251133664435328,0.5050581827778978,0.5,0.5,0.5,0.5
cmc-nominal,0.6449289660615627,0.4220928702972902,0.3736845566956064,0.4830636674559326,0.5023349118652987,0.5857340173638517,0.447744014732965,0.6086227308602999,0.5637661141804788,0.5742238884504077,0.5351552223099185,0.436661404893449,0.570080242041568,0.5,0.5,0.5,0.5956985003946331,0.7187911076032624,0.3959155485398579,0.3789463299131807,0.3697382267824257,0.3546435148645094,0.3617797947908444,0.3774006840305183,0.4067021836358853,0.5133846356222047,0.5004275190739279,0.3943370165745856,0.4121941594317284,0.4837542751907392,0.5179558011049723,0.5042094185740595,0.4636937647987371,0.5167719021310182,0.4604051565377532,0.5276243093922652,0.4959550118389896,0.4830965535385425
Average AUC,0.318±0.25,0.658±0.21,0.713±0.25,0.292±0.23,0.593±0.2,0.725±0.24,0.619±0.31,0.37±0.24,0.745±0.14,0.781±0.18,0.782±0.12,0.545±0.1,0.748±0.12,0.667±0.19,0.677±0.2,0.67±0.18,0.512±0.03,0.78±0.16,0.748±0.23,0.724±0.24,0.737±0.24,0.666±0.17,0.744±0.24,0.735±0.21,0.735±0.21,0.75±0.21,0.739±0.16,0.722±0.22,0.683±0.21,0.683±0.18,0.698±0.2,0.685±0.13,0.684±0.18,0.573±0.12,0.562±0.1,0.561±0.12,0.525±0.03,0.528±0.12
Average Rank,26.625±14.91,21.375±9.83,17.875±12.28,29.5±12.32,21.5±13.49,16.125±12.82,22.875±11.75,25.625±15.01,14.25±7.05,9.375±7.85,9.875±8.54,28.625±5.15,12.0±8.4,19.375±5.55,18.25±5.9,19.375±6.95,25.25±10.71,14.25±12.07,13.0±10.9,14.875±12.53,12.75±13.93,23.5±10.11,12.625±14.22,14.875±8.43,13.125±8.72,11.75±9.04,18.5±8.37,17.75±11.49,18.875±9.19,18.125±7.34,16.625±8.11,18.625±8.31,19.125±7.55,22.375±7.84,25.375±5.55,23.0±9.46,27.125±5.0,25.625±6.78
