Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
scenario-1-1-rcat-0-icat,-0.0489878089699138,0.7688873891196423,0.7892444584717981,0.0,0.6970389090532099,0.0,0.6994338583887575,-0.0489878089699138,0.4048550901163845,0.6790767890366016,0.5677116449336314,0.2659480286546151,0.541367202242606,0.0,0.0,0.0,0.0,0.979642930647844,0.8886348558970297,0.9006096025747684,0.9089919252491856,0.7066187063954008,0.9089919252491856,0.9916176773255828,0.8239712238372404,0.9916176773255828,0.979642930647844,0.9916176773255828,0.9880252533222612,0.9844328293189396,0.9880252533222612,0.9748530319767488,0.9880252533222612,0.0,0.0,0.0,-0.0070761955978282,-0.009471144933376
scenario-1-2-rcat-0-icat,-0.0489878089699138,0.8946222292358991,0.8910298052325775,0.0,0.8239712238372404,0.0,0.8407358691860748,-0.0489878089699138,0.7377530477575215,0.3856954954320025,0.6766818397010539,0.5198126582226764,0.6299803276578728,0.0,0.0,0.0,0.0,0.9916176773255828,0.9760505066445224,0.96287828529901,0.9772479813122964,0.8407358691860748,0.9748530319767488,0.9976050506644524,0.9940126266611308,0.9976050506644524,0.9856303039867136,0.9976050506644524,0.9940126266611308,0.9904202026578092,0.9940126266611308,0.979642930647844,0.9940126266611308,0.0,0.0,0.0,-0.0130635689366976,-0.0130635689366976
scenario-1-3-rcat-0-icat,-0.0489878089699138,0.9532984879568188,0.9473111146179496,0.0,0.8311560718438837,0.0,0.9197691972591504,-0.0489878089699138,0.7161985037375919,0.5545394235881187,0.5317874049004151,0.6156106316445863,0.598845986295752,0.0,0.0,0.0,0.0,0.0,0.9964075759966784,0.9928151519933568,0.998802525332226,0.8527106158638135,0.9964075759966784,1.0,0.9976050506644524,1.0,0.9880252533222612,1.0,1.0,0.9904202026578092,1.0,0.9844328293189396,1.0,0.0,0.0,0.0,-0.0118660942689237,-0.0154585182722453
scenario-1-4-rcat-0-icat,-0.0489878089699138,0.980840405315618,0.982037879983392,0.0,0.8886348558970297,0.0,0.96287828529901,-0.0489878089699138,0.723383351744235,0.7030262823920792,0.8455257678571702,0.6168081063123603,0.5066404368771638,0.0,0.0,0.0,0.0,0.0,0.998802525332226,0.9976050506644524,1.0,0.8227737491694666,0.998802525332226,1.0,1.0,1.0,0.9892227279900352,1.0,1.0,1.0,1.0,0.9868277786544872,1.0,0.0,0.0,0.0,-0.0130635689366976,-0.0154585182722453
scenario-1-5-rcat-0-icat,-0.0489878089699138,0.9880252533222612,0.9880252533222612,0.0,0.9341388932724368,0.0,0.9772479813122964,-0.0489878089699138,0.7772697117940595,0.8802525332226125,0.7197909277409135,0.5581318475914403,0.4767035701828167,0.0,0.0,0.0,0.0,0.0,1.0,0.998802525332226,1.0,0.8646853625415521,-0.0489878089699122,1.0,1.0,1.0,0.9904202026578092,-0.0489878089699122,1.0,1.0,1.0,0.9880252533222612,-0.0058787209300541,0.0,0.0,0.0,-0.0130635689366976,0.0025036017443629
scenario-1-6-rcat-0-icat,-0.0489878089699138,0.9952101013289044,0.9952101013289044,0.0,0.9688656586378792,0.0,0.9868277786544872,-0.0489878089699138,0.7353580984219737,0.6718919410299585,0.6503373970100287,0.5701065942691791,0.4228172101329934,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8598954638704567,-0.0489878089699122,1.0,1.0,1.0,0.9916176773255828,-0.0489878089699122,1.0,1.0,1.0,0.9904202026578092,-0.015458518272244,0.0,0.0,0.0,-0.0118660942689237,0.0084909750832319
scenario-1-7-rcat-0-icat,-0.0489878089699138,0.998802525332226,0.998802525332226,0.0,0.9760505066445224,0.0,0.9940126266611308,-0.0489878089699138,0.7605050664452252,0.8107990024917279,0.8515131411960395,0.5760939676080485,0.4611363995017578,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8886348558970297,-0.0489878089699122,1.0,1.0,1.0,0.9928151519933568,-0.0489878089699122,1.0,1.0,1.0,0.9892227279900352,-0.009471144933375,0.0,0.0,0.0,-0.0118660942689237,0.0120833990865552
scenario-1-8-rcat-0-icat,-0.0489878089699138,0.998802525332226,0.998802525332226,0.0,0.9892227279900352,0.0,0.9964075759966784,-0.0489878089699138,0.7808621357973811,0.8646853625415521,0.7509252691030341,0.5976485116279783,0.4012626661130632,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8970171785714468,-0.0489878089699122,1.0,1.0,1.0,0.9952101013289044,-0.0489878089699122,1.0,1.0,1.0,0.9916176773255828,-0.0070761955978269,0.0,0.0,0.0,-0.0154585182722453,0.0120833990865552
scenario-1-9-rcat-0-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9880252533222612,0.0,0.9964075759966784,-0.0489878089699138,0.7652949651163206,0.838340919850527,0.7700848637874161,0.647942447674481,0.4683212475083996,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9185717225913764,-0.0489878089699122,1.0,1.0,1.0,0.9964075759966784,-0.0489878089699122,1.0,1.0,1.0,0.9940126266611308,-0.0070761955978269,0.0,0.0,0.0,-0.019050942275567,0.01088592441878
scenario-1-9-rcat-1-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9892227279900352,0.0,0.9964075759966784,-0.0489878089699138,0.732963149086426,0.847920717192718,0.7317656744186521,0.6766818397010539,0.4060525647841593,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7844545598007026,-0.0489878089699122,1.0,1.0,1.0,0.9341388932724368,-0.0489878089699122,1.0,1.0,1.0,0.9844328293189396,-0.0106686196011502,0.0,0.0,0.0,-0.0154585182722453,-0.003483771594506
