Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
scenario-1-1-rcat-0-icat,0.0314442433119399,0.9778677213738568,0.9816203151149672,0.5,0.9450608223672284,0.5,0.96915082333246,0.011055925220586,0.7877881842356718,0.8128655687538655,0.8062639135091076,0.6154347258205619,0.6606508215449939,0.5,0.5,0.5,0.5,0.9998939011143064,0.9949195103976908,0.9953386073799882,0.9958819332621413,0.979560004984477,0.9958084556343232,0.9999880622794076,0.9885814744961772,0.9999880622794076,0.9999420350251446,0.9999880622794076,0.999978039701156,0.9999587606015896,0.999978039701156,0.9998981144274568,0.999978039701156,0.5,0.5,0.5,0.4690791650898661,0.4675348900631689
scenario-1-2-rcat-0-icat,0.0137400610496307,0.9918585383940076,0.9923933738117818,0.5,0.983921167123492,0.5,0.9879549037602672,0.002301522308344,0.8128527373001806,0.5537896772806409,0.78129709654207,0.680144034025185,0.742413833915792,0.5,0.5,0.5,0.5,0.9999671233898122,0.9993245931343936,0.999130078510622,0.9993733015879338,0.9916370202632274,0.9994938917173412,0.9999984040480492,0.9999932970018064,0.9999984040480492,0.9998255943708094,0.9999984040480492,0.9999945737633672,0.9999893390409682,0.9999945737633672,0.9998077835470376,0.9999945737633672,0.5,0.5,0.5,0.4706021820365776,0.4698847377965853
scenario-1-3-rcat-0-icat,0.0049959360679523,0.997376318830854,0.9974521584675592,0.5,0.9933534985054228,0.5,0.9962235946557828,9.559752185688136e-05,0.7628538608503538,0.7686753509434503,0.7082690483887524,0.7301728505336098,0.6786142183231627,0.5,0.5,0.5,0.5,0.5,0.9999638038097544,0.9998055492143064,0.9999698045890896,0.9923445376820856,0.9999387154450868,1.0,0.999999744647688,1.0,0.9998683658830924,1.0,1.0,0.9999893390409682,1.0,0.9998430221661128,1.0,0.5,0.5,0.5,0.4735537355745094,0.4727113602158033
scenario-1-4-rcat-0-icat,0.0014657222716754,0.9990993723950872,0.9990892859787578,0.5,0.9969901622968224,0.5,0.998765307732732,1.0405606719647112e-05,0.7909625326659446,0.8709352699763391,0.8769529983213138,0.742496599983964,0.6271094654505767,0.5,0.5,0.5,0.5,0.5,0.9999978933434248,0.9999689746940752,1.0,0.9862277645590396,0.999999936161922,1.0,1.0,1.0,0.9998844530787572,1.0,1.0,1.0,1.0,0.99986357802724,1.0,0.5,0.5,0.5,0.4718345761330365,0.4713310852115773
scenario-1-5-rcat-0-icat,0.0011007599795513,0.9994135195770956,0.9993561291449424,0.5,0.9985014011181368,0.5,0.99928865229646,4.468665462425133e-07,0.7946600979837892,0.941255051507115,0.76409251107846,0.6938480265607261,0.6176268935012326,0.5,0.5,0.5,0.5,0.5,1.0,0.9999991062669076,1.0,0.9888695757423476,7.5328932080884e-06,1.0,1.0,1.0,0.9999047535875724,1.59595195086611e-05,1.0,1.0,1.0,0.9998665145788296,0.5647201925969279,0.5,0.5,0.5,0.4710873195106019,0.5138195713758229
scenario-1-6-rcat-0-icat,0.0005687334372106,0.9996919174354048,0.999628015519292,0.5,0.9993708119028906,0.5,0.9996116729713154,0.0,0.7848134255563743,0.7409249065027509,0.68809896076716,0.7083352165566353,0.5673498426263699,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.9867654088522476,3.83028468207885e-07,1.0,1.0,1.0,0.9999215430020952,0.0,1.0,1.0,1.0,0.9998716854631504,0.5964390992396119,0.5,0.5,0.5,0.4688861506609283,0.5170280412588052
scenario-1-7-rcat-0-icat,0.0005103215958089,0.9997661611201591,0.9996516356081648,0.5,0.9998328080736272,0.5,0.9997166227716042,0.0,0.8013482219052448,0.8723780743780001,0.8691141292052057,0.690510699517231,0.5532983475130473,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.9898591936280406,0.0,1.0,1.0,1.0,0.999926394696026,0.0,1.0,1.0,1.0,0.9998726430343208,0.6184036752347581,0.5,0.5,0.5,0.4627410334312354,0.519327361153457
scenario-1-8-rcat-0-icat,0.0005147902612713,0.9997666079867054,0.9996507418750724,0.5,0.9999020085502168,0.5,0.9997004717378614,0.0,0.8124923713496749,0.8921325441925478,0.8009793016522826,0.7239562665755569,0.5239693789167854,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.986685228226236,6.383807803464751e-08,1.0,1.0,1.0,0.9999342467796244,0.0,1.0,1.0,1.0,0.9998817080414018,0.6451742370966647,0.5,0.5,0.5,0.4646225011861114,0.5204033200396919
scenario-1-9-rcat-0-icat,1.4044377167622569e-06,1.0,0.999996361229552,0.5,0.999962910076662,0.5,0.9999721027598988,0.0,0.8361720211492999,0.8734553100257958,0.8123610564231575,0.7470656189050595,0.5623446500371027,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.989570900867636,0.0,1.0,1.0,1.0,0.9999357150554192,0.0,1.0,1.0,1.0,0.999884006212211,0.6598785723150088,0.5,0.5,0.5,0.4683871284049316,0.5197550124382111
scenario-1-9-rcat-1-icat,1.3405996387275398e-06,1.0,0.999996361229552,0.5,0.9999787419200143,0.5,0.9999638038097544,0.0,0.8071291428997502,0.9008361000756354,0.760469763988072,0.919720520724649,0.5197760790039626,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.9761548819021092,0.0,1.0,1.0,1.0,0.998850020862284,0.0,1.0,1.0,1.0,0.9998458310415465,0.6003073675781212,0.5,0.5,0.5,0.4738920773880931,0.5264646817110036
