Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.5373533612495021,0.5506084327570658,0.5389865299185643,0.5592798632261459,0.6282653635034345,0.6871585751540479,0.5616004082315023,0.4972141303477413,0.5167598227352661,0.6453956584980773,0.6548771684744232,0.4626637526978414,0.5,0.8001838727611221,0.811042448847497,0.6128564570220889,0.6461607094165408,0.5,0.5827207114906491,0.5293940027875299,0.52183723716521,0.4838349507929314,0.5,0.5838894089059705,0.5790064101950083,0.5357101668724811,0.4983743346474035,0.5,0.6013999145068929,0.5929759251461486,0.5497897091791167,0.5239378145565872,0.5,0.4941962326071529,0.4999074697399229,0.4813488625802392,0.5349983735364222,0.5
chess_krkopt_zerovsall,0.357800056290905,0.7219969264637287,0.6386731731553166,0.3509757750900852,0.3042325210793583,0.3051786311267563,0.8323363500501465,0.2382743798420419,0.5869212178391956,0.7737052761491735,0.7376975962726435,0.5255469533538676,0.4361811774313111,0.5104224064229772,0.6622955325370681,0.5,0.5051375361233008,0.5,0.5029764146393352,0.4679531649098882,0.7789009531133759,0.4627700410817896,0.7705531176043859,0.5158367722319344,0.5844944984229297,0.5075279175140033,0.499910806664526,0.7736762057287228,0.56183080222468,0.5240326487249317,0.5055901097144095,0.502782832066788,0.7795266278444414,0.5108650696434777,0.4794339989138234,0.5,0.4979835699269144,0.5
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.6307277628032344,0.1725067385444743,0.3086253369272237,0.5215633423180592,0.9209098179078642,0.5229110512129379,0.22911051212938,0.5404312668463611,0.6684636118598383,0.7129380053908356,0.633423180592992,0.6037735849056604,0.7264150943396226,0.5,0.5,0.5,0.5283018867924528,0.5,0.3773584905660377,0.3409703504043126,0.4070080862533692,0.5220125786163522,0.7075471698113207,0.4541778975741239,0.4595687331536388,0.5,0.5440251572327044,0.6477987421383647,0.4582210242587601,0.330188679245283,0.5,0.6132075471698113,0.6446540880503144,0.5970350404312669,0.5,0.6132075471698113,0.729559748427673,0.5188679245283019
solar-flare_FvsAll-cleaned,0.5709113607990013,0.581398252184769,0.6218476903870164,0.6299625468164795,0.8342072409488139,0.8092384519350811,0.7656679151061174,0.4108614232209738,0.5236243157591471,0.5469605301065976,0.635983866320945,0.466820320752905,0.6030442715835974,0.7159320080668395,0.7433016421780466,0.5,0.5,0.5,0.5184384903486028,0.4690771151445309,0.4745510419667723,0.5109478536444829,0.4797368673773168,0.5063382310573322,0.5114280226639778,0.4969749351771824,0.5497455104196678,0.5377893018342457,0.5277537693268031,0.4939018534524151,0.5456640737539613,0.5771151445308749,0.5514741188898492,0.5103716508210889,0.4959185633342936,0.527753769326803,0.5049937578027466,0.5
creditA_plus_42_variant1ori,0.0250528409797339,0.9917941066766132,0.9663061046873058,0.1188611214720875,0.926768618674624,0.9888101454681087,0.989307472336193,0.5449459157030958,0.8273032450578143,0.918438393634216,0.9442993907745866,0.7816735049111028,0.5,0.5,0.5,0.5,0.5,0.5,0.9671764267064528,0.980106925276638,0.9694143976128312,0.9638194703468856,0.5,0.926395623523561,0.9204898669650629,0.9709063782170833,0.9750093248787766,0.5,0.9190600522193212,0.6983712545070248,0.7922417008578889,0.9444237224916076,0.5,0.546313564590327,0.5200795722988933,0.5630361805296531,0.5046624393882879,0.5
anneal,0.2340029761904762,0.7958603896103896,0.8131764069264069,0.2504734848484848,0.6155979437229437,0.7367424242424243,0.6350784632034632,0.5032467532467533,0.7591314935064936,0.905370670995671,0.9185944264069263,0.6759334415584416,0.6156655844155844,0.8832521645021645,0.897253787878788,0.87303841991342,0.5,0.8709415584415585,0.879193722943723,0.9119656385281384,0.8837594696969697,0.9364853896103896,0.8676271645021645,0.9254937770562772,0.9400703463203464,0.8991815476190477,0.910545183982684,0.8583603896103896,0.7554450757575758,0.9451095779220778,0.859070616883117,0.7899756493506493,0.650872564935065,0.582115800865801,0.5784632034632035,0.5693993506493507,0.5644277597402597,0.5684862012987013
australian,0.227461219474735,0.8130855475349408,0.8796651819996928,0.2148287513438796,0.6164183689141454,0.7612501919827983,0.7911995085240363,0.2765320227307633,0.679926278605437,0.7941944401781599,0.8652280755644294,0.6955920749500845,0.9102288434956228,0.8482567961910613,0.8236829980033789,0.9001689448625403,0.5,0.8090155122101059,0.8178467209338043,0.8795115957610198,0.8755951466748579,0.8138534787283059,0.8962524957763784,0.8660344033174627,0.8473736753186915,0.8976347719244356,0.7394025495315619,0.8798187682383658,0.7852864383351252,0.6735524497005069,0.7375211181078176,0.705344801105821,0.5717631700199662,0.5890416218706804,0.6010981416065121,0.569459376439871,0.6866840731070496,0.5551758562432806
crx,0.2289915966386554,0.8587184873949579,0.8547794117647058,0.2025560224089636,0.5897233893557423,0.8143382352941176,0.8018207282913166,0.65296743697479,0.6285889355742297,0.8433998599439776,0.7633053221288515,0.7566526610644257,0.8018207282913166,0.8121498599439776,0.8227415966386554,0.8320203081232493,0.5,0.778361344537815,0.7835259103641457,0.8639705882352942,0.8402485994397759,0.8721988795518207,0.8344712885154062,0.7840073529411765,0.8298757002801121,0.8460259103641457,0.8509278711484594,0.8052345938375349,0.7457983193277311,0.6666666666666667,0.7339810924369748,0.79796918767507,0.6143644957983193,0.5209646358543417,0.5607055322128852,0.5682335434173669,0.4986869747899159,0.531687675070028
ecoli,0.1676860346585117,0.6527353041114509,0.8418280665987088,0.1036357458375806,0.6170574243968739,0.8311247026843357,0.6816173972137275,0.1211348963642541,0.8637444784233775,0.8858307849133538,0.8844716275908936,0.616038056405029,0.8967040434930342,0.8511722731906218,0.8511722731906218,0.8511722731906218,0.5,0.852871219843697,0.8848114169215087,0.8803941556235134,0.8865103635745837,0.6608902480462113,0.8817533129459735,0.8802242609582059,0.8802242609582059,0.8802242609582059,0.8355419639823309,0.8798844716275909,0.8817533129459734,0.8817533129459734,0.8807339449541284,0.7740400951410125,0.8640842677539925,0.5305810397553516,0.4836901121304791,0.4610941216445803,0.5276928304451239,0.5265035677879714
heart,0.2528205128205128,0.8241025641025641,0.8610256410256409,0.2835897435897436,0.4517948717948717,0.9512820512820512,0.7753846153846153,0.5261538461538461,0.8420512820512821,0.882051282051282,0.8564102564102564,0.657948717948718,0.8266666666666667,0.8302564102564103,0.8574358974358974,0.8261538461538462,0.5,0.8605128205128204,0.8825641025641026,0.8620512820512821,0.8943589743589744,0.7964102564102564,0.8958974358974359,0.8571794871794872,0.8643589743589745,0.8969230769230768,0.801025641025641,0.8625641025641025,0.7928205128205129,0.8353846153846154,0.7866666666666667,0.738974358974359,0.6815384615384615,0.6994871794871795,0.7025641025641025,0.6364102564102564,0.5602564102564103,0.6146153846153847
