Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
thyroid_disease_variant1ori,0.0540242601907559,-0.0070456434472404,-0.0105202281322428,0.051504407736423,0.0961861353492173,-0.0063335990617489,-0.0159837995772487,0.0020115431895982,0.0916272231598629,0.1395646071025493,0.1602979559185564,-0.0080088904359792,0.0913030459396226,0.0,0.0,0.0,0.0,0.2255142884726983,0.0295993935257399,-0.0027412349475243,-0.0056810988537383,-0.0031549195654955,-0.008335031431674,0.0600460599093025,0.053933157791552,-0.0033015886415343,-0.0032611364375191,-0.0104318298911516,0.054269032276568,0.0573129634765958,0.0246563713486048,-0.000609641005889,0.0159049700649976,0.0,0.0,0.0,-0.0008164517585604,0.0
german,-0.006175137694265,0.1093575029716879,0.0389993936308079,-0.0049452870526113,0.0831750540789169,0.0415238287692103,0.0642195893402896,-0.012558629522301,0.1121022841479791,0.0717013888349182,0.0731795953421586,0.0880887847385786,0.0527641661927212,0.0673802929325041,0.0474563532330769,0.0817973228379038,0.0,0.0662217883751019,0.0621074718446741,0.0553202195080289,0.0635493531289469,0.0280430661486271,0.0601063059207401,0.0633559801397996,0.0449324640182673,0.0630212824577513,0.0464523028092265,0.0499197649641283,0.0457563464102945,0.0393891219927371,0.0580907362758375,0.0748983746451289,0.048061532379692,0.0450100523262467,0.0303056219687198,0.0368327246907133,0.0248293367704447,0.0168652888768831
hepatitis,-0.0086379478779182,0.0572139303482587,0.1819747416762342,-0.0091245682614496,0.0091715336361669,0.2903131401814456,0.1443037338559726,-0.0095485928004632,0.3922544142034923,0.2487562189054726,0.2221584385763489,0.0280541735765616,0.232821400245151,0.0275733386795256,0.0648721992005574,0.0223046598086293,0.0,0.035033167495854,0.2396351575456053,0.1390270867882808,0.1121738053029869,0.0404620255366524,0.2675511332227749,0.0972734891848998,0.1087962962962962,0.0752965939533103,0.0832202623247399,0.0677910183828866,0.02999495277237,0.0144693200663349,0.02999495277237,0.0350810224017883,0.02999495277237,0.0290247358355095,0.0205347904352879,0.0265054040144107,-0.0070062147176575,0.0112166369039896
lymphography,-0.0172351219430002,0.582684998882182,0.7725240330874134,-0.0173050727263687,0.5450480661748267,0.5121944225740919,0.7032472613458529,-0.0163276807373174,0.2937946077872593,0.3919200530453727,0.2599717546471239,0.151603719654936,0.1282582536995202,0.4380340968369137,0.5913704448915714,0.5667321388649357,0.0,0.4252546111330396,0.6048122065727698,0.8262910798122066,0.8262910798122066,0.0997611485805098,0.8014755197853789,0.6178403755868545,0.8262910798122066,0.8014755197853789,0.2639569996642539,0.5276453593355002,0.5031373425739623,0.2027788202877957,0.5241886099203918,0.3132431626797824,0.4663208466025367,0.0793572780590435,0.045627701418408,-0.0063659451273342,0.015802834182519,-0.0096188916255233
scenario-1-9-rcat-1-icat,-0.0240754941667194,0.998802525332226,0.9987292070844204,0.0,0.9983576160170552,0.0,0.9982171776682254,-0.0240754942454448,0.7541388148265283,0.8694249246263773,0.7428025731841741,0.7118971930562675,-0.6843636857635973,0.0,0.0,0.0,0.0,0.0,0.998802525332226,0.998802525332226,0.998802525332226,0.8519603277664339,-2.213537966401549,0.998802525332226,0.998802525332226,0.998802525332226,0.9694257709231504,-2.213537966401549,0.998802525332226,0.998802525332226,0.998802525332226,0.9873592792535044,0.291772687243986,0.0,0.0,0.0,-0.0048353697244065,0.0979403511184011
scenario-1-9-rcat-2-icat,-0.0240754941667194,0.998802525332226,0.9987280007356526,0.0,0.998502888721062,0.0,0.9980641591784192,-0.0240754942454448,0.717792834288881,0.7614197743456746,0.6903387040357133,0.5296667518904686,-0.6087297990743986,0.0,0.0,0.0,0.0,0.0,0.998802525332226,0.998802525332226,0.998802525332226,0.6073680290281209,-2.213537966401549,0.998802525332226,0.998802525332226,0.998802525332226,0.9209507700124556,-2.213537966401549,0.998802525332226,0.998802525332226,0.998802525332226,0.9080306843186,0.3029736308061854,0.0,0.0,0.0,-0.0042149567002979,0.0614740201488554
scenario-1-9-rcat-3-icat,-0.0240754941667194,0.998802525332226,0.9987304160246996,0.0,0.9985854537566294,0.0,0.997953007736009,-0.0240754942454448,0.682544485834241,0.8399612550058034,0.712184592965102,0.4639521902737643,-0.33116418998457,0.0,0.0,0.0,0.0,0.0,0.998802525332226,0.998802525332226,0.998802525332226,0.6530906049464683,-2.213537966401549,0.998802525332226,0.998802525332226,0.998802525332226,0.8705000219252867,-2.213537966401549,0.998802525332226,0.998802525332226,0.998802525332226,0.9451723093187184,0.2848547035271284,0.0,0.0,0.0,-0.0049660518042885,0.0583355764804993
scenario-1-9-rcat-4-icat,-0.0240754941667194,0.998802525332226,0.9987340584783864,0.0,0.9986879880186328,0.0,0.9978594587982216,-0.0240754942454448,0.7107192247114795,0.8198528762150028,0.6897700765967216,0.4430919337121191,-0.711943464709045,0.0,0.0,0.0,0.0,0.0,0.998802525332226,0.9987997975994976,0.998802525332226,0.4864225604810435,-2.2135379231530727,0.998802525332226,0.998802525332226,0.998802525332226,0.8707637844944497,-2.213537966401549,0.998802525332226,0.998802525332226,0.998802525332226,0.9408691049522818,0.2484822859261721,0.0,0.0,0.0,-0.0049174718644918,0.0300759528680206
scenario-1-9-rcat-5-icat,-0.0240754941667194,0.998802525332226,0.9987292070844204,0.0,0.9986946792923718,0.0,0.9977993412131498,-0.0240754942454448,0.6674485767909402,0.6790553099146447,0.6366517033733036,0.4776888405890815,0.5224943969132264,0.0,0.0,0.0,0.0,0.0,0.998802525332226,0.998786308046098,0.998802525332226,0.5344729889669692,0.998802525332226,0.998802525332226,0.998802525332226,0.998802525332226,0.8653441797744629,0.998802525332226,0.998802525332226,0.998802525332226,0.998802525332226,0.922614668848401,0.998802525332226,0.0,0.0,0.0,-0.005571659458844,-0.0039916647515403
scenario-1-9-rcat-6-icat,-0.0240754941667194,0.998802525332226,0.9987377245587998,0.0,0.998697353361577,0.0,0.9977472144251638,-0.0240754942454448,0.6474151154203837,0.9103845749713798,0.7167714318857686,0.3722224305686871,0.521533168964951,0.0,0.0,0.0,0.0,0.0,0.998802525332226,0.9987151020275264,0.998802525332226,0.4318982237189211,0.998802525332226,0.998802525332226,0.998802525332226,0.998802525332226,0.8530128843670276,0.998802525332226,0.998802525332226,0.998802525332226,0.998802525332226,0.9363184343327432,0.998802525332226,0.0,0.0,0.0,-0.0038109720420491,-0.0039227486289672
scenario-1-9-rcat-7-icat,-0.0240754941854803,0.998802525332226,0.9987389518757638,0.0,0.9986999116653092,0.0,0.9976117058819668,-0.0240754942454448,0.645375656290533,0.8077091318716108,0.617547290851043,0.4613707890630519,0.5096573876689036,0.0,0.0,0.0,0.0,0.0,0.998802525332226,0.9987970822655544,0.998802525332226,0.3692958150789091,0.998802525332226,0.998802525332226,0.998802525332226,0.998802525332226,0.8344062285931666,0.998802525332226,0.998802525332226,0.998802525332226,0.998802525332226,0.9061226907376692,0.998802525332226,0.0,0.0,0.0,-0.0039106376064928,-0.0043300602741834
scenario-1-9-rcat-8-icat,-0.0240754941892312,0.998802525332226,0.9987377245587998,0.0,0.9987241597670824,0.0,0.9974536467974288,-0.0240754942454448,0.675376095331664,0.6029612010176806,0.5821094953094708,0.0713460714686289,0.4745254108021847,0.0,0.0,0.0,0.0,0.0,0.998802525332226,0.9985313429354586,0.998802525332226,0.0857559373591898,0.998802525332226,0.998802525332226,0.998802525332226,0.998802525332226,0.705301359402134,0.998802525332226,0.998802525332226,0.998802525332226,0.998802525332226,0.8028018549640056,0.998802525332226,0.0,0.0,0.0,-0.0015709802361495,-0.0037481480215215
