Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.012558286291435886,0.02417853802072971,0.021097285620371047,0.0383467082230072,0.02703959664727647,0.030679129391023054,0.02991508302100797,0.00685930398525632,-0.002332246355731417,0.0044294233649531615,0.0072202615215684485,-0.013104334894973242,0.0,0.06348929988768501,0.05322697219999618,0.022416091264914825,-0.0011325625103819775,0.0,0.02128321943650718,0.008468334317495805,0.004293408666151734,-0.008792157392587627,0.0,0.018965297477612664,0.0299757494714501,-0.013477097491303517,-0.014461241729831549,0.0,0.02325205903178929,0.01527984672224513,0.017707510119285792,-0.006441163570534313,0.0,-0.0110488270299909,-0.00531527381243845,-0.01881140053762033,-0.00665050784826942,0.0
census-income-full-nominal,0.08481182890727697,-0.0113117357108347,-0.0239693060339488,-0.0077719080978925,-0.0340752307348901,0.0,-0.0312156166285998,0.0263922715934257,-0.0130385782167951,0.00273954509397455,-0.00395211952123037,8.086355942171002e-05,-0.00019738318472369002,0.0,0.0,0.0,-0.0011445813534688358,0.0,-0.0197825925997342,-0.02837570105131354,-0.02587426550183376,-0.0027864835664663397,0.013000272324449327,-0.02104639127500732,-0.026250917436403322,-0.02537370159501226,-0.00213437510035491,0.01522959597097262,-0.012699282385593619,0.00012325786419006002,-0.00590479360904185,-0.00247861831761582,0.02739100098736245,-0.0008819855217134,0.0009545504791567,-0.0011706384506206,-0.00113771194286307,0.0
chess_krkopt_zerovsall,-0.0002530108827550667,0.0008152861786235,0.0003771306387025,-0.0002661315968308,-0.0003042853435131,-0.0003032412361793,0.0034513432608892,-0.0003630027188583,6.206797945575421e-05,0.0045752960732659805,0.0005222452188520161,-0.00017958114903202023,-0.00024065114184520999,8.984333653650758e-05,0.002739993614802967,0.0,4.0770153841904274e-05,0.0,-9.1142800565243e-05,0.00014470623134276553,0.00045766956709185114,-0.00022790488510795,0.0013397301128195,-6.244433631726039e-06,0.0037914929819637356,2.758079824389917e-05,-9.789017582551651e-05,0.0008921924282908859,0.00054538126573004,0.01478467383599126,2.181450344223834e-06,-5.9820808029493935e-05,0.0008466149752005759,0.0001355546908798,-9.039424962898746e-05,3.478636037305914e-05,-9.426916976422812e-05,0.0
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.08960450837283586,-0.0441307925274836,-0.018280405844168,0.0495656386392447,0.5289848314737279,0.0777660253058287,-0.0377381037212484,0.0252225182373717,0.05780070737271881,0.0209354897698757,0.01172346752541635,0.0031283752029089636,0.012038097473402632,0.0,0.0,0.0,-0.0090294917881124,0.0,-0.00804197964312171,0.035134108455546084,0.026880443687311538,0.007570800971971709,0.09045169044852755,-0.012806118595162399,0.024055240279775004,-0.030010314924793932,0.0031945214862951483,0.032063354222595875,-0.014242718395964667,-0.028828591642024236,-0.01737116517381763,0.004907626744805439,0.032063354222595875,0.0178614866369858,0.0,-0.0038918309142218,0.02009343953998599,0.000114551402455725
solar-flare_FvsAll-cleaned,0.01550432703893136,0.01216936172666185,0.02268135863303384,0.017667846325376144,0.08131952245034521,0.08560760582070506,0.057821238473980865,-0.01322519615369766,0.006494128931750889,0.029493677851166113,0.03981223029069319,-0.012751107424856401,0.01917878267536157,0.01484239845127378,0.037179613623777995,0.0,0.0,0.0,-0.0004944663207206102,0.0058177121168035304,-9.06623837496498e-05,0.0425556903411854,0.0020354857574532903,0.00347219146466776,0.02909786589989981,-0.00808693521840438,0.07467075851991892,0.01691011614216795,-0.0028212226156076998,-0.009688836207226558,-0.0020449132486228695,0.030469419388469386,-0.00559171451419663,0.0048921093085452,0.010805033273244,0.0064781508644624,0.0094689186632979,0.0
lymphography,-0.0172351219430002,0.582684998882182,0.7725240330874134,-0.0173050727263687,0.5450480661748267,0.5121944225740919,0.7032472613458529,-0.0163276807373174,0.08623484776914656,0.19040363918796482,0.10247007587673566,0.05362676968799281,0.06726208392911052,0.394342418145235,0.4701262252277164,0.4317638416978576,0.0,0.32601840548741945,0.5087940658715306,0.8027162977867203,0.7804687722293356,0.08449968346930825,0.7619748170452396,0.5924241214482663,0.7476735593938814,0.616486295027859,0.24005006065360263,0.47070272786500383,0.2867722672008237,0.14211830681268406,0.3894783234817643,0.15995431760801768,0.3162304678262465,0.0793572780590435,0.045627701418408,-0.0063659451273342,0.015802834182519,-0.0096188916255233
nursery,0.061797356576098,0.061797356576098,0.061797356576098,0.061797356576098,0.0719138563843299,-0.0087219489810445,-0.012647683591373,0.0297594967237201,-0.0013107429381201698,0.06179735657609799,0.00681341143823949,-0.036053665719420286,-0.00323366756755586,0.0049955224707984875,0.0,0.0013688661360733367,0.0,-0.0039897060665765,0.00356877308524425,0.061797356576098,-0.0010769608210228602,-0.6191531816581136,0.00699474224486832,0.0033210718977225197,0.06179735657609799,0.06179735657609799,-0.6206949790876746,0.01798932810552355,0.0038914912247512597,0.06179735657609799,0.06179735657609799,-0.16209599059687846,0.011520085265287059,0.0260122751726654,0.0,0.061797356576098,0.0,0.061797356576098
cmc-nominal,0.050256560926811335,-0.0082720812246112,-0.0102963493896821,-0.0007739027152619,0.0004824948567746,0.0306472669197438,0.0122875952976702,0.0488002459017455,0.01396343166324868,0.00017637302402337963,0.00150915159909075,-0.00581764306151496,0.00680827805178459,0.0,0.0,0.0,0.01407659930759555,0.013566503994073447,-0.00658218849506263,-0.0003119093635711551,-0.0058966463608508,0.0030234972244488497,-0.00383749086011044,-0.009629588857847909,-0.0062438566127942605,0.00884800395410901,0.00227433488091412,-0.0033780548838802703,0.00907986371183778,0.00338902083373692,-0.00591696349207639,-0.00522064111062465,-0.00016903233430799988,-0.0027969585074753,-0.007381862658308,0.016202937128001,0.0037162107868574,-0.0071393115869561
Average ADJ_AVERAGE_PRECISION,0.037±0.04,0.077±0.21,0.103±0.27,0.018±0.03,0.153±0.24,0.091±0.17,0.091±0.25,0.013±0.02,0.018±0.03,0.039±0.06,0.021±0.04,-0.001±0.03,0.013±0.02,0.06±0.14,0.07±0.16,0.057±0.15,0.0±0.01,0.042±0.11,0.062±0.18,0.111±0.28,0.097±0.28,-0.062±0.23,0.109±0.27,0.072±0.21,0.108±0.26,0.076±0.22,-0.04±0.25,0.069±0.16,0.037±0.1,0.025±0.05,0.055±0.14,0.002±0.09,0.048±0.11,0.014±0.03,0.006±0.02,0.007±0.02,0.005±0.01,0.006±0.02
Average Rank,13.625±14.81,18.25±13.75,18.125±14.36,18.375±14.33,14.125±15.4,12.75±13.87,17.0±15.81,20.125±15.28,20.25±10.19,12.375±7.11,17.0±6.28,28.375±9.27,21.25±8.78,15.125±6.85,13.125±8.54,18.625±6.28,23.0±8.88,20.0±8.19,24.5±8.64,15.25±11.88,21.0±11.7,23.625±10.82,13.625±10.41,24.0±9.61,13.875±12.49,23.25±13.16,23.125±11.66,13.75±7.54,20.25±10.14,17.625±12.83,22.75±8.99,24.125±8.44,16.5±10.2,21.5±7.17,24.5±8.78,20.75±12.88,22.625±7.96,21.625±11.16
