Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.06687882363239667,0.07664046957021185,0.09113501523180333,0.2128177865616073,0.09766725068280047,0.11074207470470909,0.09022488469358034,0.05667945804076977,0.056147147489550776,0.06796001569682242,0.06442008932007572,0.05635520732607216,0.0,0.15232948611434644,0.13973804298928302,0.08811710721039441,0.09159585210849562,0.0,0.07928163228148659,0.06964929469401768,0.05885211023387163,0.05637445344305008,0.0,0.09146572936516888,0.1216173833287927,0.05588110659831879,0.05559342917178775,0.0,0.09349857317390162,0.09310568584388935,0.08432055607332428,0.06067758922394133,0.0,0.055325112107623295,0.055325112107623295,0.055325112107623295,0.05898895034438062,0.0
census-income-full-nominal,0.1790644572572939,0.0969219156165486,0.0796221659325438,0.0862999896471136,0.0796286918726723,0.0,0.0796221659325438,0.138861940625464,0.08262296910467411,0.10007304776731862,0.08564359392310984,0.05213507731898651,-0.0552889106036873,0.0,0.0,0.0,0.05104202533756736,0.0,0.07963289781970065,0.07962608157262734,0.07963357585893543,0.050645858078972705,-0.05397191885161733,0.08059870407683985,0.07962521146899793,0.0796221659325438,0.05013043377288012,0.0666280691390718,0.07974678201756455,0.0796251019811903,0.08081795748801487,0.052480339055198076,0.0497839138760933,0.0796221659325438,0.0796221659325438,0.0796221659325438,0.0497839138760933,0.0
chess_krkopt_zerovsall,0.0011510451117775,0.0032946203272098,0.0026756333044125,0.0010566627288681,0.0009836904925949,0.0011210067963485,0.0177463061455375,0.0009619156224591,0.00150707261339136,0.021658809425878188,0.005611119684784871,0.0012053179880983599,-0.0009632880231189,0.0022435077625217333,0.008579116259926434,0.0,0.00097147587152305,0.0,0.00115529726098039,0.00424292054497581,0.0043085875840010905,0.0011136710908762899,-0.0009632880231189,0.00235541423364051,0.03340068955642979,0.00096437212895363,0.0009614357440444002,0.0040101415360357506,0.00894391357064538,0.061844275936425976,0.00126351402127608,0.0009632483231285301,0.00096617734439291,0.0010693826975778,0.0010981388279467,0.0009614357440444,0.0009614357440444,0.0
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.20843656692713297,0.1044776119402985,0.111756168359942,0.1396226415094339,0.6915520529049011,0.1913746630727762,0.111756168359942,0.1342952275249722,0.2109687536640799,0.14693161552093337,0.1406874912856446,0.07387586822219054,0.08390340418109424,0.0,0.0,0.0,0.115566037735849,0.0,0.11843873299358346,0.1044776119402985,0.11352262798686338,0.0766301745532303,0.06918238993710693,0.13222951522022205,0.10447761194029852,0.10447761194029852,0.06679696441389771,0.007686932215234122,0.12287618511217498,0.10447761194029852,0.10447761194029852,0.08582569279822709,0.0687241757315119,0.1698113207547169,0.0,0.1560891938250429,0.09015341718575487,0.06425499620541357
solar-flare_FvsAll-cleaned,0.07526121976048923,0.08666147525953058,0.11399675366143272,0.09506682139106665,0.197473242094296,0.2208119555106299,0.16450093524094486,0.05470054086048283,0.12977771475828032,0.1315605242173987,0.14531727652026608,0.11816364526850287,-0.0812381310494205,0.14635278640723498,0.14918447707522262,0.0,0.0,0.0,0.12081320422002162,0.12001907285920674,0.11357117800175098,0.12258899702515373,-0.09439912681207367,0.11471816086086392,0.14013027674150041,0.1130434782608695,0.12865352747499934,0.10714791103303474,0.13118177221508265,0.12167294883108862,0.12066443988905007,0.13055424404738616,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.0
lymphography,0.0389610389610389,0.7915492957746479,0.9198266522210184,0.0389610389610389,0.7594799566630551,0.7594799566630551,0.7915492957746479,0.0394918530792598,0.2623492735066525,0.34987351369332914,0.25243063440311536,0.25846099991763444,0.14508682783571783,0.6000266961244591,0.6750572554614196,0.6518533110082405,0.0,-0.0422535211267605,0.7048960077844219,0.951895991332611,0.929839643924151,0.26698653459216837,0.3994634473507713,0.8138832997987927,0.8976835371201568,0.7593411283552128,0.4788732394366197,0.04030620765814531,0.4233549498905939,0.24727638558624476,0.5591061925140701,0.34330739682852357,0.03919154386195034,0.2183098591549296,0.1390079608083282,0.0389610389610389,0.093692590324556,0.0389610389610389
nursery,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0867507087034527,0.0263631814618588,0.0248306997742663,0.0850258790900744,0.026967856287836472,0.0248306997742663,0.04364238594597257,0.275212206060255,-0.026128266033254098,0.04006313978360609,0.0,0.034255999321619476,0.0,-0.0261282660332541,0.034173738365831416,0.0248306997742663,0.0295978276098795,0.36731134502927815,-0.026128266033254098,0.03830987706564487,0.0248306997742663,0.0248306997742663,0.3560543050172193,0.03285971751436154,0.03777238841474064,0.0248306997742663,0.0248306997742663,0.2869706287255064,0.0248306997742663,0.0248306997742663,0.0,0.0248306997742663,0.0,0.0248306997742663
cmc-nominal,0.1367746900854841,0.0470739208627545,0.0470739208627545,0.0467445742904841,0.0669208621897128,0.0833524444907745,0.0496794290573078,0.1329197764207941,0.08187366474014904,0.058531941944648405,0.05987815830498968,0.05053813529528317,-0.0515653775322283,0.0,0.0,0.0,0.0581141713415614,-0.0515653775322283,0.04856561701308449,0.047970253072841015,0.056816594270419817,0.0467445742904841,-0.0515653775322283,0.050115950673828326,0.05022856790095783,0.04682732677518335,0.0467445742904841,0.0435879793077487,0.06854800040108466,0.05525459647972332,0.051099416349404216,0.04806173366106932,0.0467445742904841,0.0522454641254322,0.0519278757925603,0.0519278757925603,0.0467445742904841,0.0467445742904841
Average ADJ_MAX_F1,0.091±0.08,0.154±0.26,0.174±0.3,0.081±0.07,0.248±0.3,0.174±0.25,0.166±0.26,0.08±0.05,0.107±0.09,0.113±0.11,0.1±0.08,0.111±0.1,0.002±0.08,0.118±0.21,0.122±0.23,0.097±0.23,0.04±0.05,-0.015±0.02,0.148±0.23,0.175±0.32,0.173±0.31,0.124±0.13,0.03±0.16,0.165±0.27,0.181±0.29,0.148±0.25,0.148±0.17,0.038±0.04,0.121±0.13,0.099±0.07,0.128±0.18,0.126±0.12,0.043±0.04,0.089±0.07,0.055±0.05,0.065±0.05,0.057±0.04,0.022±0.03
Average Rank,15.5±12.82,16.125±8.87,14.875±6.17,18.0±11.87,8.25±7.7,11.0±10.45,11.75±6.5,17.125±13.41,12.875±8.68,10.375±6.63,10.625±7.13,19.625±7.73,33.75±4.71,17.625±13.13,19.375±14.3,25.25±10.75,23.25±11.13,34.625±2.5,14.5±3.16,14.875±7.0,13.0±6.85,20.125±9.03,33.0±6.72,11.75±4.74,10.5±6.87,20.625±6.28,21.875±10.68,25.25±9.13,9.375±3.96,13.75±7.21,14.875±3.04,19.125±8.51,27.0±5.35,19.0±8.0,24.75±7.46,21.25±9.77,27.0±4.11,29.875±5.77
