Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
creditA_plus_42_variant1ori,0.0494117647058823,0.7826729315092193,0.6110011076113827,0.0494117647058823,0.4587885460248641,0.7679602851240855,0.7643740561807388,0.06152255181300605,0.15326114971461507,0.2128928521684854,0.25497001605056147,0.15132094440581687,0.0,0.0,0.0,0.0,0.0,0.0,0.503763951396177,0.6270628638268478,0.5209055615411493,0.455864555964419,0.0,0.39888402292598535,0.3277474715210557,0.5189141992302131,0.6107583680653176,0.0,0.2762361117081216,0.12167557808546495,0.13707165058033444,0.2631142487450742,0.0,0.06628932897928388,0.0598976712375058,0.05588543175019315,0.053360478928989166,0.0
anneal,0.05117488086405182,0.19620971787127747,0.2029165175853403,0.0504253056884635,0.08831880414476101,0.15789616472809412,0.09988696999576512,0.10534456070641074,0.13097544258138766,0.31138460513695426,0.2859068625356161,0.08905603717417283,-0.044903626089266124,0.30607457573483754,0.32483067251714787,0.26784386457765197,0.0,-0.053030303030303,0.323474736977542,0.5304226860890313,0.44251467029014857,0.32814332125980683,-0.053030303030303,0.3661457009686016,0.6484511908395487,0.39442706874260497,0.3029735045345609,0.2209055798009299,0.13342567887677612,0.22740668014062337,0.20896289222452913,0.12880076147692812,0.04806770609636157,0.05806422701365421,0.05697167358839791,0.061381685476187955,0.05516093006566075,0.047945205479452
australian,0.0753880266075388,0.3183262257140278,0.39923446049982625,0.0753880266075388,0.15290526413993638,0.19784406956870929,0.29676006350519496,0.0753880266075388,0.12273793993993141,0.1925547214526203,0.2780530308665972,0.13698796750955813,-0.07904168938111496,0.34039900041904325,0.29587365121227804,0.38673264507079574,0.0,-0.0887728459530026,0.3326552729727946,0.32731815885668103,0.320544225442571,0.25383345677752184,0.03649400711101962,0.3376939792812949,0.3095015581947158,0.381531142075463,0.2039428385165781,0.2621787860251607,0.22424539946296446,0.1166339768296055,0.14462637473435716,0.16167010017732078,0.07547363636267425,0.09187416061252737,0.09116524624351811,0.08676465560189867,0.09460403945513533,0.0753880266075388
crx,0.07604894055801253,0.3487122996377237,0.3676044778304136,0.0760095011876484,0.14035124400269608,0.19422043238437117,0.2746267684556274,0.1411629984674408,0.10269603289135718,0.1608380977308537,0.14612104542814022,0.18249134045562357,-0.0724066406122758,0.21561928716791834,0.24964437285627278,0.2330979220909826,0.0,-0.0896358543417367,0.21299406133138468,0.27071608564334315,0.22775543922951155,0.32672654758817027,-0.003504584246057281,0.20571809453256726,0.23213189940789034,0.25845926980264833,0.2750535805002179,0.1743388203906297,0.15895084762885375,0.11539058933962734,0.1389726222325633,0.21694254896002885,0.07616782433409883,0.08548450056313209,0.09342610075393082,0.08724335364837696,0.07833970834624403,0.0760095011876484
german,0.06363115760906204,0.14168957261284332,0.10612817287234333,0.06418988002000013,0.14166332679399996,0.09116523993286388,0.11453080165640243,0.06290424305522614,0.114761236166306,0.07741246368763845,0.09331891986567749,0.08606559822176699,-0.06171211723624678,0.12264120118834386,0.12289920039598053,0.12573499142560576,0.0,-0.0714285714285714,0.11283013155775161,0.11627610046013162,0.11189251782033653,0.08046920159570772,-0.0714285714285714,0.1325422280138335,0.11522802701331558,0.10467111296099024,0.10211792117380077,0.07436398520277657,0.11604414702144934,0.08888046928587684,0.12487579634392024,0.12487602061958329,0.0625,0.06925312095500644,0.07011139181079931,0.06564372739101144,0.06620599797420278,0.0625
heart,0.0738636363636363,0.3104471483622639,0.36986137025786964,0.0740470995670995,0.08484855328114935,0.36102140138649774,0.22860066540977647,0.07943977992357973,0.247703000062528,0.261877017802357,0.23687017288087614,0.13114804267864963,0.15352473449213183,0.19587723212757152,0.18578615458204403,0.21397799675485216,0.0,-0.0866666666666666,0.2960642581830885,0.25616905197106954,0.3360865862368033,0.20154692064778967,-0.03561058201058198,0.29461285867495624,0.26099379088670827,0.332676600515607,0.22922314459193394,0.10824299920561442,0.14792845259970638,0.13557197002067362,0.13783844909415735,0.16444913327018645,0.07409384402315429,0.10706545897468638,0.10815475216932273,0.10095315803063216,0.08373346414651604,0.0738636363636363
scenario-1-4-rcat-0-icat,0.0446164816135275,0.989110853194084,0.9861260956835493,0.0,0.92454549562304,0.0,0.9656471828641432,0.0446164816135275,0.7805995037744704,0.583610636812754,0.6620565310322123,0.5499417686979754,0.14937670528258493,0.0,0.0,0.0,0.0,0.0,0.9982606815273757,0.9971213993768677,1.0,0.8805656572338469,0.9809042871020329,0.999880115678975,0.9985555184200698,0.999880115678975,0.9780248763290198,0.9996395230897012,0.5953386410134613,0.5675112704047842,0.8275718873405452,0.7621001785867744,0.0446164816135275,0.0,0.0,0.0,0.0446450951117698,0.0446164816135275
scenario-1-5-rcat-0-icat,0.0446164816135275,0.9939782559760624,0.9921672363488748,0.0,0.9357517483916538,0.0,0.9824056411450968,0.0446164816135275,0.7932840204258146,0.5694533291369085,0.6931609296845288,0.5428250896127192,-20.00047717088199,0.0,0.0,0.0,0.0,0.0,0.9992210599330912,0.99886120145397,1.0,0.9022602510863852,-20.413242009132404,0.999880115678975,0.9991597768771218,0.999880115678975,0.9797944925669413,-1.8362117586270947,0.6254886129785528,0.5351341516025728,0.802743133811369,0.7537976532230749,0.4880458515283836,0.0,0.0,0.0,0.0446546368323529,0.4880458515283836
scenario-1-6-rcat-0-icat,0.0446164816135275,0.9975995702311902,0.9970011783620072,0.0,0.9770118011875104,0.0,0.9909621957871634,0.0446164816135275,0.7761699087208299,0.5695421483795855,0.6797162436121452,0.5364900790654104,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,0.9997005287509889,0.9995206681145078,1.0,0.9130359448443108,-20.413242009132404,1.0,0.9998802525332227,1.0,0.9834320160069367,-1.8362140720376665,0.643988052889398,0.5218193839191838,0.80734811477974,0.753207107065963,0.4880458515283836,0.0,0.0,0.0,0.0446641804978444,0.4880458515283836
scenario-1-7-rcat-0-icat,0.0446164816135275,0.999400920725888,0.998802525332226,0.0,0.9801624081971304,0.0,0.9963993553467853,0.0446164816135275,0.7940208478196275,0.6243844358008751,0.7295139242670386,0.5384809304432017,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,0.999700460362944,0.9997604366393882,1.0,0.9260418806260924,-20.413242009132404,1.0,0.9999401604216217,1.0,0.9842027213094363,-1.8362140720376665,0.6529802575304806,0.5052384125036417,0.7912222207570307,0.7502461875402814,0.4880458515283836,0.0,0.0,0.0,0.044673726108839,0.4880458515283836
