Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
census-income-full-nominal,0.1224876440647757,-0.0478681270874583,-0.0495836937657286,-0.0521570437831339,-0.0878408306911548,0.0,-0.0504414771048637,0.006686893281535,-0.045037442068312464,-0.02592602927238207,-0.01890936155825683,0.00772671700156201,-0.027467865293165163,0.0,0.0,0.0,-0.006227233180884329,0.0,-0.04200088904777413,-0.059053621829780245,-0.05711503148333489,-0.00489012247544109,0.0014045833071072147,-0.04004514303454604,-0.05095614710834475,-0.04776519308676213,0.00204913923691062,-0.001859338209769683,-0.03141584264284679,0.00771623328849716,0.01162772531495326,-0.00830489750780385,0.05017141067691501,-0.0051505167985295,0.0027410899215135,-0.0024056101132972,0.00011547144750036,0.0
bands_band_16_variant1ori,-0.05128205128205119,0.2772435897435897,0.2772435897435897,-0.0512820512820512,0.0144230769230769,0.0144230769230769,0.1458333333333333,0.0144230769230769,0.027564102564102567,0.027564102564102577,0.04727564102564103,0.027564102564102556,-0.00528846153846152,0.0,0.0,0.0,0.0,-0.01842948717948715,0.09983974358974354,0.2181089743589743,0.06698717948717947,0.2115384615384615,0.07355769230769227,0.09983974358974357,0.0801282051282051,0.23124999999999996,0.30352564102564095,-0.03157051282051277,0.08012820512820511,0.047275641025640996,0.2115384615384615,0.23124999999999996,-0.01185897435897434,0.0801282051282051,-0.0512820512820512,-0.0512820512820512,0.0144230769230769,-0.0512820512820512
sick_sick_35_variant1ori,-0.0100632547441058,-0.0100632547441058,0.0476546455269859,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,0.05054054054054049,0.0447687505134313,0.059198225581204245,-0.0100632547441058,0.041882855499876734,0.0,0.0,0.0,0.0,0.10537254579807769,0.05054054054054049,0.05342643555409508,0.07939949067608638,0.01879569539144,0.05342643555409508,0.08228538568964097,0.07074180563542262,0.08517128070319555,-0.00429146471699664,0.059198225581204265,0.01013801035077626,0.01013801035077626,0.033225170459212985,0.00436622032366712,0.044768750513431335,0.0476546455269859,0.01879569539144,0.01879569539144,0.01879569539144,0.01879569539144
ad_nominal,-0.1197005516154452,0.3084202475316367,-0.0576776165011459,0.0170954433782969,-0.1155155155155155,0.2729546191999258,0.3924424424424423,-0.1088755422088755,-0.10445951107715809,-0.06784759358288768,-0.029201680672268908,0.09106661104157973,0.0,0.0,0.0,0.0,0.0,0.0,-0.17971734148204732,0.04605614973262029,0.06639610389610387,0.16123788995503638,0.0,-0.17768334606569897,-0.16751336898395722,-0.01699770817417875,0.18555717795392387,0.0,-0.1573433919022154,-0.1471734148204736,-0.01292971734148203,0.0844801372085477,0.0,-0.1593773873185638,-0.1186974789915966,-0.098357524828113,0.0,0.0
AID362red_train_allpossiblenominal,0.0161460064251689,-0.0039326465049296,-0.0039326465049296,-0.0240112994350282,-0.0039326465049296,-0.0240112994350282,0.0161460064251689,-0.0240112994350282,0.0020909493740999506,-0.0039326465049296395,-0.0059405117979394895,0.00409881466710979,-0.0019247812119197604,0.0,0.0,0.0,-0.01196410767696906,0.028193198183228064,-0.0019247812119197495,0.008114545253129511,0.01012241054613935,-0.0240112994350282,0.0081145452531295,-0.01999556884900849,-0.0019247812119197495,0.01413814113215906,-0.0240112994350282,0.014138141132159072,-0.00393264650492961,0.00811454525312951,0.03020106347623792,0.03823252464827737,0.03220892876924778,-0.0039326465049296,-0.0039326465049296,-0.0039326465049296,0.0,-0.0240112994350282
apascal_entire_trainvsall,0.0037489850246163,-0.0328106852497096,-0.0328106852497096,-0.0328106852497096,-0.0328106852497096,-0.0328106852497096,-0.0328106852497096,0.0311687377303608,-0.00996089132825587,-0.0017349655165325502,-0.01178887484197218,-0.01910080889683735,-0.021842784167411818,0.0,0.0,0.0,-0.01178887484197218,-0.0200148006536955,-0.030982701735993302,-0.0328106852497096,-0.0328106852497096,-0.0328106852497096,-0.0328106852497096,-0.02915471822227701,-0.02732673470856071,-0.03006870997913515,-0.029154718222277,-0.03006870997913515,-0.01635883362626293,-0.019100808896837358,0.00831894380890713,-0.0328106852497096,0.00831894380890713,-0.0053909325439651,0.0037489850246163,-0.0053909325439651,0.0,-0.0053909325439651
covertype_nominal_4vs123567,-0.0047504171962681,0.0263394209768963,0.0643787523887681,-0.1466666666666666,-0.1466666666666666,0.0519428171195023,-0.1466666666666666,-0.0424242424242424,-0.08412121212121208,-0.08412121212121208,-0.06327272727272724,-0.0047504171962681,0.0,0.0,0.0,0.0,0.0,0.0,-0.10496969696969694,-0.0424242424242424,-0.08412121212121208,-0.0047504171962681,0.014854468992927328,-0.1466666666666666,-0.1466666666666666,-0.1466666666666666,-0.0007270263738586,0.0187498428346238,-0.1466666666666666,-0.1466666666666666,-0.1466666666666666,-0.0007270263738586,-0.0034092869221316,0.166060606060606,0.166060606060606,-0.1466666666666666,-0.0007270263738586,0.0
list_attr_celeba_baldvsnonbald,-0.0137346663473865,0.1237246947574189,0.1338485429566271,0.0024634907713466,0.1462445716446921,0.1356483381920419,0.1141031908124923,0.0102176563369893,0.04132592135672559,0.02140974430534463,0.019831372925192,0.06696365252052455,0.0001462544057501597,0.0,0.0,0.0,0.0017885675580661,0.0,0.04944735954914749,0.061930842283082224,0.06038116856438689,0.0014736033918684801,0.08230690690243572,0.08517594806351247,0.10672789181796075,0.029473787174851905,-0.0030033872562257704,0.048898207845048516,0.00565472816527528,0.01334570143583735,0.009701098430757591,0.01045008212849982,-0.00748037790432006,-0.0049921042353909,-0.0009744316313659,-0.0018353614750855,0.0,0.0013386187492124
Reuters-corn-100,-0.2536944187887584,0.4679443198311123,0.4434819897084048,-0.1864230109513128,0.2416677661960681,0.4557131547697586,0.3578638342789286,-0.2353476711967277,0.2728572371025201,0.2642954215595725,0.27346879535558777,0.03557263491225751,0.22393257685710513,0.0,0.0,0.0,-0.1436139332365747,0.0,0.4147387518142235,0.390276421691516,0.3945573294629898,0.2312712758939174,0.38966486343844836,0.4245236838633065,0.44287043145533705,0.4104578440427497,0.16583454281567486,0.4104578440427497,0.36275630030347006,0.3064929410212429,0.35297136825438713,0.2159823195672252,0.35297136825438713,-0.033533447684391,0.0153912125610238,0.0459691252144082,0.0,0.0459691252144082
w7a-libsvm-nonsparse,0.0007180703875386,-0.0236716559279677,0.0237140980564446,0.009777111590441,0.2499974138049853,0.0996706742961645,0.1283186725481717,0.0013951579613231,0.20153570823546127,0.2557666644680239,0.3123053209658019,0.09869508524354424,0.24552123766289266,0.0,0.0,0.0,-0.012173642093514651,0.0,0.29237518231166865,-0.02199653109063321,-0.021367158291028997,-0.01670316269496588,-0.024438190183597868,0.49838987871544616,0.16440271305881296,-0.0120314617635666,-0.015797258574675628,-0.01280080648448483,0.5623761133418739,0.48664158645616756,0.11667527575549386,-0.00715632696575339,0.15102846942338796,-0.0059475247007259,-0.0059475247007259,0.0013951579613231,0.0,0.002111769034139
