Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.0355462539974583,0.06607443468736582,0.04853238961408171,0.0530276811032049,0.04142947565802805,0.037232299229450885,0.07382306809396982,0.03217416353347323,-0.011358089424461744,0.004784896839296585,0.021390648709282672,-0.027124406008732407,0.0,0.12357745102058511,0.11326859663460606,0.055054156064640127,-0.032693736269729046,0.0,0.046799709088438314,0.019883969991331865,0.015299361892424496,-0.011605615213839364,0.0,0.02232694191258065,0.07375132148835312,-0.014543638713843407,-0.018547099307255458,0.0,0.06514890347491034,0.036694199687325596,0.05214841853716359,-0.005664996268776324,0.0,-0.0176538540673275,-0.00721472295009711,-0.008183302125922599,0.0008567701817820201,0.0
chess_krkopt_zerovsall,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.011394283433956634,0.0,-0.0009632880231189,0.0,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.0175730691624944,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.017573069162494397,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.0
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.0296495956873315,-0.1320754716981132,0.0296495956873315,0.0296495956873315,0.5817654954642726,0.0296495956873315,-0.1320754716981132,-0.1320754716981132,0.01347708894878703,-0.051212938005390854,-0.06738544474393532,-0.06346483704974265,-0.04645103324348603,0.0,0.0,0.0,-0.1320754716981132,0.0,-0.051212938005390854,0.029649595687331505,0.029649595687331505,-0.0487625581965204,0.053009883198562445,-0.07816711590296498,-0.024258760107816735,-0.1320754716981132,-0.059416383452478565,-0.006688629330138745,-0.1320754716981132,-0.1320754716981132,-0.1320754716981132,-0.037071760615649006,-0.006688629330138745,-0.1320754716981132,0.0,-0.1320754716981132,-0.03406027934329817,-0.0754716981132075
solar-flare_FvsAll-cleaned,0.00719101123595506,0.007191011235955061,0.0071910112359550695,0.0064086558468581,0.042397003745318365,0.14097378277153558,0.07760299625468163,-0.056179775280898805,-0.028522039757994798,0.04788245462402764,0.06845289541918753,-0.06966292134831455,-0.01676750216076055,0.006741573033707887,0.08020743301642178,0.0,0.0,0.0,0.00968020743301639,0.02143474503025064,-0.010890233362143462,0.0772687986171132,0.00674157303370785,0.02143474503025063,0.08902333621434741,0.01261884183232496,0.06551426101987898,0.06551426101987896,-0.037337942955920474,0.0008643042350907487,0.009680207433016398,0.02731201382886775,-0.04321521175453757,-0.0579083837510803,-0.0285220397579948,0.0302506482281763,0.0008643042350907,0.0
creditA_plus_42_variant1ori,-0.0548302872062663,0.7086659206763646,0.5629988810145468,-0.04980728583861741,0.39221683451448464,0.7388039288822579,0.7187119234116622,-0.0046002735297774,0.06823324630113142,0.11796095984085539,0.1892875792614696,0.07978614944672385,0.0,0.0,0.0,0.0,0.0,0.0,0.3414845207012309,0.5695287827924903,0.4645480542086286,0.3249086161879896,0.0,0.2560934974511998,0.2616187989556136,0.41381574039537483,0.512266567201293,0.0,0.13152306353350737,0.04763894069377098,0.010468730573169226,0.1923013800820589,0.0,0.02051473330846699,-0.02469227900037298,0.0054457292055203515,-0.014646276265075201,0.0
anneal,-0.03798701298701295,0.06731601731601726,0.15005411255411255,-0.053030303030303,0.01842532467532462,-0.045508658008657984,-0.041747835497835464,-0.053030303030303,0.06806818181818178,0.20195346320346316,0.17149080086580082,0.041742424242424185,0.05101911976911971,0.24181818181818177,0.24407467532467528,0.17449945887445886,0.0,0.12623556998556998,0.1395238095238095,0.4783739177489177,0.3617884199134198,0.23805735930735927,0.15882936507936504,0.1632169913419913,0.5859334415584415,0.3238041125541125,0.20834686147186143,0.19142316017316013,0.045127164502164446,0.12636093073593072,0.1286174242424242,-0.012789502164502168,-0.03422619047619046,-0.00790043290043291,-0.041747835497835464,-0.011661255411255409,-0.007900432900432918,-0.027958152958152932
australian,-0.07596375364767316,0.263477192443557,0.3595453847335279,-0.07916602672400552,0.08414990016894483,0.07134080786361541,0.22825218860390106,-0.07596375364767316,0.037076485946859146,0.11168944862540314,0.2170442328367378,0.04892489632928888,0.24639840270311777,0.2714828751343879,0.21800491475963754,0.29902242359084624,0.0,0.13965596682537243,0.2775671939794194,0.24074105360159728,0.24938719090769465,0.1879035478421133,0.3520734142220857,0.2615558285977576,0.19462832130241128,0.31759560743357396,0.12161649516203346,0.24106128090923054,0.13218399631393024,0.026188757487329125,-0.0035923821225618234,0.0562901244048533,-0.04500844724312701,0.004093073260635839,0.00409307326063584,0.023306711718629997,0.04252035017662416,-0.014053140838580868
crx,-0.08623074229691877,0.3053571428571429,0.34281337535014006,-0.08623074229691877,0.0840248599439776,0.09424019607843136,0.20660889355742298,0.07040441176470588,-0.010977766106442566,0.046228116246498606,0.046568627450980386,0.11909751400560223,0.21682422969187673,0.0874299719887955,0.11977853641456582,0.11875700280112043,0.0,0.07607959850606906,0.12182160364145656,0.15893732492997198,0.12182160364145656,0.24542717086834734,0.24066001400560222,0.09628326330532211,0.08674894957983191,0.12352415966386554,0.19707457983193277,0.12942635387488327,0.02647846638655462,-0.010637254901960769,-0.017787990196078428,0.12692927170868346,-0.030613912231559272,0.036353291316526606,0.03635329131652662,0.05337885154061624,-0.04877450980392154,0.03521825396825397
ecoli,-0.0275229357798165,0.0866462793068297,0.4291539245667686,-0.0275229357798165,-0.0275229357798165,0.200815494393476,-0.0275229357798165,-0.0275229357798165,0.6232415902140672,0.5775739041794087,0.691743119266055,0.0866462793068297,0.6118246687054026,0.2807339449541284,0.2807339449541284,0.2807339449541284,0.0,0.26931702344546377,0.5775739041794088,0.5319062181447503,0.6574923547400611,0.12089704383282358,0.44057084607543323,0.6118246687054026,0.6118246687054026,0.6118246687054026,0.20081549439347599,0.5547400611620794,0.4063200815494393,0.39490316004077464,0.3378185524974515,0.09806320081549433,0.23506625891946992,-0.0275229357798165,-0.0275229357798165,-0.0275229357798165,-0.0275229357798165,-0.0275229357798165
heart,-0.06994871794871789,0.16410256410256413,0.30620512820512824,-0.06994871794871789,-0.003076923076923033,0.22261538461538466,0.11394871794871797,-0.06158974358974352,0.11144102564102566,0.15574358974358976,0.09973846153846155,0.03203076923076927,0.1278803418803419,0.026179487179487218,-0.010042735042734997,0.05125641025641029,0.0,0.16874643874643874,0.16744615384615386,0.12983076923076925,0.2568871794871795,0.03453846153846157,0.23933333333333334,0.17768589743589744,0.07319871794871799,0.2267948717948718,0.09305128205128207,0.2267948717948718,-0.03860256410256404,-0.016660256410256355,-0.03964743589743584,0.05857051282051284,-0.017008547008546957,-0.011435897435897383,-0.011435897435897381,-0.036512820512820454,-0.003076923076923022,-0.0030769230769230375
