Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
thyroid_disease_variant1ori,0.17464877318513883,0.051520357155147044,0.04866482493161186,0.16433588731315668,0.11778040810269312,0.05965848342936671,0.0485405050836339,0.05876272935096516,0.08465016355317888,0.08396440050870503,0.08708579097669522,0.049040647185262395,-0.03223696472250389,0.0,0.0,0.0,0.0,-0.0537595350526698,0.07816847003236813,0.048857066308733606,0.048580507722016976,0.0508573146090136,-0.0537595350526698,0.1515524320364076,0.15354847181724737,0.0485405050836339,0.04952705937460529,0.026540129277157654,0.07996746333624068,0.07345029231209294,0.05899380036834831,0.05232712191046796,0.048552818130137274,0.0,0.0,0.0,0.0485405050836339,0.0
german,0.06363115760906204,0.14168957261284332,0.10612817287234333,0.06418988002000013,0.14166332679399996,0.09116523993286388,0.11453080165640243,0.06290424305522614,0.114761236166306,0.07741246368763845,0.09331891986567749,0.08606559822176699,-0.06171211723624678,0.12264120118834386,0.12289920039598053,0.12573499142560576,0.0,-0.0714285714285714,0.11283013155775161,0.11627610046013162,0.11189251782033653,0.08046920159570772,-0.0714285714285714,0.1325422280138335,0.11522802701331558,0.10467111296099024,0.10211792117380077,0.07436398520277657,0.11604414702144934,0.08888046928587684,0.12487579634392024,0.12487602061958329,0.0625,0.06925312095500644,0.07011139181079931,0.06564372739101144,0.06620599797420278,0.0625
hepatitis,0.04607397793640491,0.4776119402985074,0.3731343283582089,0.0487859211405658,0.0781387181738366,0.3731343283582089,0.2537313432835821,0.0516647531572904,0.27408111668149504,0.24251857941521102,0.22518041005865036,0.07267604381271393,0.1375459226991041,0.1159586681974741,0.2010535557506584,0.1100055279159756,0.0,-0.044776119402985,0.3475275139454243,0.2727411891590995,0.21359379572724607,0.10993818811175582,-0.044776119402985,0.22718140068886336,0.24156992813709224,0.18918479497935156,0.1988751892710361,0.061051306791366104,0.09819324430479176,0.06383257579331993,0.09822681464472503,0.08735134558074642,0.0414934460119493,0.1511194029850746,0.1010065949323151,0.1451831750339212,0.0614722995193523,0.0410958904109588
lymphography,0.0389610389610389,0.7915492957746479,0.9198266522210184,0.0389610389610389,0.7594799566630551,0.7594799566630551,0.7915492957746479,0.0394918530792598,0.2623492735066525,0.34987351369332914,0.25243063440311536,0.25846099991763444,0.14508682783571783,0.6000266961244591,0.6750572554614196,0.6518533110082405,0.0,-0.0422535211267605,0.7048960077844219,0.951895991332611,0.929839643924151,0.26698653459216837,0.3994634473507713,0.8138832997987927,0.8976835371201568,0.7593411283552128,0.4788732394366197,0.04030620765814531,0.4233549498905939,0.24727638558624476,0.5591061925140701,0.34330739682852357,0.03919154386195034,0.2183098591549296,0.1390079608083282,0.0389610389610389,0.093692590324556,0.0389610389610389
scenario-1-9-rcat-1-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9928396736589084,0.0,0.9982007070172042,0.0446164816135275,0.7782043428588461,0.6141235290382836,0.7341399037892672,0.4499456368244633,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8612411061982856,-20.413242009132404,1.0,1.0,1.0,0.8895586753599621,-1.3257141418006382,0.7280240351697378,0.5019711321009261,0.8639922244340816,0.7512284501193032,0.4880458515283836,0.0,0.0,0.0,0.0446832736659316,0.4880458515283836
scenario-1-9-rcat-2-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9928396736589084,0.0,0.9976023135794972,0.0446164816135275,0.7237459793918952,0.5493057806747252,0.6503224304108861,0.445173236194757,-20.411363036487092,0.0,0.0,0.0,0.0,0.0,1.0,0.9997604366393882,1.0,0.6906953264443716,-20.413242009132404,1.0,1.0,1.0,0.7685078991170956,-0.6645904236735765,0.7881757918881672,0.5026581117182916,0.8908361403100911,0.6474465301100631,0.4880458515283836,0.0,0.0,0.0,0.044673726108839,0.4880458515283836
scenario-1-9-rcat-3-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9945897476901266,0.0,0.9970046036294404,0.0446164816135275,0.7125469310578443,0.5229811494285267,0.6003975325088405,0.43341106000984697,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,0.9989213146628195,1.0,0.6889097147741987,-20.413242009132404,1.0,1.0,1.0,0.7796239791594898,0.07764550741900236,0.8762860505231199,0.5031020464153674,0.9126575004246809,0.6809186378450126,0.4880458515283836,0.0,0.0,0.0,0.0446355553355007,0.4880458515283836
scenario-1-9-rcat-4-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9970011783620072,0.0,0.995811229513526,0.0446164816135275,0.7005570637225162,0.5182299139128481,0.5988477999445833,0.35092157967295845,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,0.9983823485974236,1.0,0.6500412730245209,-20.413242009132404,1.0,1.0,1.0,0.7433038810966015,0.3952355082121718,0.8712868053770404,0.5042254505371625,0.9302004309620779,0.6762163458993763,0.4880458515283836,0.0,0.0,0.0,0.0446641804978444,0.4880458515283836
scenario-1-9-rcat-5-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9975995702311902,0.0,0.9952101013289044,0.0446164816135275,0.674434138858619,0.5428532450304022,0.5229880814691168,0.4546602317123506,0.29587286976353655,0.0,0.0,0.0,0.0,0.0,1.0,0.9984411593028131,1.0,0.5832447400546042,0.9889677823822993,1.0,1.0,1.0,0.7342915705825181,0.9689747262030627,0.8687397646174742,0.5044124346884931,0.9302666362954908,0.673051937552081,0.0446164816135275,0.0,0.0,0.0,0.0446832736659316,0.0446164816135275
scenario-1-9-rcat-6-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9975995702311902,0.0,0.9951936411960144,0.0446164816135275,0.632401302116339,0.5340694260804656,0.5924083007366419,0.3640632201222479,0.2486657364190598,0.0,0.0,0.0,0.0,0.0,1.0,0.9979614851659422,0.9998203445667994,0.6083971816756792,0.9811737920005955,1.0,1.0,1.0,0.7236970577880304,0.7127659029017814,0.8549230702552022,0.5050194241345822,0.9125564298495217,0.6821929571396306,0.0446164816135275,0.0,0.0,0.0,0.0446832736659316,0.0446164816135275
