Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.0355462539974583,0.06607443468736582,0.04853238961408171,0.0530276811032049,0.04142947565802805,0.037232299229450885,0.07382306809396982,0.03217416353347323,-0.011358089424461744,0.004784896839296585,0.021390648709282672,-0.027124406008732407,0.0,0.12357745102058511,0.11326859663460606,0.055054156064640127,-0.032693736269729046,0.0,0.046799709088438314,0.019883969991331865,0.015299361892424496,-0.011605615213839364,0.0,0.02232694191258065,0.07375132148835312,-0.014543638713843407,-0.018547099307255458,0.0,0.06514890347491034,0.036694199687325596,0.05214841853716359,-0.005664996268776324,0.0,-0.0176538540673275,-0.00721472295009711,-0.008183302125922599,0.0008567701817820201,0.0
census-income-full-nominal,0.1224876440647757,-0.0478681270874583,-0.0495836937657286,-0.0521570437831339,-0.0878408306911548,0.0,-0.0504414771048637,0.006686893281535,-0.045037442068312464,-0.02592602927238207,-0.01890936155825683,0.00772671700156201,-0.027467865293165163,0.0,0.0,0.0,-0.006227233180884329,0.0,-0.04200088904777413,-0.059053621829780245,-0.05711503148333489,-0.00489012247544109,0.0014045833071072147,-0.04004514303454604,-0.05095614710834475,-0.04776519308676213,0.00204913923691062,-0.001859338209769683,-0.03141584264284679,0.00771623328849716,0.01162772531495326,-0.00830489750780385,0.05017141067691501,-0.0051505167985295,0.0027410899215135,-0.0024056101132972,0.00011547144750036,0.0
chess_krkopt_zerovsall,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.011394283433956634,0.0,-0.0009632880231189,0.0,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.0175730691624944,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.017573069162494397,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.0
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.0296495956873315,-0.1320754716981132,0.0296495956873315,0.0296495956873315,0.5817654954642726,0.0296495956873315,-0.1320754716981132,-0.1320754716981132,0.01347708894878703,-0.051212938005390854,-0.06738544474393532,-0.06346483704974265,-0.04645103324348603,0.0,0.0,0.0,-0.1320754716981132,0.0,-0.051212938005390854,0.029649595687331505,0.029649595687331505,-0.0487625581965204,0.053009883198562445,-0.07816711590296498,-0.024258760107816735,-0.1320754716981132,-0.059416383452478565,-0.006688629330138745,-0.1320754716981132,-0.1320754716981132,-0.1320754716981132,-0.037071760615649006,-0.006688629330138745,-0.1320754716981132,0.0,-0.1320754716981132,-0.03406027934329817,-0.0754716981132075
solar-flare_FvsAll-cleaned,0.00719101123595506,0.007191011235955061,0.0071910112359550695,0.0064086558468581,0.042397003745318365,0.14097378277153558,0.07760299625468163,-0.056179775280898805,-0.028522039757994798,0.04788245462402764,0.06845289541918753,-0.06966292134831455,-0.01676750216076055,0.006741573033707887,0.08020743301642178,0.0,0.0,0.0,0.00968020743301639,0.02143474503025064,-0.010890233362143462,0.0772687986171132,0.00674157303370785,0.02143474503025063,0.08902333621434741,0.01261884183232496,0.06551426101987898,0.06551426101987896,-0.037337942955920474,0.0008643042350907487,0.009680207433016398,0.02731201382886775,-0.04321521175453757,-0.0579083837510803,-0.0285220397579948,0.0302506482281763,0.0008643042350907,0.0
bands_band_16_variant1ori,-0.05128205128205119,0.2772435897435897,0.2772435897435897,-0.0512820512820512,0.0144230769230769,0.0144230769230769,0.1458333333333333,0.0144230769230769,0.027564102564102567,0.027564102564102577,0.04727564102564103,0.027564102564102556,-0.00528846153846152,0.0,0.0,0.0,0.0,-0.01842948717948715,0.09983974358974354,0.2181089743589743,0.06698717948717947,0.2115384615384615,0.07355769230769227,0.09983974358974357,0.0801282051282051,0.23124999999999996,0.30352564102564095,-0.03157051282051277,0.08012820512820511,0.047275641025640996,0.2115384615384615,0.23124999999999996,-0.01185897435897434,0.0801282051282051,-0.0512820512820512,-0.0512820512820512,0.0144230769230769,-0.0512820512820512
creditA_plus_42_variant1ori,-0.0548302872062663,0.7086659206763646,0.5629988810145468,-0.04980728583861741,0.39221683451448464,0.7388039288822579,0.7187119234116622,-0.0046002735297774,0.06823324630113142,0.11796095984085539,0.1892875792614696,0.07978614944672385,0.0,0.0,0.0,0.0,0.0,0.0,0.3414845207012309,0.5695287827924903,0.4645480542086286,0.3249086161879896,0.0,0.2560934974511998,0.2616187989556136,0.41381574039537483,0.512266567201293,0.0,0.13152306353350737,0.04763894069377098,0.010468730573169226,0.1923013800820589,0.0,0.02051473330846699,-0.02469227900037298,0.0054457292055203515,-0.014646276265075201,0.0
sick_sick_35_variant1ori,-0.0100632547441058,-0.0100632547441058,0.0476546455269859,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,0.05054054054054049,0.0447687505134313,0.059198225581204245,-0.0100632547441058,0.041882855499876734,0.0,0.0,0.0,0.0,0.10537254579807769,0.05054054054054049,0.05342643555409508,0.07939949067608638,0.01879569539144,0.05342643555409508,0.08228538568964097,0.07074180563542262,0.08517128070319555,-0.00429146471699664,0.059198225581204265,0.01013801035077626,0.01013801035077626,0.033225170459212985,0.00436622032366712,0.044768750513431335,0.0476546455269859,0.01879569539144,0.01879569539144,0.01879569539144,0.01879569539144
thyroid_disease_variant1ori,0.1256643857806226,-0.034535543534817005,-0.0537595350526698,0.1256643857806226,0.01886443290366284,-0.0537595350526698,-0.0537595350526698,-0.030975545105585,0.004197239375227043,0.0034140397207959995,0.009038837238982545,-0.04436113919949732,0.012456435731045257,0.0,0.0,0.0,0.0,0.00937110375904424,0.0238484307045876,-0.04457473910525124,-0.04386273941940484,-0.03937714139857252,-0.046639538194205805,0.11505559046151123,0.1146283906500034,-0.026062747273244872,-0.025777947398906317,-0.03358621062035514,0.022068431489971622,0.014236434945661234,-0.006269156006715015,-0.024567547932967428,0.0008271075288873996,0.0,0.0,0.0,-0.0110395539018859,0.0
anneal,-0.03798701298701295,0.06731601731601726,0.15005411255411255,-0.053030303030303,0.01842532467532462,-0.045508658008657984,-0.041747835497835464,-0.053030303030303,0.06806818181818178,0.20195346320346316,0.17149080086580082,0.041742424242424185,0.05101911976911971,0.24181818181818177,0.24407467532467528,0.17449945887445886,0.0,0.12623556998556998,0.1395238095238095,0.4783739177489177,0.3617884199134198,0.23805735930735927,0.15882936507936504,0.1632169913419913,0.5859334415584415,0.3238041125541125,0.20834686147186143,0.19142316017316013,0.045127164502164446,0.12636093073593072,0.1286174242424242,-0.012789502164502168,-0.03422619047619046,-0.00790043290043291,-0.041747835497835464,-0.011661255411255409,-0.007900432900432918,-0.027958152958152932
