Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.06687882363239667,0.07664046957021185,0.09113501523180333,0.2128177865616073,0.09766725068280047,0.11074207470470909,0.09022488469358034,0.05667945804076977,0.056147147489550776,0.06796001569682242,0.06442008932007572,0.05635520732607216,0.0,0.15232948611434644,0.13973804298928302,0.08811710721039441,0.09159585210849562,0.0,0.07928163228148659,0.06964929469401768,0.05885211023387163,0.05637445344305008,0.0,0.09146572936516888,0.1216173833287927,0.05588110659831879,0.05559342917178775,0.0,0.09349857317390162,0.09310568584388935,0.08432055607332428,0.06067758922394133,0.0,0.055325112107623295,0.055325112107623295,0.055325112107623295,0.05898895034438062,0.0
nursery,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0867507087034527,0.0263631814618588,0.0248306997742663,0.0850258790900744,0.026967856287836472,0.0248306997742663,0.04364238594597257,0.275212206060255,-0.026128266033254098,0.04006313978360609,0.0,0.034255999321619476,0.0,-0.0261282660332541,0.034173738365831416,0.0248306997742663,0.0295978276098795,0.36731134502927815,-0.026128266033254098,0.03830987706564487,0.0248306997742663,0.0248306997742663,0.3560543050172193,0.03285971751436154,0.03777238841474064,0.0248306997742663,0.0248306997742663,0.2869706287255064,0.0248306997742663,0.0248306997742663,0.0,0.0248306997742663,0.0,0.0248306997742663
scenario-1-1-rcat-0-icat,0.0446164816135275,0.802345062361296,0.810838263956245,0.0,0.7185642463739255,0.0,0.7110383190480708,0.0446164816135275,0.2755713544071192,0.33904778425395343,0.4001389806371745,0.22793734622828027,0.2364983904982169,0.0,0.0,0.0,0.0,-0.0489878089699138,0.8853825223409002,0.8992559412915903,0.9214282586830393,0.6912278974742581,0.6332903571229138,0.9831145149760545,0.8272549908856228,0.9831145149760545,0.9526039348516541,0.913767107815438,0.7971649592398923,0.6496715659505948,0.8423896452422788,0.8755858338186882,0.0446164816135275,0.0,0.0,0.0,0.0446355553355007,0.0446164816135275
scenario-1-2-rcat-0-icat,0.0446164816135275,0.916726506241773,0.9062715911201912,0.0,0.8462892584171602,0.0,0.8625553674279223,0.0446164816135275,0.6707657530688914,0.3135240826132639,0.5473902447165966,0.3818078851146512,0.1657669599392199,0.0,0.0,0.0,0.0,-0.0489878089699138,0.9828920893867981,0.9655995318268745,0.9834040280879632,0.8290138821754234,0.8731592193630595,0.9944279475162429,0.9869107599515369,0.9960168042078574,0.9693108785092217,0.9789802570523864,0.4790991740572273,0.6114469242039359,0.8304675839901359,0.8622858103534368,0.0446164816135275,0.0,0.0,0.0,0.0446450951117698,0.0446164816135275
scenario-1-3-rcat-0-icat,0.0446164816135275,0.967277013610709,0.9585355851321626,0.0,0.8908600285007042,0.0,0.9332799273446698,0.0446164816135275,0.7282018584710274,0.4004348757502855,0.552928918527291,0.5235475697036313,0.18243133152831933,0.0,0.0,0.0,0.0,0.0,0.9957401317209038,0.9895004044788515,0.9993409443322742,0.8629640715493855,0.9562154669220595,0.9997599570231189,0.9955370037232603,0.999880115678975,0.9748738669592185,0.9978150132758058,0.5832972239254581,0.6200514991467461,0.8298822160738217,0.8041954919175385,0.0446164816135275,0.0,0.0,0.0,0.0446450951117698,0.0446164816135275
scenario-1-4-rcat-0-icat,0.0446164816135275,0.989110853194084,0.9861260956835493,0.0,0.92454549562304,0.0,0.9656471828641432,0.0446164816135275,0.7805995037744704,0.583610636812754,0.6620565310322123,0.5499417686979754,0.14937670528258493,0.0,0.0,0.0,0.0,0.0,0.9982606815273757,0.9971213993768677,1.0,0.8805656572338469,0.9809042871020329,0.999880115678975,0.9985555184200698,0.999880115678975,0.9780248763290198,0.9996395230897012,0.5953386410134613,0.5675112704047842,0.8275718873405452,0.7621001785867744,0.0446164816135275,0.0,0.0,0.0,0.0446450951117698,0.0446164816135275
scenario-1-5-rcat-0-icat,0.0446164816135275,0.9939782559760624,0.9921672363488748,0.0,0.9357517483916538,0.0,0.9824056411450968,0.0446164816135275,0.7932840204258146,0.5694533291369085,0.6931609296845288,0.5428250896127192,-20.00047717088199,0.0,0.0,0.0,0.0,0.0,0.9992210599330912,0.99886120145397,1.0,0.9022602510863852,-20.413242009132404,0.999880115678975,0.9991597768771218,0.999880115678975,0.9797944925669413,-1.8362117586270947,0.6254886129785528,0.5351341516025728,0.802743133811369,0.7537976532230749,0.4880458515283836,0.0,0.0,0.0,0.0446546368323529,0.4880458515283836
scenario-1-6-rcat-0-icat,0.0446164816135275,0.9975995702311902,0.9970011783620072,0.0,0.9770118011875104,0.0,0.9909621957871634,0.0446164816135275,0.7761699087208299,0.5695421483795855,0.6797162436121452,0.5364900790654104,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,0.9997005287509889,0.9995206681145078,1.0,0.9130359448443108,-20.413242009132404,1.0,0.9998802525332227,1.0,0.9834320160069367,-1.8362140720376665,0.643988052889398,0.5218193839191838,0.80734811477974,0.753207107065963,0.4880458515283836,0.0,0.0,0.0,0.0446641804978444,0.4880458515283836
scenario-1-7-rcat-0-icat,0.0446164816135275,0.999400920725888,0.998802525332226,0.0,0.9801624081971304,0.0,0.9963993553467853,0.0446164816135275,0.7940208478196275,0.6243844358008751,0.7295139242670386,0.5384809304432017,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,0.999700460362944,0.9997604366393882,1.0,0.9260418806260924,-20.413242009132404,1.0,0.9999401604216217,1.0,0.9842027213094363,-1.8362140720376665,0.6529802575304806,0.5052384125036417,0.7912222207570307,0.7502461875402814,0.4880458515283836,0.0,0.0,0.0,0.044673726108839,0.4880458515283836
scenario-1-8-rcat-0-icat,0.0446164816135275,0.999400920725888,0.998802525332226,0.0,0.9898388645284968,0.0,0.9976023135794972,0.0446164816135275,0.7787796967134131,0.6130689765033359,0.7207560717338881,0.5850169574877746,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,0.9995207365807104,0.9997604366393883,1.0,0.9401229905888719,-20.413242009132404,1.0,0.9999401604216217,1.0,0.9878376798214014,-1.8362140720376665,0.6755269636270773,0.5060271136101672,0.7864972471615965,0.7468660560268291,0.4880458515283836,0.0,0.0,0.0,0.0446928231697175,0.4880458515283836
