Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.0140536786338683,0.0286412807376026,0.0248110639308598,0.0383467082230072,0.0416899006354589,0.0558169016264328,0.0347739930170822,0.009088186988722,0.0022240190786112,0.0765148371372361,0.0683712460682481,-0.0080077882378529,0.0,0.2531635421972993,0.2057426089864019,0.0366194038713143,0.0148968105379446,0.0,0.0376176171583347,0.0181457913175049,0.0184402663715543,-0.0019960716564163,0.0,0.0301305868499829,0.0468571792273072,-0.0073347487539408,-0.0013807866381287,0.0,0.0350987331274784,0.0366090479388047,0.0372454127079555,0.0160143950991143,0.0,-0.0083599823100819,-0.001928145047035,-0.0168348774057438,-0.0046434824166205,0.0
census-income-full-nominal,0.0848435924379928,-0.0113117357108347,-0.0239693060339488,-0.0077719080978925,-0.0340752307348901,0.0,-0.0312156166285998,0.0263922715934257,0.0008515377058802,0.0502146766189576,0.0115220926612981,0.0022090833364265,0.026720228744276,0.0,0.0,0.0,0.003932798078324,0.0,-0.0174033177312002,-0.0264655063233001,-0.0177249048394784,-0.0004660759504806,0.0173878801449687,-0.0150396141846856,-0.0167312973924033,-0.0194031878795085,0.0002533002203988,0.0290795787489026,0.0133831585211863,0.0050582361257267,0.0253770420576096,0.0108820916087653,0.0434235721778265,-0.0008819855217134,0.0009545504791567,-0.0011706384506206,-0.0003339276544813,0.0
chess_krkopt_zerovsall,-0.0002421752183361,0.0008152861786235,0.0003771306387025,-0.0002661315968308,-0.0003042853435131,-0.0003032412361793,0.0034513432608892,-0.0003630027188583,0.0002122624680489,0.0070687725736181,0.0021941833896269,0.00010016767286,-0.0001417285036327,0.0001873881931228,0.0064205276146814,0.0,4.620985652730575e-05,0.0,1.1047130475241344e-05,0.0002701169002029,0.0014326369314988,-0.0001353482448241,0.0018913745204555,0.0003074185751592,0.0310973680010355,5.186353303650141e-05,3.478636037305914e-05,0.0014507769400682,0.0013002809313372,0.1251685317364169,0.0001120382907269,3.478636037305914e-05,0.0017235759602635,0.0001355546908798,-9.039424962898746e-05,3.478636037305914e-05,-9.426916976422812e-05,0.0
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.0976468147783717,-0.0441307925274836,-0.018280405844168,0.0495656386392447,0.5289848314737279,0.0777660253058287,-0.0377381037212484,0.0252225182373717,0.0808676199511778,0.1483704974271011,0.0698218373420529,0.0401775804661487,0.1002925689942658,0.0,0.0,0.0,-0.0090294917881124,0.0,0.0153313363296312,0.0423273872799782,0.0533714981979196,0.0292768028617085,0.1636357726748249,0.0133092585017257,0.063565300416243,-0.0186571663805058,0.0390775681341719,0.1666132098713783,0.0004373680059191,-0.0227853270220887,-0.010965543112488,0.0831027253668763,0.1666132098713783,0.0178614866369858,0.0,-0.0038918309142218,0.0880180616029672,0.0127401993685832
solar-flare_FvsAll-cleaned,0.0490691567296972,0.0283345066047532,0.0395115235017591,0.060424571982747,0.1298863957101296,0.1198664741335528,0.0890376244564199,-0.0073573827594754,0.0144394005441521,0.057417767337724,0.0813073164538283,0.0107930875088521,0.0571988315363231,0.1956810848526884,0.1611588803830478,0.0,0.0,0.0,0.010080307898844,0.0180065035446406,0.0138518131012818,0.0502550329494059,0.0140815920555869,0.0150628502048051,0.0398656976106876,0.0016727218051154,0.0851643089003859,0.0493839001422321,0.0179800490223037,0.0299871280306418,0.0156366542907423,0.0567157105297063,0.0539982064604837,0.0048921093085452,0.010805033273244,0.0064781508644624,0.0094689186632979,0.0
lymphography,-0.0172351219430002,0.582684998882182,0.7725240330874134,-0.0173050727263687,0.5450480661748267,0.5121944225740919,0.7032472613458529,-0.0163276807373174,0.2937946077872593,0.3919200530453727,0.2599717546471239,0.151603719654936,0.1282582536995202,0.4380340968369137,0.5913704448915714,0.5667321388649357,0.0,0.4252546111330396,0.6048122065727698,0.8262910798122066,0.8262910798122066,0.0997611485805098,0.8014755197853789,0.6178403755868545,0.8262910798122066,0.8014755197853789,0.2639569996642539,0.5276453593355002,0.5031373425739623,0.2027788202877957,0.5241886099203918,0.3132431626797824,0.4663208466025367,0.0793572780590435,0.045627701418408,-0.0063659451273342,0.015802834182519,-0.0096188916255233
nursery,0.061797356576098,0.061797356576098,0.061797356576098,0.061797356576098,0.0719138563843299,-0.0087219489810445,-0.012647683591373,0.0297594967237201,0.0014933463553745,0.061797356576098,0.039205411759115,0.0394485094230292,0.0097806264471543,0.006695069933986,0.0,0.0565497690459319,0.0,-0.0020324828821878,0.0079126628768734,0.061797356576098,0.0108537181675327,0.1655765985161967,0.014147953639144,0.0043283650472433,0.061797356576098,0.061797356576098,0.1829131178350877,0.061797356576098,0.0066754576569609,0.061797356576098,0.061797356576098,0.0641247005806626,0.061797356576098,0.0260122751726654,0.0,0.061797356576098,0.0,0.061797356576098
cmc-nominal,0.0504558625757259,-0.0082720812246112,-0.0102963493896821,-0.0007739027152619,0.0004824948567746,0.0306472669197438,0.0122875952976702,0.0488002459017455,0.0183528958936954,0.0382554987958784,0.0112205600183051,-0.0038455231077323,0.0227365394503874,0.0,0.0,0.0,0.0253281208762322,0.0900656198245015,0.010252076496046,0.0047430409828007,-0.0035367566017486,0.0051233366069481,-0.0014350745822624,-0.0075875412609552,-0.0043506964358927,0.0417866333857422,0.0102501116829282,0.0010966694935167,0.0354019162022272,0.0096421408569003,0.0031206566255369,0.0011587618736134,0.0103290769854081,-0.0027969585074753,-0.007381862658308,0.016202937128001,0.0037162107868574,-0.0071393115869561
Average ADJ_AVERAGE_PRECISION,0.043±0.04,0.08±0.21,0.106±0.27,0.023±0.03,0.16±0.24,0.098±0.17,0.095±0.25,0.014±0.02,0.052±0.1,0.104±0.12,0.068±0.08,0.029±0.05,0.043±0.05,0.112±0.17,0.121±0.21,0.082±0.2,0.004±0.01,0.064±0.15,0.084±0.21,0.118±0.29,0.113±0.29,0.043±0.06,0.126±0.28,0.082±0.22,0.131±0.28,0.108±0.28,0.073±0.1,0.105±0.18,0.077±0.17,0.056±0.07,0.082±0.18,0.068±0.1,0.101±0.16,0.015±0.03,0.006±0.02,0.007±0.02,0.014±0.03,0.007±0.02
Average Rank,15.375±14.25,20.875±12.39,20.625±13.26,20.625±13.16,15.75±15.31,16.75±13.16,19.375±15.2,23.25±13.72,19.25±7.46,6.625±6.19,12.25±7.36,24.25±7.69,17.75±11.31,16.875±10.58,14.875±11.97,21.5±7.91,24.375±9.98,23.375±10.93,21.125±9.03,16.375±10.56,19.75±11.03,21.375±10.57,15.75±10.87,22.375±9.52,13.375±12.59,21.375±14.82,17.0±9.71,12.0±8.62,16.375±8.09,15.875±11.23,16.5±9.23,15.25±7.32,10.875±7.97,27.125±6.29,28.5±6.16,25.0±11.5,26.375±8.78,25.25±10.11
