Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.5373533612495021,0.5506084327570658,0.5389865299185643,0.5592798632261459,0.6282653635034345,0.6871585751540479,0.5616004082315023,0.4972141303477413,0.5167598227352661,0.6453956584980773,0.6548771684744232,0.4626637526978414,0.5,0.8001838727611221,0.811042448847497,0.6128564570220889,0.6461607094165408,0.5,0.5827207114906491,0.5293940027875299,0.52183723716521,0.4838349507929314,0.5,0.5838894089059705,0.5790064101950083,0.5357101668724811,0.4983743346474035,0.5,0.6013999145068929,0.5929759251461486,0.5497897091791167,0.5239378145565872,0.5,0.4941962326071529,0.4999074697399229,0.4813488625802392,0.5349983735364222,0.5
census-income-full-nominal,0.6767923210174881,0.4782199425280976,0.3776926799953963,0.4854469206681754,0.2833839431318115,0.5,0.3038413780071641,0.614083942086795,0.5304069215077237,0.6530659245408044,0.5619311476804523,0.5048867517142398,0.6041800342792407,0.5,0.5,0.5,0.539170269482834,0.5,0.4195304436785007,0.3545313355010457,0.4198639697502612,0.5060757807250182,0.6253537929014216,0.4083867135417351,0.410632756881764,0.3934623789287253,0.4909331593833808,0.64523869989423,0.4846206820322316,0.4974849794822435,0.5235570633470136,0.5228886828709522,0.6337751813019002,0.5003061121256469,0.502273531714198,0.5006537178922108,0.5030361949443233,0.5
chess_krkopt_zerovsall,0.357800056290905,0.7219969264637287,0.6386731731553166,0.3509757750900852,0.3042325210793583,0.3051786311267563,0.8323363500501465,0.2382743798420419,0.5869212178391956,0.7737052761491735,0.7376975962726435,0.5255469533538676,0.4361811774313111,0.5104224064229772,0.6622955325370681,0.5,0.5051375361233008,0.5,0.5029764146393352,0.4679531649098882,0.7789009531133759,0.4627700410817896,0.7705531176043859,0.5158367722319344,0.5844944984229297,0.5075279175140033,0.499910806664526,0.7736762057287228,0.56183080222468,0.5240326487249317,0.5055901097144095,0.502782832066788,0.7795266278444414,0.5108650696434777,0.4794339989138234,0.5,0.4979835699269144,0.5
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.6307277628032344,0.1725067385444743,0.3086253369272237,0.5215633423180592,0.9209098179078642,0.5229110512129379,0.22911051212938,0.5404312668463611,0.6684636118598383,0.7129380053908356,0.633423180592992,0.6037735849056604,0.7264150943396226,0.5,0.5,0.5,0.5283018867924528,0.5,0.3773584905660377,0.3409703504043126,0.4070080862533692,0.5220125786163522,0.7075471698113207,0.4541778975741239,0.4595687331536388,0.5,0.5440251572327044,0.6477987421383647,0.4582210242587601,0.330188679245283,0.5,0.6132075471698113,0.6446540880503144,0.5970350404312669,0.5,0.6132075471698113,0.729559748427673,0.5188679245283019
solar-flare_FvsAll-cleaned,0.5709113607990013,0.581398252184769,0.6218476903870164,0.6299625468164795,0.8342072409488139,0.8092384519350811,0.7656679151061174,0.4108614232209738,0.5236243157591471,0.5469605301065976,0.635983866320945,0.466820320752905,0.6030442715835974,0.7159320080668395,0.7433016421780466,0.5,0.5,0.5,0.5184384903486028,0.4690771151445309,0.4745510419667723,0.5109478536444829,0.4797368673773168,0.5063382310573322,0.5114280226639778,0.4969749351771824,0.5497455104196678,0.5377893018342457,0.5277537693268031,0.4939018534524151,0.5456640737539613,0.5771151445308749,0.5514741188898492,0.5103716508210889,0.4959185633342936,0.527753769326803,0.5049937578027466,0.5
lymphography,0.0093896713615023,0.9906103286384976,0.9976525821596244,0.0023474178403755,0.982394366197183,0.9741784037558686,0.9929577464788732,0.0704225352112675,0.8838028169014084,0.9565727699530516,0.8345070422535211,0.6842723004694835,0.8485915492957746,0.971830985915493,0.983568075117371,0.9577464788732396,0.5,0.9612676056338028,0.988262910798122,1.0,1.0,0.8145539906103286,0.9988262910798122,0.9929577464788732,1.0,0.9988262910798122,0.874413145539906,0.960093896713615,0.9741784037558684,0.8708920187793427,0.9730046948356808,0.789906103286385,0.9647887323943662,0.4154929577464788,0.5985915492957746,0.4342723004694835,0.5522300469483568,0.3028169014084507
nursery,0.5,0.5,0.5,0.5,0.7342992874109263,0.3231833777201948,0.0489289570287195,0.6836787111015139,0.5408807792893304,0.5,0.725127522253413,0.5488885289954173,0.6115865303870054,0.5783708822188632,0.5,0.65582667530411,0.5,0.4864192998872333,0.581077041195806,0.5,0.5805892655773891,0.8419475035389523,0.6535557474987405,0.5640332061709734,0.5,0.5,0.866648432064109,0.6513472012284364,0.5716667866311571,0.5,0.5,0.6851919431848172,0.6251133664435328,0.5050581827778978,0.5,0.5,0.5,0.5
cmc-nominal,0.6449289660615627,0.4220928702972902,0.3736845566956064,0.4830636674559326,0.5023349118652987,0.5857340173638517,0.447744014732965,0.6086227308602999,0.5637661141804788,0.5742238884504077,0.5351552223099185,0.436661404893449,0.570080242041568,0.5,0.5,0.5,0.5956985003946331,0.7187911076032624,0.3959155485398579,0.3789463299131807,0.3697382267824257,0.3546435148645094,0.3617797947908444,0.3774006840305183,0.4067021836358853,0.5133846356222047,0.5004275190739279,0.3943370165745856,0.4121941594317284,0.4837542751907392,0.5179558011049723,0.5042094185740595,0.4636937647987371,0.5167719021310182,0.4604051565377532,0.5276243093922652,0.4959550118389896,0.4830965535385425
Average AUC,0.491±0.22,0.552±0.24,0.545±0.22,0.442±0.19,0.649±0.27,0.588±0.23,0.523±0.33,0.458±0.21,0.602±0.12,0.67±0.15,0.665±0.1,0.529±0.08,0.613±0.13,0.635±0.18,0.65±0.18,0.591±0.16,0.539±0.05,0.583±0.17,0.546±0.2,0.505±0.21,0.569±0.22,0.562±0.17,0.637±0.2,0.55±0.19,0.556±0.19,0.556±0.18,0.603±0.17,0.639±0.17,0.574±0.17,0.537±0.15,0.577±0.16,0.59±0.1,0.645±0.16,0.506±0.05,0.505±0.04,0.511±0.05,0.54±0.08,0.476±0.07
Average Rank,16.875±13.4,19.75±11.02,21.0±12.77,23.125±10.16,14.25±15.2,16.625±13.87,20.375±16.0,22.125±15.86,15.0±7.11,9.75±7.69,9.125±7.1,23.625±10.47,15.125±11.14,14.125±7.0,12.875±7.81,18.0±7.17,16.875±10.19,21.625±10.04,21.5±9.46,26.625±12.02,21.75±14.22,23.75±12.21,15.625±14.21,21.625±10.5,19.875±10.71,20.375±9.46,19.5±10.1,14.75±10.51,19.5±8.26,22.875±8.41,16.5±4.11,15.875±7.86,13.0±8.8,21.625±8.7,25.875±6.06,21.375±9.64,20.5±9.15,24.25±5.18
