Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
creditA_plus_42_variant1ori,0.0494117647058823,0.835915288656803,0.6655416162516716,0.0494117647058823,0.6257053819590668,0.8199070241355155,0.8334478493884843,0.082756271994551,0.3816512109480509,0.4357884510292064,0.5735792455974668,0.3068258112644536,0.0,0.0,0.0,0.0,0.0,0.0,0.6348664390439847,0.8334478493884843,0.7287579261469602,0.5537256477204258,0.0,0.5286928503972002,0.4415604361849178,0.7024837651469505,0.7046475195822455,0.0,0.439621409921671,0.2264577893820714,0.2465497948526669,0.5331079056628001,0.0,0.100618386697815,0.1139425587467363,0.0780001934048931,0.0559268929503916,0.0
anneal,0.0513408420488066,0.218046804680468,0.2402186421173762,0.0504253056884635,0.1507820136852395,0.2102272727272727,0.1062515915457092,0.1558352116203356,0.2360368389780155,0.8315151515151514,0.7814465408805031,0.1670058796924468,0.047945205479452,0.4539842873176207,0.5244379276637341,0.3903508771929825,0.0,-0.053030303030303,0.4225317693059628,0.6745179063360881,0.5916821273964131,0.4457735247208932,-0.053030303030303,0.5879446640316206,0.8049943883277216,0.5392992424242425,0.414983164983165,0.3065410199556541,0.2064842740198191,0.6622355631789594,0.3827063740856845,0.1842723004694835,0.0491702116485478,0.0835790335790335,0.0828445747800586,0.0986060606060606,0.0825082508250825,0.047945205479452
australian,0.0753880266075388,0.3820478441888363,0.5129174110210253,0.0753880266075388,0.2442635539855628,0.2954999232068807,0.3696578260272091,0.0753880266075388,0.216847602033805,0.3749637365825355,0.4500013458587924,0.2741514360313316,0.0787306688089978,0.4359369593255529,0.3813790647994303,0.5451961529563406,0.0,-0.0887728459530026,0.4235908462601751,0.3992977401638606,0.4235908462601752,0.3951261966927763,0.1404424900371032,0.4359369593255529,0.4429534276519522,0.5333830660201418,0.2741514360313316,0.3574455335359329,0.3208644624253548,0.1778654020354877,0.2596344647519582,0.2899307526393461,0.0768570277042774,0.1493962140992167,0.1303512488299916,0.103620749315801,0.1720789817232376,0.0753880266075388
crx,0.0764038948912898,0.4551820728291317,0.4551820728291318,0.0760095011876484,0.2162268416138385,0.394646747587924,0.4218258732064254,0.2173038229376258,0.1733796967062687,0.3808887191240133,0.3400796938493707,0.3189775910364146,0.0348939575830332,0.2939159663865547,0.3631998253846993,0.349881128922157,0.0,-0.0896358543417367,0.2995198079231693,0.3788057278986361,0.3287843137254902,0.4551820728291317,0.0971588635454181,0.3015154779860662,0.3209515690334105,0.402457757296467,0.4007002801120449,0.2345533254624164,0.2681550232033112,0.1850622601981969,0.2088945167107939,0.3033475685356109,0.0771983434522134,0.1033853541416566,0.131449681321804,0.1050541253965563,0.0900381429167411,0.0760095011876484
german,0.0666421207658321,0.2142857142857143,0.1361838853188334,0.0664947297600358,0.236896197327852,0.1534391534391534,0.1607142857142857,0.0651678998292544,0.2157584683357878,0.1517857142857142,0.2003484320557492,0.1537761601455869,0.0306122448979591,0.1825396825396825,0.1857142857142857,0.2166866746698679,0.0,-0.0714285714285714,0.1816647919010123,0.1685714285714286,0.180672268907563,0.1394557823129251,-0.0714285714285714,0.1830357142857142,0.1602316602316602,0.1698202459791864,0.1643882433356117,0.134435433562071,0.175,0.132007233273056,0.1898954703832752,0.1913746630727762,0.0625,0.085930268435668,0.0945006321112516,0.0739411342426417,0.0710486322188449,0.0625
heart,0.0738636363636363,0.4204444444444444,0.5594594594594594,0.0747809523809523,0.1023188405797101,0.6377777777777778,0.3136842105263158,0.1264052287581699,0.4566666666666666,0.4767901234567902,0.4566666666666666,0.3158024691358025,0.3402380952380952,0.348,0.3373983739837398,0.5060606060606061,0.0,-0.0866666666666666,0.4349333333333334,0.3962962962962962,0.5060606060606061,0.3084848484848485,0.2031111111111112,0.4307936507936508,0.3607843137254901,0.5653333333333334,0.3480000000000001,0.187859649122807,0.3125170068027211,0.3112676056338028,0.2755555555555555,0.2529166666666667,0.0757088122605363,0.2031111111111111,0.2176,0.1421052631578947,0.0944444444444444,0.0738636363636363
scenario-1-4-rcat-0-icat,0.0446164816135275,0.989110853194084,0.9861260956835493,0.0,0.92454549562304,0.0,0.9656471828641432,0.0446164816135275,0.8288493574838562,0.7957970398538567,0.915226771761222,0.7234012245004704,0.306972035211346,0.0,0.0,0.0,0.0,0.0,0.999400920725888,0.9988011567897488,1.0,0.8860947581169034,0.9866602706373768,1.0,1.0,1.0,0.9903762586333036,1.0,1.0,1.0,1.0,0.9880115678974868,0.0446164816135275,0.0,0.0,0.0,0.0446450951117698,0.0446164816135275
scenario-1-5-rcat-0-icat,0.0446164816135275,0.9939782559760624,0.9921672363488748,0.0,0.9357517483916538,0.0,0.9824056411450968,0.0446164816135275,0.8731550250189932,0.9242469024122094,0.8283977726751066,0.6714666036755981,-16.285593626628263,0.0,0.0,0.0,0.0,0.0,1.0,0.999400920725888,1.0,0.90770987058629,-20.413242009132404,1.0,1.0,1.0,0.9910444979313894,0.4880458515283836,1.0,1.0,1.0,0.988617493791874,0.4880458515283836,0.0,0.0,0.0,0.0446546368323529,0.4880458515283836
scenario-1-6-rcat-0-icat,0.0446164816135275,0.9975995702311902,0.9970011783620072,0.0,0.9770118011875104,0.0,0.9909621957871634,0.0446164816135275,0.8395179517465595,0.7876194312892649,0.7876105671612048,0.6801396467872782,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9202974949066978,-20.413242009132404,1.0,1.0,1.0,0.9934025923964156,0.4880458515283836,1.0,1.0,1.0,0.9904202026578092,0.4880458515283836,0.0,0.0,0.0,0.0446641804978444,0.4880458515283836
scenario-1-7-rcat-0-icat,0.0446164816135275,0.999400920725888,0.998802525332226,0.0,0.9801624081971304,0.0,0.9963993553467853,0.0446164816135275,0.8489730906955368,0.8893027940283005,0.9189125988158224,0.6542037423091576,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.93320574897402,-20.413242009132404,1.0,1.0,1.0,0.9940057839487434,0.4880458515283836,1.0,1.0,1.0,0.9904420245196364,0.4880458515283836,0.0,0.0,0.0,0.044673726108839,0.4880458515283836
