Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
creditA_plus_42_variant1ori,-0.0548302872062663,0.7990799452940445,0.6483899042645779,-0.0046002735297774,0.5479298769116001,0.7990799452940445,0.7488499316175555,-0.0046002735297774,0.2967798085291558,0.3972398358821335,0.5479298769116001,0.2465497948526669,0.0,0.0,0.0,0.0,0.0,0.0,0.5479298769116001,0.7488499316175555,0.6483899042645779,0.4976998632351113,0.0,0.4474698495586224,0.3972398358821335,0.6986199179410668,0.598159890588089,0.0,0.2967798085291558,0.1460897674996892,0.196319781176178,0.4976998632351113,0.0,0.0958597538232003,0.0456297401467114,0.0958597538232003,0.0456297401467114,0.0
anneal,-0.0154220779220779,0.1350108225108225,0.1726190476190476,-0.053030303030303,0.0597943722943722,0.0221861471861471,-0.0154220779220779,-0.053030303030303,0.2102272727272727,0.7367424242424242,0.7367424242424242,0.1350108225108225,0.1350108225108225,0.4358766233766233,0.5110930735930735,0.323051948051948,0.0,0.2102272727272727,0.3606601731601731,0.661525974025974,0.5110930735930735,0.3982683982683982,0.3982683982683982,0.4734848484848484,0.7743506493506493,0.4734848484848484,0.3982683982683982,0.323051948051948,0.1350108225108225,0.623917748917749,0.323051948051948,0.1726190476190476,0.1350108225108225,0.0221861471861471,-0.0154220779220779,0.0221861471861471,0.0597943722943722,-0.0154220779220779
australian,-0.056750115189679,0.3275226539702042,0.4556135770234987,-0.056750115189679,0.1994317309169098,0.2954999232068807,0.3275226539702042,-0.0247273844263554,0.1674090001535862,0.3275226539702042,0.3915681154968515,0.1994317309169098,0.4876363077868223,0.3595453847335279,0.3595453847335279,0.4876363077868223,0.0,0.2634771924435571,0.4235908462601751,0.3595453847335279,0.3915681154968515,0.3275226539702042,0.5516817693134695,0.3915681154968515,0.3915681154968515,0.4876363077868223,0.2634771924435571,0.3595453847335279,0.2634771924435571,0.1353862693902626,0.2314544616802334,0.1674090001535862,0.0072953463369682,0.0713408078636154,0.0713408078636154,0.0713408078636154,0.103363538626939,0.0072953463369682
crx,-0.0555847338935574,0.4211309523809524,0.4211309523809524,-0.0555847338935574,0.1827731092436975,0.3189775910364146,0.2849264705882353,0.1827731092436975,0.1487219887955182,0.3189775910364146,0.2849264705882353,0.2508753501400561,0.3870798319327731,0.2168242296918767,0.2168242296918767,0.2508753501400561,0.0,0.1827731092436975,0.2508753501400561,0.2508753501400561,0.2508753501400561,0.4211309523809524,0.3189775910364146,0.2508753501400561,0.2508753501400561,0.2508753501400561,0.3530287114845938,0.1827731092436975,0.2168242296918767,0.1146708683473389,0.1827731092436975,0.2849264705882353,0.0465686274509804,0.1487219887955182,0.1487219887955182,0.1487219887955182,-0.0215336134453781,0.0465686274509804
german,-0.0499999999999999,0.1857142857142857,0.0785714285714285,-0.0071428571428571,0.1214285714285714,0.0571428571428571,0.1214285714285714,-0.0285714285714285,0.2071428571428571,0.1214285714285714,0.1428571428571428,0.1214285714285714,0.1214285714285714,0.1642857142857142,0.1214285714285714,0.1642857142857142,0.0,0.1214285714285714,0.1214285714285714,0.1428571428571428,0.1428571428571428,0.0571428571428571,0.1214285714285714,0.1214285714285714,0.0785714285714285,0.1428571428571428,0.1214285714285714,0.1,0.1214285714285714,0.0785714285714285,0.1428571428571428,0.1642857142857142,0.0785714285714285,0.0785714285714285,0.1,0.0357142857142857,0.0785714285714285,0.0357142857142857
heart,-0.003076923076923,0.3312820512820513,0.4148717948717949,-0.003076923076923,0.0805128205128205,0.5820512820512821,0.2476923076923077,-0.003076923076923,0.4148717948717949,0.4148717948717949,0.4148717948717949,0.2476923076923077,0.3312820512820513,0.3312820512820513,0.2476923076923077,0.4148717948717949,0.0,0.3312820512820513,0.4148717948717949,0.3312820512820513,0.4148717948717949,0.2476923076923077,0.4148717948717949,0.4148717948717949,0.2476923076923077,0.4984615384615384,0.2476923076923077,0.4148717948717949,0.1641025641025641,0.2476923076923077,0.1641025641025641,0.1641025641025641,0.1641025641025641,0.0805128205128205,0.1641025641025641,0.0805128205128205,0.0805128205128205,0.0805128205128205
scenario-1-4-rcat-0-icat,-0.0489878089699138,0.980840405315618,0.982037879983392,0.0,0.8886348558970297,0.0,0.96287828529901,-0.0489878089699138,0.723383351744235,0.7030262823920792,0.8455257678571702,0.6168081063123603,0.5066404368771638,0.0,0.0,0.0,0.0,0.0,0.998802525332226,0.9976050506644524,1.0,0.8227737491694666,0.998802525332226,1.0,1.0,1.0,0.9892227279900352,1.0,1.0,1.0,1.0,0.9868277786544872,1.0,0.0,0.0,0.0,-0.0130635689366976,-0.0154585182722453
scenario-1-5-rcat-0-icat,-0.0489878089699138,0.9880252533222612,0.9880252533222612,0.0,0.9341388932724368,0.0,0.9772479813122964,-0.0489878089699138,0.7772697117940595,0.8802525332226125,0.7197909277409135,0.5581318475914403,0.4767035701828167,0.0,0.0,0.0,0.0,0.0,1.0,0.998802525332226,1.0,0.8646853625415521,-0.0489878089699122,1.0,1.0,1.0,0.9904202026578092,-0.0489878089699122,1.0,1.0,1.0,0.9880252533222612,-0.0058787209300541,0.0,0.0,0.0,-0.0130635689366976,0.0025036017443629
scenario-1-6-rcat-0-icat,-0.0489878089699138,0.9952101013289044,0.9952101013289044,0.0,0.9688656586378792,0.0,0.9868277786544872,-0.0489878089699138,0.7353580984219737,0.6718919410299585,0.6503373970100287,0.5701065942691791,0.4228172101329934,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8598954638704567,-0.0489878089699122,1.0,1.0,1.0,0.9916176773255828,-0.0489878089699122,1.0,1.0,1.0,0.9904202026578092,-0.015458518272244,0.0,0.0,0.0,-0.0118660942689237,0.0084909750832319
scenario-1-7-rcat-0-icat,-0.0489878089699138,0.998802525332226,0.998802525332226,0.0,0.9760505066445224,0.0,0.9940126266611308,-0.0489878089699138,0.7605050664452252,0.8107990024917279,0.8515131411960395,0.5760939676080485,0.4611363995017578,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8886348558970297,-0.0489878089699122,1.0,1.0,1.0,0.9928151519933568,-0.0489878089699122,1.0,1.0,1.0,0.9892227279900352,-0.009471144933375,0.0,0.0,0.0,-0.0118660942689237,0.0120833990865552
