Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
creditA_plus_42_variant1ori,0.0250528409797339,0.9917941066766132,0.9663061046873058,0.1188611214720875,0.926768618674624,0.9888101454681087,0.989307472336193,0.5449459157030958,0.8273032450578143,0.918438393634216,0.9442993907745866,0.7816735049111028,0.5,0.5,0.5,0.5,0.5,0.5,0.9671764267064528,0.980106925276638,0.9694143976128312,0.9638194703468856,0.5,0.926395623523561,0.9204898669650629,0.9709063782170833,0.9750093248787766,0.5,0.9190600522193212,0.6983712545070248,0.7922417008578889,0.9444237224916076,0.5,0.546313564590327,0.5200795722988933,0.5630361805296531,0.5046624393882879,0.5
anneal,0.2340029761904762,0.7958603896103896,0.8131764069264069,0.2504734848484848,0.6155979437229437,0.7367424242424243,0.6350784632034632,0.5032467532467533,0.7591314935064936,0.905370670995671,0.9185944264069263,0.6759334415584416,0.6156655844155844,0.8832521645021645,0.897253787878788,0.87303841991342,0.5,0.8709415584415585,0.879193722943723,0.9119656385281384,0.8837594696969697,0.9364853896103896,0.8676271645021645,0.9254937770562772,0.9400703463203464,0.8991815476190477,0.910545183982684,0.8583603896103896,0.7554450757575758,0.9451095779220778,0.859070616883117,0.7899756493506493,0.650872564935065,0.582115800865801,0.5784632034632035,0.5693993506493507,0.5644277597402597,0.5684862012987013
australian,0.227461219474735,0.8130855475349408,0.8796651819996928,0.2148287513438796,0.6164183689141454,0.7612501919827983,0.7911995085240363,0.2765320227307633,0.679926278605437,0.7941944401781599,0.8652280755644294,0.6955920749500845,0.9102288434956228,0.8482567961910613,0.8236829980033789,0.9001689448625403,0.5,0.8090155122101059,0.8178467209338043,0.8795115957610198,0.8755951466748579,0.8138534787283059,0.8962524957763784,0.8660344033174627,0.8473736753186915,0.8976347719244356,0.7394025495315619,0.8798187682383658,0.7852864383351252,0.6735524497005069,0.7375211181078176,0.705344801105821,0.5717631700199662,0.5890416218706804,0.6010981416065121,0.569459376439871,0.6866840731070496,0.5551758562432806
crx,0.2289915966386554,0.8587184873949579,0.8547794117647058,0.2025560224089636,0.5897233893557423,0.8143382352941176,0.8018207282913166,0.65296743697479,0.6285889355742297,0.8433998599439776,0.7633053221288515,0.7566526610644257,0.8018207282913166,0.8121498599439776,0.8227415966386554,0.8320203081232493,0.5,0.778361344537815,0.7835259103641457,0.8639705882352942,0.8402485994397759,0.8721988795518207,0.8344712885154062,0.7840073529411765,0.8298757002801121,0.8460259103641457,0.8509278711484594,0.8052345938375349,0.7457983193277311,0.6666666666666667,0.7339810924369748,0.79796918767507,0.6143644957983193,0.5209646358543417,0.5607055322128852,0.5682335434173669,0.4986869747899159,0.531687675070028
german,0.4441285714285714,0.6835428571428571,0.6368000000000001,0.4584714285714286,0.6570857142857143,0.6041142857142857,0.6390571428571429,0.4245,0.6785142857142857,0.6433714285714286,0.6985428571428572,0.6785142857142857,0.6662857142857143,0.6519714285714285,0.6400571428571429,0.6793857142857143,0.5,0.6694857142857145,0.6283714285714286,0.6294,0.6458857142857143,0.6395142857142857,0.6777142857142857,0.6481428571428571,0.6466857142857143,0.6728714285714285,0.6392000000000001,0.6614857142857142,0.6234571428571428,0.6110571428571429,0.6688857142857143,0.6567714285714287,0.6608571428571427,0.5597857142857143,0.5638714285714286,0.5412142857142858,0.5356714285714286,0.5162
heart,0.2528205128205128,0.8241025641025641,0.8610256410256409,0.2835897435897436,0.4517948717948717,0.9512820512820512,0.7753846153846153,0.5261538461538461,0.8420512820512821,0.882051282051282,0.8564102564102564,0.657948717948718,0.8266666666666667,0.8302564102564103,0.8574358974358974,0.8261538461538462,0.5,0.8605128205128204,0.8825641025641026,0.8620512820512821,0.8943589743589744,0.7964102564102564,0.8958974358974359,0.8571794871794872,0.8643589743589745,0.8969230769230768,0.801025641025641,0.8625641025641025,0.7928205128205129,0.8353846153846154,0.7866666666666667,0.738974358974359,0.6815384615384615,0.6994871794871795,0.7025641025641025,0.6364102564102564,0.5602564102564103,0.6146153846153847
scenario-1-4-rcat-0-icat,0.0014657222716754,0.9990993723950872,0.9990892859787578,0.5,0.9969901622968224,0.5,0.998765307732732,1.0405606719647112e-05,0.7909625326659446,0.8709352699763391,0.8769529983213138,0.742496599983964,0.6271094654505767,0.5,0.5,0.5,0.5,0.5,0.9999978933434248,0.9999689746940752,1.0,0.9862277645590396,0.999999936161922,1.0,1.0,1.0,0.9998844530787572,1.0,1.0,1.0,1.0,0.99986357802724,1.0,0.5,0.5,0.5,0.4718345761330365,0.4713310852115773
scenario-1-5-rcat-0-icat,0.0011007599795513,0.9994135195770956,0.9993561291449424,0.5,0.9985014011181368,0.5,0.99928865229646,4.468665462425133e-07,0.7946600979837892,0.941255051507115,0.76409251107846,0.6938480265607261,0.6176268935012326,0.5,0.5,0.5,0.5,0.5,1.0,0.9999991062669076,1.0,0.9888695757423476,7.5328932080884e-06,1.0,1.0,1.0,0.9999047535875724,1.59595195086611e-05,1.0,1.0,1.0,0.9998665145788296,0.5647201925969279,0.5,0.5,0.5,0.4710873195106019,0.5138195713758229
scenario-1-6-rcat-0-icat,0.0005687334372106,0.9996919174354048,0.999628015519292,0.5,0.9993708119028906,0.5,0.9996116729713154,0.0,0.7848134255563743,0.7409249065027509,0.68809896076716,0.7083352165566353,0.5673498426263699,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.9867654088522476,3.83028468207885e-07,1.0,1.0,1.0,0.9999215430020952,0.0,1.0,1.0,1.0,0.9998716854631504,0.5964390992396119,0.5,0.5,0.5,0.4688861506609283,0.5170280412588052
scenario-1-7-rcat-0-icat,0.0005103215958089,0.9997661611201591,0.9996516356081648,0.5,0.9998328080736272,0.5,0.9997166227716042,0.0,0.8013482219052448,0.8723780743780001,0.8691141292052057,0.690510699517231,0.5532983475130473,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.9898591936280406,0.0,1.0,1.0,1.0,0.999926394696026,0.0,1.0,1.0,1.0,0.9998726430343208,0.6184036752347581,0.5,0.5,0.5,0.4627410334312354,0.519327361153457
