Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
census-income-full-nominal,0.1790644572572939,0.0969219156165486,0.0796221659325438,0.0862999896471136,0.0796286918726723,0.0,0.0796221659325438,0.138861940625464,0.0927478109461115,0.1436170919667815,0.1022656305399773,0.0547975296994618,-0.0552889106036873,0.0,0.0,0.0,0.0579629803116853,0.0,0.0796589060749992,0.0796330427708772,0.0796765637005729,0.0541200691056781,-0.0496261874344839,0.0811628939183506,0.0796395695254044,0.0796221659325438,0.0504771146004923,0.0949916403858997,0.080194860909247,0.0796428253826552,0.0910915946649005,0.0627165010261993,0.0497839138760933,0.0796221659325438,0.0796221659325438,0.0796221659325438,0.0497839138760933,0.0
bands_band_16_variant1ori,0.0497420497420497,0.2878411910669975,0.3530571992110454,0.0470835207677313,0.1489621489621489,0.0531931836279662,0.1903919834954318,0.1142741772663032,0.2010256410256411,0.2354312354312354,0.331002331002331,0.1163136380527685,0.1700404858299595,0.0,0.0,0.0,0.0,-0.0512820512820512,0.1739926739926739,0.3787878787878789,0.2602089268755935,0.2490842490842491,-0.0512820512820512,0.5094017094017095,0.2420989862850328,0.4913151364764269,0.4057971014492754,0.1276595744680851,0.5020242914979757,0.229059829059829,0.3880597014925374,0.3867521367521368,0.0473719828558538,0.1315496098104794,0.1016317016317016,0.1398601398601399,0.0593792172739541,0.0465116279069767
sick_sick_35_variant1ori,0.0098759522023373,0.0270714237391333,0.1016488102967169,0.0099153911536301,0.0116950920427076,0.0404399079930994,0.0626306916200533,0.0100518029606132,0.1202674878035207,0.2121506612995974,0.2483250197253166,0.0140703718625699,0.0962591931236947,0.0,0.0,0.0,0.0,-0.0100632547441058,0.0981578082641912,0.1161946520989074,0.137750880096495,0.0734130473008616,0.0691573926868044,0.1600526618443751,0.1224040573534818,0.195025730990738,0.0771364507014285,0.1136179601225193,0.061657213048375,0.061038506459413,0.0977874418610143,0.1037466894524131,0.0098647125140924,0.0777683326249468,0.0386144924724776,0.0205006189585256,0.0445347590258458,0.0098647125140924
ad_nominal,0.1227929373996789,0.3355623100303952,0.2655172413793102,0.1555662670233133,0.1567796610169491,0.3304297155151805,0.4039739937175835,0.1567796610169491,0.2712928921568627,0.2797874624302275,0.3135481852315393,0.2998532256229377,0.0,0.0,0.0,0.0,0.0,0.0,0.2655172413793102,0.2655172413793102,0.2655172413793102,0.2463553979511426,0.0,0.2655172413793102,0.2655172413793102,0.2655172413793102,0.2849898865760298,0.0,0.297920892494929,0.2891523768178857,0.2742109038737444,0.2016955504229316,0.0,0.2655172413793102,0.2655172413793102,0.2655172413793102,0.0,0.0
AID362red_train_allpossiblenominal,0.0241774675972083,0.0357660099228541,0.048534460197971,0.0229321399098584,0.0534814475492441,0.040039446424864,0.0608515154352779,0.0235945389637538,0.0570985064608155,0.074688584847866,0.0624312128549416,0.0319893185028248,0.0609688913894554,0.0,0.0,0.0,0.0327123585511686,-0.0240112994350282,0.0460731241004489,0.086692624828218,0.0662099604270888,0.0269183630765551,0.0079890536723163,0.0454131954419228,0.0540762173329808,0.0637610976594027,0.027893690398753,0.022911051212938,0.0708045616237706,0.0604432407245617,0.0666091695415229,0.0773759579347765,0.022911051212938,0.022911051212938,0.0313406626965949,0.022911051212938,0.0,0.022911051212938
apascal_entire_trainvsall,0.0503093527755238,0.031044314575712,0.0308075253979966,0.038114630723075,0.0868116485124077,0.0368654982925095,0.0961666337536162,0.0602723188549692,0.0759062289871018,0.1560461257673801,0.1020284875467802,0.0471585862159362,0.0661100609115732,0.0,0.0,0.0,0.0747003246482976,-0.0328106852497096,0.0324390872841167,0.0308075253979966,0.0308075253979966,0.0548642455864286,-0.0328106852497096,0.0698702995975823,0.0752239052575821,0.0308075253979966,0.1007558093840873,0.0307901907356948,0.0785102269328937,0.0865031845264301,0.1692609705600161,0.0838178739378359,0.0307901907356948,0.0316686558736147,0.0344582869507206,0.0316686558736147,0.0,0.0307901907356948
covertype_nominal_4vs123567,0.0047343701164687,0.1003820018351702,0.2716841979506555,0.1726582278481012,0.1134020618556701,0.1619147020108126,0.1134020618556701,0.2436879432624113,0.1674885844748858,0.1686666666666666,0.1466666666666666,0.0047069078884544,0.0,0.0,0.0,0.0,0.0,0.0,0.1506172839506173,0.1994968553459119,0.2661333333333334,0.0047057090340363,-0.0047504171962681,0.1161111111111111,0.1263492063492063,0.1134020618556701,0.0047057090340363,0.0705913292581169,0.1956218905472637,0.1956218905472637,0.1134020618556701,0.0047057090340363,0.0047057090340363,0.2355555555555556,0.2355555555555556,0.1134020618556701,0.0047069240912715,0.0
list_attr_celeba_baldvsnonbald,0.0219520022772114,0.1522458176570461,0.1606363981977354,0.0219507014376333,0.1843784344296316,0.1834205666139795,0.1418299085523008,0.0303023302517983,0.1290281041282621,0.1478471312050109,0.1772626689775024,0.0878991719762731,0.0248906593499664,0.0,0.0,0.0,0.0219541705106496,0.0,0.0909862256339162,0.1077768639258599,0.098582233259369,0.0537577362516765,-0.0013736399063911,0.1451204002517429,0.167492477227805,0.0637200502396063,0.0929538428632375,0.0269653848252569,0.0865424436178204,0.1067030720638861,0.1110763690554731,0.0596975081481703,0.0219507014376333,0.0304349577371162,0.0304349577371162,0.0304349577371162,0.0,0.0219507014376333
Reuters-corn-100,0.1861281826163301,0.4782744965877496,0.4568332719911667,0.1861281826163301,0.3265511873285726,0.4840718044841756,0.4217472668176893,0.1861281826163301,0.4337466829113606,0.4195570120256311,0.3774215883126774,0.2091328671328671,0.3124297164732624,0.0,0.0,0.0,0.1911506215303683,0.0,0.4567350387401802,0.4465826758411929,0.4637190082644629,0.2759230884436814,-0.1251594220757216,0.4741958041958042,0.4783480049362402,0.4514792899408283,0.4031086686332938,0.1861281826163301,0.4485460241116349,0.4192417751739787,0.4636953408037746,0.3643356643356643,0.1874027381069634,0.1869771389560308,0.1869771389560308,0.1869771389560308,0.0,0.1861281826163301
w7a-libsvm-nonsparse,0.0330501237006991,0.028870929960178,0.0501432759312935,0.0633543136472303,0.3414389453191634,0.1049497716031732,0.1319011150986143,0.0274566979295876,0.2735530269511352,0.3595423633270218,0.3886108689074508,0.1887237622455413,0.3052143396803247,0.0,0.0,0.0,0.0316153194040055,0.0,0.3430890209999456,0.0274321187886244,0.0274321187886244,0.0315233442872127,-0.0245339442992456,0.5764499318661741,0.2129314472667458,0.0274321187886244,0.031285958611835,0.0272203504410497,0.6510718861564854,0.582612510202462,0.1600324002885875,0.0583643115613763,0.028870929960178,0.0287189224708973,0.028164222506045,0.0274321187886244,0.0,0.028870929960178
