Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
census-income-full-nominal,0.6767923210174881,0.4782199425280976,0.3776926799953963,0.4854469206681754,0.2833839431318115,0.5,0.3038413780071641,0.614083942086795,0.5304069215077237,0.6530659245408044,0.5619311476804523,0.5048867517142398,0.6041800342792407,0.5,0.5,0.5,0.539170269482834,0.5,0.4195304436785007,0.3545313355010457,0.4198639697502612,0.5060757807250182,0.6253537929014216,0.4083867135417351,0.410632756881764,0.3934623789287253,0.4909331593833808,0.64523869989423,0.4846206820322316,0.4974849794822435,0.5235570633470136,0.5228886828709522,0.6337751813019002,0.5003061121256469,0.502273531714198,0.5006537178922108,0.5030361949443233,0.5
bands_band_16_variant1ori,0.231670673076923,0.7089342948717948,0.733974358974359,0.2251602564102564,0.6668669871794872,0.3659855769230769,0.7944711538461539,0.6646634615384616,0.5606971153846154,0.5582932692307692,0.6247996794871795,0.624198717948718,0.6033653846153847,0.5,0.5,0.5,0.5,0.7011217948717948,0.719150641025641,0.8870192307692307,0.694911858974359,0.7069310897435898,0.7844551282051282,0.9120592948717948,0.7792467948717948,0.8970352564102563,0.7352764423076923,0.6819911858974359,0.8894230769230769,0.7311698717948719,0.8707932692307693,0.6925080128205128,0.6345152243589743,0.6463341346153846,0.6219951923076923,0.6189903846153847,0.5068108974358975,0.5765224358974358
sick_sick_35_variant1ori,0.1153002546619567,0.6072208987102604,0.8862893288425203,0.1139489033106054,0.4426764150168406,0.7474739176866837,0.8313398504887868,0.2446069169473425,0.7177852624661136,0.8312494865686355,0.79914565020948,0.4927380267805799,0.7275034913332786,0.5,0.5,0.5,0.5,0.8866672143267887,0.879696870122402,0.897962704345683,0.9223363180809988,0.7204715353651524,0.8894438511459788,0.880986609710014,0.8774500944713711,0.9359401955146636,0.8031257701470468,0.8884293107697363,0.7975108847449273,0.7769079109504642,0.8601577261151729,0.8612420931569867,0.8176127495276432,0.6348517210219337,0.5554423724636491,0.6291218269941673,0.5442002793066623,0.5581491826172678
ad_nominal,0.2956260912560453,0.6921070319380707,0.4389323911382735,0.5251224524482764,0.2684459459459459,0.7006130348120335,0.7508033033033035,0.3119886553219886,0.4698242933537051,0.5466959511077158,0.5998854087089381,0.6592550101206756,0.5,0.5,0.5,0.5,0.5,0.5,0.3891329258976317,0.5508021390374331,0.5586325439266615,0.6335191365750398,0.5,0.3707505729564553,0.3817322383498854,0.5197669977081742,0.6818940342094284,0.5,0.532324293353705,0.5305099312452254,0.5267857142857143,0.6159385188275467,0.5,0.404268525592055,0.4459033613445378,0.4713521772345301,0.5,0.5
AID362red_train_allpossiblenominal,0.4164174144233965,0.5580757726819541,0.5894907868985636,0.5002354048964218,0.5152043868394816,0.576862006572874,0.6053783095158968,0.4014299693512056,0.5685074406410399,0.6331006979062811,0.5875060005169677,0.4998753738783649,0.6016672205605407,0.5,0.5,0.5,0.5289040286547764,0.704834570362985,0.5807761899486724,0.6004394224733207,0.6059783612126582,0.4856356855359847,0.6035227650382188,0.5875706214689265,0.5943188951663527,0.5757772977364204,0.5048696503083342,0.5755141981463019,0.5839149219009638,0.5920940881060522,0.5612975887153354,0.5320242974779366,0.5582696355378308,0.4384623906059599,0.4353836638233448,0.4518343118791773,0.5,0.4357852368819467
apascal_entire_trainvsall,0.6095081352204166,0.3587424069563072,0.3583518341504527,0.5550232288037167,0.7047590782481782,0.2683248024009949,0.6899507158788402,0.6354837963676729,0.6155774310587607,0.7839117408241085,0.7253874893363346,0.5120101137800254,0.7069791763025088,0.5,0.5,0.5,0.6353039273123452,0.4734127840646295,0.4812589292138181,0.3835617670335995,0.3925629284737854,0.4549402320824726,0.3704955649430073,0.5364645966307957,0.5610963789789605,0.4352574183137533,0.5543975414469694,0.4352574183137533,0.5800198883784035,0.6616123462119576,0.5716906663377632,0.5810695527941374,0.5716906663377632,0.512819524529,0.5229448675649842,0.5158965701540706,0.5,0.5158965701540706
covertype_nominal_4vs123567,0.0226982698841935,0.9170556594910052,0.9771761860434652,0.62,0.0733333333333333,0.962311907255574,0.0757575757575757,0.6309090909090909,0.5509090909090908,0.5412121212121213,0.466060606060606,0.274564429802945,0.5,0.5,0.5,0.5,0.5,0.5,0.5327272727272727,0.6187878787878788,0.676969696969697,0.2744364607921973,0.960228735966452,0.3727272727272727,0.3454545454545454,0.5,0.4999982706890439,0.8544575084643617,0.4842424242424242,0.4987878787878787,0.5,0.4999982706890439,0.8506751481468495,0.5824242424242423,0.6018181818181818,0.4903030303030303,0.5000648491608519,0.5
list_attr_celeba_baldvsnonbald,0.2641563694026175,0.7851088388011616,0.757172995057632,0.4940757983862446,0.8646171348544981,0.893206595490573,0.7374054311526536,0.2899812271947202,0.615188295973074,0.6866572945985231,0.7603814136219486,0.7269917468765081,0.5921015273101331,0.5,0.5,0.5,0.5000403934320279,0.5,0.6799505963955657,0.6339717224913525,0.6148035668195412,0.6281886859071796,0.7336395023930711,0.738337031309277,0.758362664080933,0.5804472719815797,0.6277590282018957,0.7150412685046081,0.6825885375893594,0.7270615614460546,0.5543933603052212,0.5428887652740108,0.6508922732130547,0.5037576435958908,0.5043548748004407,0.5008827257568604,0.5,0.4992708999954699
Reuters-corn-100,0.1891344504552051,0.8229812640189998,0.8184094207679115,0.1658068346747591,0.7094570523815806,0.8328506399261117,0.8136726481066103,0.1944715661696794,0.7484529621322074,0.7771770682148041,0.7562244359414171,0.5718564454413511,0.7046806966618288,0.5,0.5,0.5,0.4556768702995117,0.5,0.8177233144214276,0.815948673967542,0.8193330254651009,0.6630228262303735,0.8267416545718431,0.817716717245019,0.8192142762897481,0.8176309539517086,0.7175089061881514,0.8176309539517086,0.8059671460614857,0.7931224435941417,0.8156913840876105,0.6648964243303868,0.8156913840876105,0.4995777807098561,0.4938283414698509,0.503994590315345,0.5,0.503994590315345
w7a-libsvm-nonsparse,0.5273614667215193,0.4608392853866149,0.5683110750282983,0.6494904143122141,0.9078755112183712,0.6177275938128621,0.7230870669469227,0.418170361879407,0.7487021447986311,0.7529552669090482,0.8204486684925958,0.5877623515348432,0.7441239363379278,0.5,0.5,0.5,0.5077544430114973,0.5,0.8468743940726039,0.4507785864500451,0.4383693140165225,0.5031544376607076,0.4458138054018604,0.8795321408848057,0.7847310232021956,0.4687563816058471,0.5012999547704181,0.462220188361808,0.9044521430116682,0.8931031652945959,0.6616634726027246,0.5362697473208583,0.7106517065867802,0.5150127338813775,0.5098025688169905,0.5059695412880229,0.5,0.5081778627740932
