Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.0725479391532751,0.0845816478458756,0.099691673956109,0.2128177865616073,0.1197002850341512,0.1425262347569367,0.0999319558669852,0.0614446591958197,0.0595474595611471,0.1741285337774468,0.1558208908843124,0.0612452502356178,0.0,0.4378553427853717,0.3910004622042943,0.1057454119426668,0.1236828928709546,0.0,0.1013068473518539,0.0929419815830371,0.0865536126336786,0.0630754996686591,0.0,0.1076419235812222,0.1465761472204517,0.064677888404885,0.0657882019755713,0.0,0.1175068320289733,0.14961743003451,0.1230924671817783,0.0988360177779223,0.0,0.0553251121076233,0.0553251121076233,0.0553251121076233,0.0621835252220892,0.0
chess_krkopt_zerovsall,0.0012224382633831,0.0032946203272098,0.0026756333044125,0.0010566627288681,0.0009836904925949,0.0011210067963485,0.0177463061455375,0.0009619156224591,0.0020414798208529,0.027432833622927,0.0308133242950753,0.0015844290285972,-0.0009632880231189,0.0027681687821862,0.01154875307717,0.0,0.0009813789152962,0.0,0.001306041177009,0.0057053548018185,0.0182860059773256,0.0013803893221885,-0.0009632880231189,0.0045924749076292,0.2033149340224155,0.0009907995931367,0.0009614357440444,0.0102582735018039,0.0165590452464324,0.2573498185634923,0.0027099717494429,0.0009795615348857,0.0009938420208107,0.0010693826975778,0.0010981388279467,0.0009614357440444,0.0009614357440444,0.0
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.2109777015437393,0.1044776119402985,0.111756168359942,0.1396226415094339,0.6915520529049011,0.1913746630727762,0.111756168359942,0.1342952275249722,0.2560646900269542,0.2674805771365149,0.2162554426705369,0.1277451283637488,0.3660377358490567,0.0,0.0,0.0,0.115566037735849,0.0,0.1235544735240413,0.1044776119402985,0.1320754716981132,0.1355060034305317,0.2955974842767295,0.1727140783744558,0.1044776119402985,0.1044776119402985,0.1194968553459119,0.2955974842767295,0.1560891938250429,0.1044776119402985,0.1044776119402985,0.3660377358490567,0.1044776119402985,0.1698113207547169,0.0,0.1560891938250429,0.2162554426705369,0.1044776119402985
solar-flare_FvsAll-cleaned,0.13585291113381,0.1449973247726056,0.149904083310496,0.2014250479583447,0.2518726591760299,0.273876404494382,0.2193453834880313,0.0598839362884306,0.141648253490668,0.1477960242005185,0.1943486483479809,0.1207781318128458,-0.0394564933368173,0.4202247191011236,0.3701791679319769,0.0,0.0,0.0,0.126123595505618,0.1346021554689291,0.1145543289546958,0.1286995356750434,-0.0914927768860353,0.1208249961520701,0.1730905987768453,0.1130434782608695,0.1496919173613628,0.1561921224842572,0.1622314212497536,0.1652101539741989,0.1312069590431316,0.1566673733305066,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.1130434782608695,0.0
creditA_plus_42_variant1ori,0.0494117647058823,0.835915288656803,0.6655416162516716,0.0494117647058823,0.6257053819590668,0.8199070241355155,0.8334478493884843,0.082756271994551,0.3816512109480509,0.4357884510292064,0.5735792455974668,0.3068258112644536,0.0,0.0,0.0,0.0,0.0,0.0,0.6348664390439847,0.8334478493884843,0.7287579261469602,0.5537256477204258,0.0,0.5286928503972002,0.4415604361849178,0.7024837651469505,0.7046475195822455,0.0,0.439621409921671,0.2264577893820714,0.2465497948526669,0.5331079056628001,0.0,0.100618386697815,0.1139425587467363,0.0780001934048931,0.0559268929503916,0.0
anneal,0.0513408420488066,0.218046804680468,0.2402186421173762,0.0504253056884635,0.1507820136852395,0.2102272727272727,0.1062515915457092,0.1558352116203356,0.2360368389780155,0.8315151515151514,0.7814465408805031,0.1670058796924468,0.047945205479452,0.4539842873176207,0.5244379276637341,0.3903508771929825,0.0,-0.053030303030303,0.4225317693059628,0.6745179063360881,0.5916821273964131,0.4457735247208932,-0.053030303030303,0.5879446640316206,0.8049943883277216,0.5392992424242425,0.414983164983165,0.3065410199556541,0.2064842740198191,0.6622355631789594,0.3827063740856845,0.1842723004694835,0.0491702116485478,0.0835790335790335,0.0828445747800586,0.0986060606060606,0.0825082508250825,0.047945205479452
australian,0.0753880266075388,0.3820478441888363,0.5129174110210253,0.0753880266075388,0.2442635539855628,0.2954999232068807,0.3696578260272091,0.0753880266075388,0.216847602033805,0.3749637365825355,0.4500013458587924,0.2741514360313316,0.0787306688089978,0.4359369593255529,0.3813790647994303,0.5451961529563406,0.0,-0.0887728459530026,0.4235908462601751,0.3992977401638606,0.4235908462601752,0.3951261966927763,0.1404424900371032,0.4359369593255529,0.4429534276519522,0.5333830660201418,0.2741514360313316,0.3574455335359329,0.3208644624253548,0.1778654020354877,0.2596344647519582,0.2899307526393461,0.0768570277042774,0.1493962140992167,0.1303512488299916,0.103620749315801,0.1720789817232376,0.0753880266075388
crx,0.0764038948912898,0.4551820728291317,0.4551820728291318,0.0760095011876484,0.2162268416138385,0.394646747587924,0.4218258732064254,0.2173038229376258,0.1733796967062687,0.3808887191240133,0.3400796938493707,0.3189775910364146,0.0348939575830332,0.2939159663865547,0.3631998253846993,0.349881128922157,0.0,-0.0896358543417367,0.2995198079231693,0.3788057278986361,0.3287843137254902,0.4551820728291317,0.0971588635454181,0.3015154779860662,0.3209515690334105,0.402457757296467,0.4007002801120449,0.2345533254624164,0.2681550232033112,0.1850622601981969,0.2088945167107939,0.3033475685356109,0.0771983434522134,0.1033853541416566,0.131449681321804,0.1050541253965563,0.0900381429167411,0.0760095011876484
ecoli,0.0387688665285587,0.1887976822790922,0.4560172692930383,0.0260869565217391,0.0752293577981651,0.3976589686807972,0.0892410341951626,0.0260869565217391,0.871559633027523,0.871559633027523,0.8186724230976795,0.1779816513761468,0.729599227426364,0.3834862385321101,0.3834862385321101,0.3834862385321101,0.0,-0.0275229357798165,0.729599227426364,0.6917431192660551,0.729599227426364,0.3149847094801223,0.4862385321100917,0.8186724230976795,0.8186724230976795,0.8186724230976795,0.3247706422018349,0.6574923547400611,0.7716615698267074,0.729599227426364,0.729599227426364,0.2293577981651376,0.0263995506459464,0.0333172380492515,0.0306387398303617,0.0295616717635066,0.0324159021406727,0.0260869565217391
heart,0.0738636363636363,0.4204444444444444,0.5594594594594594,0.0747809523809523,0.1023188405797101,0.6377777777777778,0.3136842105263158,0.1264052287581699,0.4566666666666666,0.4767901234567902,0.4566666666666666,0.3158024691358025,0.3402380952380952,0.348,0.3373983739837398,0.5060606060606061,0.0,-0.0866666666666666,0.4349333333333334,0.3962962962962962,0.5060606060606061,0.3084848484848485,0.2031111111111112,0.4307936507936508,0.3607843137254901,0.5653333333333334,0.3480000000000001,0.187859649122807,0.3125170068027211,0.3112676056338028,0.2755555555555555,0.2529166666666667,0.0757088122605363,0.2031111111111111,0.2176,0.1421052631578947,0.0944444444444444,0.0738636363636363
nursery,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0248306997742663,0.0867507087034527,0.0263631814618588,0.0248306997742663,0.0850258790900744,0.0329441304232507,0.0248306997742663,0.1122705367072618,0.4935521688159416,-0.0261282660332541,0.0431087622977093,0.0,0.0726353133727105,0.0,-0.0261282660332541,0.0454395866401302,0.0248306997742663,0.0495465758206016,0.4935521688159416,-0.0261282660332541,0.0506093855056974,0.0248306997742663,0.0248306997742663,0.4935521688159416,0.0494527712243624,0.0447424605118441,0.0248306997742663,0.0248306997742663,0.5053657912141811,0.0248306997742663,0.0248306997742663,0.0,0.0248306997742663,0.0,0.0248306997742663
scenario-1-1-rcat-0-icat,0.0446164816135275,0.802345062361296,0.810838263956245,0.0,0.7185642463739255,0.0,0.7110383190480708,0.0446164816135275,0.4198012256593994,0.777961874899177,0.6717506408077714,0.3571291956862321,0.3168232082957489,0.0,0.0,0.0,0.0,-0.0489878089699138,0.9028134426836004,0.9223205897030106,0.9264640062016296,0.7137930633849294,0.6986375949248814,0.993379881871102,0.8272549908856228,0.993379881871102,0.9825669647792966,0.9551419686953656,0.9898388645284968,0.985613881476984,0.9898388645284968,0.9754377497614126,0.0446164816135275,0.0,0.0,0.0,0.0446355553355007,0.0446164816135275
scenario-1-2-rcat-0-icat,0.0446164816135275,0.916726506241773,0.9062715911201912,0.0,0.8462892584171602,0.0,0.8625553674279223,0.0446164816135275,0.8322719361804332,0.4829426229347631,0.7930665687424538,0.6380872220385598,0.3020043096207797,0.0,0.0,0.0,0.0,-0.0489878089699138,0.984234865298718,0.9724111914648474,0.985430724875418,0.8574501636805053,0.904637471911826,0.9982048126486538,0.9963993553467853,0.9982048126486538,0.9861896281589536,0.9909413833422288,0.9969977452519464,0.9921941376550608,0.9969977452519464,0.9815340022271054,0.0446164816135275,0.0,0.0,0.0,0.0446450951117698,0.0446164816135275
scenario-1-3-rcat-0-icat,0.0446164816135275,0.967277013610709,0.9585355851321626,0.0,0.8908600285007042,0.0,0.9332799273446698,0.0446164816135275,0.8342973652717716,0.6760478825239973,0.6866255841253704,0.7159457318994051,0.3086216713607386,0.0,0.0,0.0,0.0,0.0,0.9975995702311902,0.9946021210516128,0.999400920725888,0.8812590410109103,0.9710836205151988,1.0,0.99880389075374,1.0,0.9891608607569125,1.0,1.0,0.9921941376550608,1.0,0.985613881476984,0.0446164816135275,0.0,0.0,0.0,0.0446450951117698,0.0446164816135275
scenario-1-4-rcat-0-icat,0.0446164816135275,0.989110853194084,0.9861260956835493,0.0,0.92454549562304,0.0,0.9656471828641432,0.0446164816135275,0.8288493574838562,0.7957970398538567,0.915226771761222,0.7234012245004704,0.306972035211346,0.0,0.0,0.0,0.0,0.0,0.999400920725888,0.9988011567897488,1.0,0.8860947581169034,0.9866602706373768,1.0,1.0,1.0,0.9903762586333036,1.0,1.0,1.0,1.0,0.9880115678974868,0.0446164816135275,0.0,0.0,0.0,0.0446450951117698,0.0446164816135275
scenario-1-5-rcat-0-icat,0.0446164816135275,0.9939782559760624,0.9921672363488748,0.0,0.9357517483916538,0.0,0.9824056411450968,0.0446164816135275,0.8731550250189932,0.9242469024122094,0.8283977726751066,0.6714666036755981,-16.285593626628263,0.0,0.0,0.0,0.0,0.0,1.0,0.999400920725888,1.0,0.90770987058629,-20.413242009132404,1.0,1.0,1.0,0.9910444979313894,0.4880458515283836,1.0,1.0,1.0,0.988617493791874,0.4880458515283836,0.0,0.0,0.0,0.0446546368323529,0.4880458515283836
scenario-1-6-rcat-0-icat,0.0446164816135275,0.9975995702311902,0.9970011783620072,0.0,0.9770118011875104,0.0,0.9909621957871634,0.0446164816135275,0.8395179517465595,0.7876194312892649,0.7876105671612048,0.6801396467872782,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9202974949066978,-20.413242009132404,1.0,1.0,1.0,0.9934025923964156,0.4880458515283836,1.0,1.0,1.0,0.9904202026578092,0.4880458515283836,0.0,0.0,0.0,0.0446641804978444,0.4880458515283836
scenario-1-7-rcat-0-icat,0.0446164816135275,0.999400920725888,0.998802525332226,0.0,0.9801624081971304,0.0,0.9963993553467853,0.0446164816135275,0.8489730906955368,0.8893027940283005,0.9189125988158224,0.6542037423091576,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.93320574897402,-20.413242009132404,1.0,1.0,1.0,0.9940057839487434,0.4880458515283836,1.0,1.0,1.0,0.9904420245196364,0.4880458515283836,0.0,0.0,0.0,0.044673726108839,0.4880458515283836
scenario-1-8-rcat-0-icat,0.0446164816135275,0.999400920725888,0.998802525332226,0.0,0.9898388645284968,0.0,0.9976023135794972,0.0446164816135275,0.8693814923362239,0.923651651824208,0.8555938860379079,0.6771749694904398,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9425989833937088,-20.413242009132404,1.0,1.0,1.0,0.995811229513526,0.4880458515283836,1.0,1.0,1.0,0.993425147636086,0.4880458515283836,0.0,0.0,0.0,0.0446928231697175,0.4880458515283836
scenario-1-9-rcat-0-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9880389075374012,0.0,0.9982007070172042,0.0446164816135275,0.8472347851014688,0.9020425731883384,0.8678652888444067,0.7559670977109775,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9537395125960824,-20.413242009132404,1.0,1.0,1.0,0.9964157591948636,0.4880458515283836,1.0,1.0,1.0,0.9946021210516128,0.4880458515283836,0.0,0.0,0.0,0.0446928231697175,0.4880458515283836
