Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
thyroid_disease_variant1ori,0.1855985864828396,0.057815003952907,0.0487759095152428,0.1804092505145901,0.2663699439506729,0.0713489811746259,0.0485405050836339,0.0678049572835033,0.2344482010301117,0.2639569076767784,0.2561697399628213,0.0526185306658879,0.169061864429833,0.0,0.0,0.0,0.0,-0.0537595350526698,0.1396520251785164,0.0755361134200504,0.0525407689219416,0.0597580484143727,-0.0537595350526698,0.2473146178195216,0.2366466360248376,0.0485405050836339,0.0630351882782545,0.0485405050836339,0.1569923719578641,0.134622057805908,0.0961656020483198,0.0632156372153037,0.0486412602118049,0.0,0.0,0.0,0.0485405050836339,0.0
german,0.0666421207658321,0.2142857142857143,0.1361838853188334,0.0664947297600358,0.236896197327852,0.1534391534391534,0.1607142857142857,0.0651678998292544,0.2157584683357878,0.1517857142857142,0.2003484320557492,0.1537761601455869,0.0306122448979591,0.1825396825396825,0.1857142857142857,0.2166866746698679,0.0,-0.0714285714285714,0.1816647919010123,0.1685714285714286,0.180672268907563,0.1394557823129251,-0.0714285714285714,0.1830357142857142,0.1602316602316602,0.1698202459791864,0.1643882433356117,0.134435433562071,0.175,0.132007233273056,0.1898954703832752,0.1913746630727762,0.0625,0.085930268435668,0.0945006321112516,0.0739411342426417,0.0710486322188449,0.0625
hepatitis,0.0460739779364049,0.4776119402985074,0.3731343283582089,0.0487859211405658,0.0781387181738366,0.3731343283582089,0.2537313432835821,0.0516647531572904,0.6517412935323383,0.4776119402985074,0.4776119402985074,0.1293532338308457,0.3731343283582089,0.1159586681974741,0.2010535557506584,0.1100055279159756,0.0,-0.044776119402985,0.4776119402985074,0.3351424694708276,0.3034825870646765,0.1293532338308458,-0.044776119402985,0.2766934557979333,0.3034825870646765,0.2010535557506584,0.2537313432835821,0.0735004224162207,0.1641791044776119,0.0757749712973593,0.1641791044776119,0.1451831750339212,0.0422885572139303,0.1511194029850746,0.1010065949323151,0.1451831750339212,0.0614722995193523,0.0410958904109588
lymphography,0.0389610389610389,0.7915492957746479,0.9198266522210184,0.0389610389610389,0.7594799566630551,0.7594799566630551,0.7915492957746479,0.0394918530792598,0.4788732394366197,0.5136150234741784,0.4788732394366197,0.4209702660406885,0.3051643192488263,0.6934548467274233,0.7594799566630551,0.8262910798122066,0.0,-0.0422535211267605,0.7915492957746479,1.0,1.0,0.2784398699891657,0.6525821596244131,0.8511066398390341,1.0,0.9198266522210184,0.4788732394366197,0.0483772198407838,0.6091549295774648,0.3051643192488263,0.6525821596244131,0.5830985915492958,0.040574573267419,0.2183098591549296,0.1390079608083282,0.0389610389610389,0.093692590324556,0.0389610389610389
scenario-1-9-rcat-1-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9928396736589084,0.0,0.9982007070172042,0.0446164816135275,0.8387232934960841,0.9004989865019238,0.8398913344203816,0.6886216236147701,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8682040957960878,-20.413242009132404,1.0,1.0,1.0,0.9385140360639304,0.4880458515283836,1.0,1.0,1.0,0.9867825132890388,0.4880458515283836,0.0,0.0,0.0,0.0446832736659316,0.4880458515283836
scenario-1-9-rcat-2-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9928396736589084,0.0,0.9976023135794972,0.0446164816135275,0.8119007756917616,0.8319683338301325,0.7823946722950075,0.613095226277369,-20.39445228267929,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7030360377865215,-20.413242009132404,1.0,1.0,1.0,0.8485745188448554,0.4880458515283836,1.0,1.0,1.0,0.8359467475913374,0.4880458515283836,0.0,0.0,0.0,0.044673726108839,0.4880458515283836
scenario-1-9-rcat-3-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9945897476901266,0.0,0.9970046036294404,0.0446164816135275,0.7664899639577657,0.892529847352548,0.8043779491380431,0.5610518927706108,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.727758154840839,-20.413242009132404,1.0,1.0,1.0,0.8240407546244015,0.4880458515283836,1.0,1.0,1.0,0.9010388859462344,0.4880458515283836,0.0,0.0,0.0,0.0446355553355007,0.4880458515283836
scenario-1-9-rcat-4-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9970011783620072,0.0,0.995811229513526,0.0446164816135275,0.7921950880466657,0.8697074711292122,0.7780570245666688,0.5161932108135941,-20.413242009132404,0.0,0.0,0.0,0.0,0.0,1.0,0.999400920725888,1.0,0.6740104478228903,-20.413242009132404,1.0,1.0,1.0,0.8196861838239868,0.4880458515283836,1.0,1.0,1.0,0.8830520348107868,0.4880458515283836,0.0,0.0,0.0,0.0446641804978444,0.4880458515283836
scenario-1-9-rcat-5-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9975995702311902,0.0,0.9952101013289044,0.0446164816135275,0.7482135629974245,0.7652817333520359,0.6782516384251944,0.5567374650433059,0.4095349621230905,0.0,0.0,0.0,0.0,0.0,1.0,0.999400920725888,1.0,0.6480727428455859,0.9957920259812096,1.0,1.0,1.0,0.788283192357702,1.0,1.0,1.0,1.0,0.892587304963865,0.0446164816135275,0.0,0.0,0.0,0.0446832736659316,0.0446164816135275
scenario-1-9-rcat-6-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9975995702311902,0.0,0.9951936411960144,0.0446164816135275,0.7241853457634031,0.927678082725076,0.7564587744209711,0.4716998988206676,0.3102681861550709,0.0,0.0,0.0,0.0,0.0,1.0,0.9988011567897488,1.0,0.6412449833652922,0.9921582279950494,1.0,1.0,1.0,0.7819799684444952,1.0,1.0,1.0,1.0,0.9037893338076513,0.0446164816135275,0.0,0.0,0.0,0.0446832736659316,0.0446164816135275
scenario-1-9-rcat-7-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9975995702311902,0.0,0.9945897476901266,0.0446164816135275,0.720613928601829,0.8549631003675039,0.6991041439403338,0.5408777995522985,0.499386930963768,0.0,0.0,0.0,0.0,0.0,1.0,0.999400920725888,1.0,0.6146931205833501,0.9786170219487786,1.0,1.0,1.0,0.7614598188473806,1.0,1.0,1.0,1.0,0.8898852576219428,0.0446164816135275,0.0,0.0,0.0,0.0446832736659316,0.0446164816135275
scenario-1-9-rcat-8-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9975995702311902,0.0,0.993395039554282,0.0446164816135275,0.7500315563530812,0.6810769665036525,0.6628532843653745,0.1320256460432819,0.4808763402708618,0.0,0.0,0.0,0.0,0.0,1.0,0.9975995702311902,1.0,0.205575994295795,0.965363610081182,1.0,1.0,1.0,0.6749794759570741,1.0,1.0,1.0,1.0,0.7578286131190614,0.0446164816135275,0.0,0.0,0.0,0.0446450951117698,0.0446164816135275
scenario-1-9-rcat-9-icat,0.0446164816135275,1.0,0.998802525332226,0.0,0.9975995702311902,0.0,0.9922030637412184,0.0446164816135275,0.7379386436189812,0.796088542144125,0.6302023313884152,0.1489862991449846,0.4388131063123918,0.0,0.0,0.0,0.0,0.0,1.0,0.9963952308970108,1.0,0.1973713324037233,0.9405278323020676,1.0,1.0,1.0,0.6681093209231149,1.0,1.0,1.0,1.0,0.6909147435038786,0.0446164816135275,0.0,0.0,0.0,0.0446450951117698,0.0446164816135275
KDDTrain20ProbeFS,0.126976202363122,0.3520407829175617,0.2663482431197674,0.126976202363122,0.1889784298010341,0.6598870692496819,0.566070101605272,0.126976202363122,0.5271371034412604,0.6831169715290214,0.5375222397540218,0.3909757964585842,-0.1464782873437792,0.0,0.0,0.0,0.0,0.0,0.6307746296964402,0.6024441669354522,0.6453695096476162,0.5904485571937265,-0.0745924788165044,0.584212748940931,0.5630783797498302,0.4745519178536213,0.5971628867879035,0.4950563340067327,0.1487238049819295,0.175787675180073,0.1453185885973812,0.1600524320911802,0.126976202363122,0.126976202363122,0.126976202363122,0.126976202363122,0.126976202363122,0.126976202363122
KDDTrain20R2LFS,0.015093622321137,0.0762904468078237,0.0845688945732452,0.0150958354776757,0.0683597434653515,0.0520294939133218,0.1074958868989672,0.0151534899426668,0.3652772608857462,0.2652426172096749,0.3451085009512746,0.3733801043638006,0.1843562911539667,0.0,0.0,0.0,0.0,0.0,0.2327614789891653,0.1842252008761065,0.1998193450930762,0.205354943205942,0.0882231017687215,0.2941993768106424,0.3073820486987557,0.1226287252011107,0.156033244011285,0.148323131477011,0.1431243021957573,0.1601557188024887,0.0699641548978512,0.0933504680963152,0.0150869847686421,0.0154352293213039,0.0157759304234962,0.0158562577220399,0.0159255115481133,0.0150869847686421
Average ADJ_MAX_F1,0.059±0.04,0.731±0.38,0.721±0.4,0.032±0.05,0.704±0.4,0.138±0.25,0.726±0.38,0.051±0.02,0.624±0.21,0.658±0.26,0.595±0.2,0.383±0.21,-5.239±9.47,0.066±0.18,0.076±0.2,0.077±0.22,0.0±0.0,-0.014±0.03,0.764±0.34,0.757±0.37,0.759±0.37,0.446±0.27,-5.086±9.58,0.762±0.34,0.771±0.34,0.729±0.39,0.588±0.29,0.527±0.39,0.693±0.4,0.666±0.43,0.688±0.42,0.599±0.36,0.167±0.2,0.04±0.07,0.032±0.05,0.027±0.05,0.055±0.03,0.164±0.2
Average Rank,25.467±6.06,5.333±7.38,12.933±5.51,27.333±5.86,13.0±6.63,22.067±9.18,13.933±3.92,25.867±4.0,13.8±7.07,13.2±6.78,14.267±7.26,19.6±5.57,25.4±11.11,26.4±6.32,25.467±7.67,25.467±8.83,30.467±3.58,31.2±4.23,3.467±3.81,8.467±5.18,4.4±6.2,19.0±5.11,27.0±11.26,3.533±3.66,3.8±5.06,6.467±8.0,15.867±3.48,14.933±11.12,6.8±7.69,8.6±10.47,7.0±8.34,15.933±3.37,25.733±4.56,27.067±2.74,27.467±1.68,27.467±2.97,25.133±2.23,26.267±4.91
