Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
thyroid_disease_variant1ori,0.1456003769843218,-0.0252795476188138,-0.0537595350526698,0.1456003769843218,0.2025603518520336,-0.0537595350526698,-0.0537595350526698,-0.0181595507603498,0.1812003612766417,0.2096803487104976,0.1883203581351057,-0.0181595507603498,0.1740803644181777,0.0,0.0,0.0,0.0,0.3734402764551693,0.1171203895504658,-0.0039195570434219,-0.0181595507603498,-0.0110395539018859,-0.0323995444772778,0.2025603518520336,0.2025603518520336,0.010320436673506,0.010320436673506,-0.0110395539018859,0.1171203895504658,0.1171203895504658,0.0459204209658259,0.024560430390434,0.031680427248898,0.0,0.0,0.0,-0.0110395539018859,0.0
german,-0.0499999999999999,0.1857142857142857,0.0785714285714285,-0.0071428571428571,0.1214285714285714,0.0571428571428571,0.1214285714285714,-0.0285714285714285,0.2071428571428571,0.1214285714285714,0.1428571428571428,0.1214285714285714,0.1214285714285714,0.1642857142857142,0.1214285714285714,0.1642857142857142,0.0,0.1214285714285714,0.1214285714285714,0.1428571428571428,0.1428571428571428,0.0571428571428571,0.1214285714285714,0.1214285714285714,0.0785714285714285,0.1428571428571428,0.1214285714285714,0.1,0.1214285714285714,0.0785714285714285,0.1428571428571428,0.1642857142857142,0.0785714285714285,0.0785714285714285,0.1,0.0357142857142857,0.0785714285714285,0.0357142857142857
hepatitis,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,0.6517412935323383,0.3034825870646765,0.3034825870646765,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,0.0,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,0.3034825870646765,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985,-0.044776119402985
lymphography,-0.0422535211267605,0.6525821596244131,0.8262910798122066,-0.0422535211267605,0.6525821596244131,0.6525821596244131,0.6525821596244131,-0.0422535211267605,0.4788732394366197,0.4788732394366197,0.3051643192488263,0.3051643192488263,0.3051643192488263,0.3051643192488263,0.6525821596244131,0.8262910798122066,0.0,0.4788732394366197,0.6525821596244131,1.0,1.0,0.1314553990610328,0.8262910798122066,0.8262910798122066,1.0,0.8262910798122066,0.3051643192488263,0.6525821596244131,0.4788732394366197,0.3051643192488263,0.4788732394366197,0.4788732394366197,0.4788732394366197,0.1314553990610328,0.1314553990610328,-0.0422535211267605,-0.0422535211267605,-0.0422535211267605
scenario-1-9-rcat-1-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9892227279900352,0.0,0.9964075759966784,-0.0489878089699138,0.732963149086426,0.847920717192718,0.7317656744186521,0.6766818397010539,0.4060525647841593,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7844545598007026,-0.0489878089699122,1.0,1.0,1.0,0.9341388932724368,-0.0489878089699122,1.0,1.0,1.0,0.9844328293189396,-0.0106686196011502,0.0,0.0,0.0,-0.0154585182722453,-0.003483771594506
scenario-1-9-rcat-2-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9892227279900352,0.0,0.9964075759966784,-0.0489878089699138,0.6958414343854359,0.7377530477575215,0.6587197196844459,0.54256467691038,0.3294141860466306,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5868712396180134,-0.0489878089699122,1.0,1.0,1.0,0.8407358691860748,-0.0489878089699122,1.0,1.0,1.0,0.7868495091362504,-0.009471144933375,0.0,0.0,0.0,-0.0118660942689237,-0.003483771594506
scenario-1-9-rcat-3-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9916176773255828,0.0,0.9964075759966784,-0.0489878089699138,0.6623121436877675,0.8167863758305972,0.6958414343854359,0.4934682155316511,0.3521662047343337,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7018288077243052,-0.0489878089699122,1.0,1.0,1.0,0.8107990024917279,-0.0489878089699122,1.0,1.0,1.0,0.8898323305648035,-0.0142610436044711,0.0,0.0,0.0,-0.0154585182722453,0.0025036017443629
scenario-1-9-rcat-4-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9952101013289044,0.0,0.9952101013289044,-0.0489878089699138,0.6874591117110188,0.7892444584717981,0.6647070930233152,0.4467667034884701,0.3150444900333445,0.0,0.0,0.0,0.0,0.0,1.0,0.998802525332226,1.0,0.6539298210133503,-0.0489878089699122,1.0,1.0,1.0,0.8119964771595017,-0.0489878089699122,1.0,1.0,1.0,0.8778575838870648,-0.0202484169433401,0.0,0.0,0.0,-0.0154585182722453,-0.0082736702656021
scenario-1-9-rcat-5-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9952101013289044,0.0,0.9952101013289044,-0.0489878089699138,0.6383626503322899,0.6575222450166719,0.6012409356312999,0.5114303355482593,0.4994555888705206,0.0,0.0,0.0,0.0,0.0,1.0,0.998802525332226,1.0,0.6024384102990736,1.0,1.0,1.0,1.0,0.7868495091362504,1.0,1.0,1.0,1.0,0.8778575838870648,1.0,0.0,0.0,0.0,-0.0166559929400192,-0.0154585182722453
scenario-1-9-rcat-6-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9952101013289044,0.0,0.9928151519933568,-0.0489878089699138,0.6108207329734909,0.886239906561482,0.6742868903655062,0.3821030714286809,0.4934682155316511,0.0,0.0,0.0,0.0,0.0,1.0,0.9976050506644524,1.0,0.6335727516611945,1.0,1.0,1.0,1.0,0.7784671864618332,1.0,1.0,1.0,1.0,0.9006096025747684,1.0,0.0,0.0,0.0,-0.0106686196011499,-0.0154585182722453
scenario-1-9-rcat-7-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9952101013289044,0.0,0.9916176773255828,-0.0489878089699138,0.6132156823090386,0.7880469838040242,0.5844762902824656,0.4611363995017566,0.4934682155316511,0.0,0.0,0.0,0.0,0.0,1.0,0.998802525332226,1.0,0.5868712396180134,1.0,1.0,1.0,1.0,0.7557151677741296,1.0,1.0,1.0,1.0,0.8766601092192909,1.0,0.0,0.0,0.0,-0.0142610436044715,-0.0154585182722453
scenario-1-9-rcat-8-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9964075759966784,0.0,0.9916176773255828,-0.0489878089699138,0.6383626503322899,0.5772914422758223,0.5509469995847971,0.1282384418606195,0.4455692288206963,0.0,0.0,0.0,0.0,0.0,1.0,0.9964075759966784,1.0,0.1054864231729159,1.0,1.0,1.0,1.0,0.6539298210133503,1.0,1.0,1.0,1.0,0.7545176931063557,1.0,0.0,0.0,0.0,-0.009471144933376,-0.0154585182722453
scenario-1-9-rcat-9-icat,-0.0489878089699138,1.0,0.998802525332226,0.0,0.9952101013289044,0.0,0.9904202026578092,-0.0489878089699138,0.637165175664516,0.7090136557309485,0.560526796926988,0.1402131885383582,0.4743086208472692,0.0,0.0,0.0,0.0,0.0,1.0,0.9952101013289044,1.0,0.1258434925250717,1.0,1.0,1.0,1.0,0.6539298210133503,1.0,1.0,1.0,1.0,0.6611146690199936,0.998802525332226,0.0,0.0,0.0,-0.0118660942689237,-0.0130635689366976
KDDTrain20ProbeFS,-0.1701985277715815,0.2750801606028385,0.2464514504432891,-0.1701985277715815,0.1038191266126769,0.5117782463862558,0.4775260395882236,-0.1701985277715815,0.4862168980295153,0.6707698331651819,0.5199578778604128,0.3635224259171607,0.3665897877199696,0.0,0.0,0.0,0.0,0.0,0.4729249968840102,0.4811046283581671,0.5061547497477729,0.4739474508182799,0.4943965295036722,0.4811046283581671,0.3993083136165976,0.46014432270564,0.4667902732783925,0.4591218687713703,-0.0091620331241161,-0.0168304376311383,-0.0071171252555769,-0.0214314803353516,-0.0147855297625991,0.0097533646598717,0.0061747758899281,0.0056635489227933,0.0107758185941414,0.0066860028570629
KDDTrain20R2LFS,-0.0155563825828061,0.0378939533426047,0.0816260463724863,-0.0155563825828061,0.0233165889993108,-0.0155563825828061,0.0233165889993108,-0.0155563825828061,0.3245821187607175,0.1593719895367203,0.3002865115218944,0.3634550903428344,0.1690902324322495,0.0,0.0,0.0,0.0,0.0,0.1447946251934264,0.1302172608501325,0.1302172608501325,0.1059216536113094,0.0962034107157802,0.227399689805425,0.2759909042830712,0.0670486820291924,0.0476121962381339,0.0524713176858986,0.1156398965068387,0.0864851678202509,0.0670486820291924,0.0864851678202509,0.0670486820291924,-0.0009790182395122,-0.0106972611350414,-0.0058381396872768,-0.0106972611350414,-0.0106972611350414
Average ADJ_R_PRECISION,-0.041±0.06,0.695±0.41,0.675±0.46,-0.009±0.06,0.667±0.44,0.097±0.21,0.675±0.44,-0.051±0.04,0.55±0.18,0.584±0.26,0.499±0.2,0.325±0.21,0.35±0.12,0.028±0.09,0.049±0.17,0.063±0.22,0.0±0.0,0.062±0.15,0.721±0.38,0.713±0.43,0.714±0.43,0.366±0.3,0.441±0.47,0.721±0.4,0.727±0.41,0.697±0.43,0.529±0.35,0.401±0.48,0.652±0.45,0.635±0.47,0.646±0.46,0.553±0.39,0.369±0.48,0.012±0.04,0.012±0.04,-0.003±0.02,-0.009±0.03,-0.01±0.02
Average Rank,32.933±9.59,6.4±10.17,14.467±7.55,24.867±8.1,13.333±4.56,22.0±10.08,15.0±6.86,34.333±6.97,13.667±7.81,12.933±6.64,14.733±8.22,19.333±7.24,17.6±7.22,21.333±6.43,20.933±5.96,20.067±7.81,24.0±5.72,20.2±7.39,4.067±4.42,9.4±7.07,4.667±7.92,20.2±6.46,14.333±15.55,3.267±3.47,4.467±7.0,5.067±6.11,16.467±3.68,16.6±14.3,6.667±8.8,8.4±10.95,6.867±9.02,15.8±6.49,17.667±13.29,23.267±4.61,23.4±4.81,24.333±5.67,30.667±7.12,29.8±7.73
