Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
thyroid_disease_variant1ori,0.6567884175494056,0.408243832281246,0.3980129784706609,0.665760202629073,0.6428650317589657,0.4878633628179578,0.3491743650661195,0.5424046003868016,0.7077733381765348,0.6747049901336135,0.7138207950049578,0.4430817486574842,0.6582303334936827,0.5,0.5,0.5,0.5,0.8494799285300556,0.4796119221291759,0.4377362287823603,0.439137648363947,0.4823214969419111,0.4084684030198015,0.5467867976948979,0.5656114705333739,0.4951846143273676,0.4780644702094029,0.3880116040486545,0.5677970469561461,0.5965445558162595,0.58473188953574,0.5073727923346522,0.5521777225827353,0.5,0.5,0.5,0.4995889005605678,0.5
german,0.4441285714285714,0.6835428571428571,0.6368000000000001,0.4584714285714286,0.6570857142857143,0.6041142857142857,0.6390571428571429,0.4245,0.6785142857142857,0.6433714285714286,0.6985428571428572,0.6785142857142857,0.6662857142857143,0.6519714285714285,0.6400571428571429,0.6793857142857143,0.5,0.6694857142857145,0.6283714285714286,0.6294,0.6458857142857143,0.6395142857142857,0.6777142857142857,0.6481428571428571,0.6466857142857143,0.6728714285714285,0.6392000000000001,0.6614857142857142,0.6234571428571428,0.6110571428571429,0.6688857142857143,0.6567714285714287,0.6608571428571427,0.5597857142857143,0.5638714285714286,0.5412142857142858,0.5356714285714286,0.5162
hepatitis,0.1990049751243781,0.8557213930348258,0.8457711442786069,0.1840796019900497,0.3681592039800995,0.900497512437811,0.8208955223880597,0.1641791044776119,0.8407960199004976,0.945273631840796,0.9104477611940298,0.4825870646766169,0.845771144278607,0.6069651741293532,0.7213930348258706,0.5671641791044776,0.5,0.6268656716417911,0.8955223880597015,0.835820895522388,0.8059701492537313,0.6567164179104477,0.8656716417910448,0.7810945273631841,0.7860696517412935,0.7761194029850746,0.7512437810945274,0.7537313432835822,0.4626865671641791,0.5174129353233831,0.4825870646766169,0.6218905472636815,0.5024875621890548,0.7835820895522387,0.6965174129353233,0.7985074626865671,0.5223880597014925,0.7388059701492538
lymphography,0.0093896713615023,0.9906103286384976,0.9976525821596244,0.0023474178403755,0.982394366197183,0.9741784037558686,0.9929577464788732,0.0704225352112675,0.8838028169014084,0.9565727699530516,0.8345070422535211,0.6842723004694835,0.8485915492957746,0.971830985915493,0.983568075117371,0.9577464788732396,0.5,0.9612676056338028,0.988262910798122,1.0,1.0,0.8145539906103286,0.9988262910798122,0.9929577464788732,1.0,0.9988262910798122,0.874413145539906,0.960093896713615,0.9741784037558684,0.8708920187793427,0.9730046948356808,0.789906103286385,0.9647887323943662,0.4154929577464788,0.5985915492957746,0.4342723004694835,0.5522300469483568,0.3028169014084507
scenario-1-9-rcat-1-icat,1.3405996387275398e-06,1.0,0.999996361229552,0.5,0.9999787419200143,0.5,0.9999638038097544,0.0,0.8071291428997502,0.9008361000756354,0.760469763988072,0.919720520724649,0.5197760790039626,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.9761548819021092,0.0,1.0,1.0,1.0,0.998850020862284,0.0,1.0,1.0,1.0,0.9998458310415465,0.6003073675781212,0.5,0.5,0.5,0.4738920773880931,0.5264646817110036
scenario-1-9-rcat-2-icat,1.3405996387275398e-06,1.0,0.999996297391474,0.5,0.9999855087562862,0.5,0.9999493764041184,0.0,0.801015050975982,0.8111863081111641,0.7883889643880558,0.6694812556081751,0.5403853726024334,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.9664280016281264,0.0,1.0,1.0,1.0,0.9963907865821552,0.0,1.0,1.0,1.0,0.9954537712727628,0.5648312708527081,0.5,0.5,0.5,0.478666048458719,0.5128640749428394
scenario-1-9-rcat-3-icat,1.3405996387275398e-06,1.0,0.99999642506763,0.5,0.9999894667171244,0.5,0.99993731100737,0.0,0.7357652576836787,0.8737467308520238,0.7420128988666954,0.7657622598475342,0.5294818927121939,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.967433706709484,0.0,1.0,1.0,1.0,0.9942224624236304,0.0,1.0,1.0,1.0,0.9980810273742786,0.5622517017954842,0.5,0.5,0.5,0.4760136401544575,0.5112681229919731
scenario-1-9-rcat-4-icat,1.3405996387275398e-06,1.0,0.9999966165818642,0.5,0.999994446087211,0.5,0.9999253094486994,0.0,0.7689868488452203,0.880004522289448,0.7396669133370002,0.7576141590814262,0.5093284029908905,0.5,0.5,0.5,0.5,0.5,1.0,0.999999872323844,1.0,0.9486661416623128,4.4686654624253253e-07,1.0,1.0,1.0,0.9940276286094688,0.0,1.0,1.0,1.0,0.9976447579489898,0.5472855027810419,0.5,0.5,0.5,0.4749539918971604,0.5005364952078032
scenario-1-9-rcat-5-icat,1.3405996387275398e-06,1.0,0.999996361229552,0.5,0.9999947652776012,0.5,0.9999185426124276,0.0,0.7552915382882917,0.7451295376744249,0.800246440516445,0.7102976629134985,0.6297427223314278,0.5,0.5,0.5,0.5,0.5,1.0,0.9999992339430636,1.0,0.945902527426115,1.0,1.0,1.0,1.0,0.9934872392789056,1.0,1.0,1.0,1.0,0.9977165757867787,1.0,0.5,0.5,0.5,0.4694231565733558,0.4769621782369351
scenario-1-9-rcat-6-icat,1.3405996387275398e-06,1.0,0.9999968080960984,0.5,0.9999948929537572,0.5,0.99991522303237,0.0,0.7524144199493483,0.9431837913587756,0.8278707728339868,0.6538551943001278,0.6403719538384305,0.5,0.5,0.5,0.5,0.5,1.0,0.9999957228487716,1.0,0.941140845185511,1.0,1.0,1.0,1.0,0.9924830663114206,1.0,1.0,1.0,1.0,0.9979042597362008,1.0,0.5,0.5,0.5,0.4819193965105596,0.4849782618576676
