Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.0443352131855045,0.0733925884602696,0.0561734031122607,0.0530276811032049,0.0949165701452808,0.0949165701452808,0.0873831765555269,0.0411066159327529,0.0109730415737372,0.1465741261893075,0.1541075197790614,-0.0105509401112738,0.0,0.4210048926731998,0.3553567485339158,0.0970689683137819,-0.0094747410270233,0.0,0.0809259820500235,0.0561734031122607,0.052944805859509,0.0002110507312317,0.0,0.0841545793027752,0.1293549408412986,0.0303446250902473,0.0045158470682339,0.0,0.0927641719767796,0.089535574724028,0.1153643527460414,0.0615543985335135,0.0,-0.0019413474372694,0.0077444443209856,0.0098968424894867,0.0034396479839833,0.0
census-income-full-nominal,0.1224876440647757,-0.0478681270874583,-0.0495836937657286,-0.0521570437831339,-0.0878408306911548,0.0,-0.0504414771048637,0.006686893281535,-0.030540903636929,0.058497006965296,0.0106326966415565,0.0121837526863729,0.0611425754395264,0.0,0.0,0.0,-0.0005702263501628,0.0,-0.038260953689145,-0.0512992604439988,-0.0386040670247991,0.0076581472217957,0.0130065900435688,-0.0154439168681509,-0.0317418003117181,-0.0283106669551777,0.0101266592933833,0.0537370392247637,0.0322488367877615,0.014235386665924,0.0850882904784847,0.0419430371049564,0.1083185839187556,-0.0051505167985295,0.0027410899215135,-0.0024056101132972,0.0047782164716102,0.0
chess_krkopt_zerovsall,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.0361094263481077,0.0,-0.0009632880231189,0.0,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.1844002838330141,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.1844002838330141,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,-0.0009632880231189,0.0
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.0296495956873315,-0.1320754716981132,0.0296495956873315,0.0296495956873315,0.5817654954642726,0.0296495956873315,-0.1320754716981132,-0.1320754716981132,0.0296495956873315,0.1913746630727762,0.0296495956873315,-0.0566037735849056,0.2955974842767295,0.0,0.0,0.0,-0.1320754716981132,0.0,0.0296495956873315,0.0296495956873315,0.0296495956873315,0.0296495956873315,0.2955974842767295,0.0296495956873315,0.0296495956873315,-0.1320754716981132,0.0296495956873315,0.2955974842767295,-0.1320754716981132,-0.1320754716981132,-0.1320754716981132,0.2955974842767295,0.2955974842767295,-0.1320754716981132,0.0,-0.1320754716981132,0.1913746630727762,-0.0566037735849056
solar-flare_FvsAll-cleaned,0.0846441947565543,0.0846441947565543,0.0846441947565543,0.0846441947565543,0.1550561797752809,0.2254681647940075,0.1550561797752809,-0.0561797752808988,0.0008643042350907,0.1477960242005185,0.1477960242005185,-0.0579083837510803,0.1771823681936041,0.4122731201382886,0.1771823681936041,0.0,0.0,0.0,0.0302506482281763,0.0890233362143474,0.0302506482281763,0.0890233362143474,0.0596369922212619,0.0596369922212619,0.1477960242005185,0.0596369922212619,0.0890233362143474,0.1477960242005185,0.0596369922212619,0.118409680207433,0.0890233362143474,0.118409680207433,0.0302506482281763,-0.0579083837510803,-0.0285220397579948,0.0302506482281763,0.0008643042350907,0.0
bands_band_16_variant1ori,-0.0512820512820512,0.2772435897435897,0.2772435897435897,-0.0512820512820512,0.0144230769230769,0.0144230769230769,0.1458333333333333,0.0144230769230769,0.1458333333333333,0.2115384615384615,0.2115384615384615,0.0801282051282051,0.0801282051282051,0.0,0.0,0.0,0.0,0.0144230769230769,0.1458333333333333,0.2772435897435897,0.2115384615384615,0.2115384615384615,0.1458333333333333,0.4086538461538462,0.1458333333333333,0.4743589743589744,0.3429487179487179,0.0144230769230769,0.4086538461538462,0.1458333333333333,0.2772435897435897,0.2772435897435897,0.0144230769230769,0.0801282051282051,-0.0512820512820512,-0.0512820512820512,0.0144230769230769,-0.0512820512820512
creditA_plus_42_variant1ori,-0.0548302872062663,0.7990799452940445,0.6483899042645779,-0.0046002735297774,0.5479298769116001,0.7990799452940445,0.7488499316175555,-0.0046002735297774,0.2967798085291558,0.3972398358821335,0.5479298769116001,0.2465497948526669,0.0,0.0,0.0,0.0,0.0,0.0,0.5479298769116001,0.7488499316175555,0.6483899042645779,0.4976998632351113,0.0,0.4474698495586224,0.3972398358821335,0.6986199179410668,0.598159890588089,0.0,0.2967798085291558,0.1460897674996892,0.196319781176178,0.4976998632351113,0.0,0.0958597538232003,0.0456297401467114,0.0958597538232003,0.0456297401467114,0.0
sick_sick_35_variant1ori,-0.0100632547441058,-0.0100632547441058,0.0476546455269859,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,-0.0100632547441058,0.1053725457980777,0.1342314959336235,0.1630904460691694,-0.0100632547441058,0.1053725457980777,0.0,0.0,0.0,0.0,0.1342314959336235,0.0765135956625318,0.0765135956625318,0.1053725457980777,0.01879569539144,0.1053725457980777,0.1342314959336235,0.1053725457980777,0.1342314959336235,0.01879569539144,0.1053725457980777,0.01879569539144,0.01879569539144,0.0765135956625318,0.0765135956625318,0.1053725457980777,0.0476546455269859,0.01879569539144,0.01879569539144,0.01879569539144,0.01879569539144
thyroid_disease_variant1ori,0.1456003769843218,-0.0252795476188138,-0.0537595350526698,0.1456003769843218,0.2025603518520336,-0.0537595350526698,-0.0537595350526698,-0.0181595507603498,0.1812003612766417,0.2096803487104976,0.1883203581351057,-0.0181595507603498,0.1740803644181777,0.0,0.0,0.0,0.0,0.3734402764551693,0.1171203895504658,-0.0039195570434219,-0.0181595507603498,-0.0110395539018859,-0.0323995444772778,0.2025603518520336,0.2025603518520336,0.010320436673506,0.010320436673506,-0.0110395539018859,0.1171203895504658,0.1171203895504658,0.0459204209658259,0.024560430390434,0.031680427248898,0.0,0.0,0.0,-0.0110395539018859,0.0
anneal,-0.0154220779220779,0.1350108225108225,0.1726190476190476,-0.053030303030303,0.0597943722943722,0.0221861471861471,-0.0154220779220779,-0.053030303030303,0.2102272727272727,0.7367424242424242,0.7367424242424242,0.1350108225108225,0.1350108225108225,0.4358766233766233,0.5110930735930735,0.323051948051948,0.0,0.2102272727272727,0.3606601731601731,0.661525974025974,0.5110930735930735,0.3982683982683982,0.3982683982683982,0.4734848484848484,0.7743506493506493,0.4734848484848484,0.3982683982683982,0.323051948051948,0.1350108225108225,0.623917748917749,0.323051948051948,0.1726190476190476,0.1350108225108225,0.0221861471861471,-0.0154220779220779,0.0221861471861471,0.0597943722943722,-0.0154220779220779
