Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.0976468147783717,-0.0441307925274836,-0.018280405844168,0.0495656386392447,0.5289848314737279,0.0777660253058287,-0.0377381037212484,0.0252225182373717,0.0808676199511778,0.1483704974271011,0.0698218373420529,0.0401775804661487,0.1002925689942658,0.0,0.0,0.0,-0.0090294917881124,0.0,0.0153313363296312,0.0423273872799782,0.0533714981979196,0.0292768028617085,0.1636357726748249,0.0133092585017257,0.063565300416243,-0.0186571663805058,0.0390775681341719,0.1666132098713783,0.0004373680059191,-0.0227853270220887,-0.010965543112488,0.0831027253668763,0.1666132098713783,0.0178614866369858,0.0,-0.0038918309142218,0.0880180616029672,0.0127401993685832
solar-flare_FvsAll-cleaned,0.0490691567296972,0.0283345066047532,0.0395115235017591,0.060424571982747,0.1298863957101296,0.1198664741335528,0.0890376244564199,-0.0073573827594754,0.0144394005441521,0.057417767337724,0.0813073164538283,0.0107930875088521,0.0571988315363231,0.1956810848526884,0.1611588803830478,0.0,0.0,0.0,0.010080307898844,0.0180065035446406,0.0138518131012818,0.0502550329494059,0.0140815920555869,0.0150628502048051,0.0398656976106876,0.0016727218051154,0.0851643089003859,0.0493839001422321,0.0179800490223037,0.0299871280306418,0.0156366542907423,0.0567157105297063,0.0539982064604837,0.0048921093085452,0.010805033273244,0.0064781508644624,0.0094689186632979,0.0
bands_band_16_variant1ori,-0.0182496485464492,0.0982719099029187,0.1411290890112916,-0.0184284506757625,0.0341630617541815,-0.007085075825009,0.1311641926998574,0.030565129376441,0.0590580721557729,0.1056898559702265,0.1738605793217448,0.0393954870886694,0.0322816562222605,0.0,0.0,0.0,0.0,0.0410683268307894,0.0776068870015609,0.2384522363091184,0.1353999362012154,0.0759099371707444,0.1282448920188232,0.41506230255929,0.1039564602712362,0.3570623019808126,0.2204070599351397,0.0437554064513794,0.3768135951776813,0.0858124323507819,0.2316469462619365,0.1546356029284371,0.0518772166255994,0.0379788865203829,0.005975091652751,0.0149296878234737,0.0206474099371723,0.0028364220181308
creditA_plus_42_variant1ori,-0.0254100383291575,0.8201232007106052,0.587524042741687,-0.0190627864919468,0.5918820809025445,0.8132922276090299,0.8204141303700985,0.0217377954009134,0.2635770312409364,0.3478346957990306,0.3863000843511917,0.2164547275980793,0.0,0.0,0.0,0.0,0.0,0.0,0.5325715509585623,0.7925565287333356,0.6472643134080497,0.4734264426078001,0.0,0.4105963952968042,0.3213345972256103,0.638623889788139,0.5762409080540456,0.0,0.2791785571040924,0.1440238687410349,0.1582537946838512,0.3857519483510023,0.0,0.0618078679031403,0.0747697040504757,0.0458441581560683,0.0361277178830337,0.0
sick_sick_35_variant1ori,-0.0044046251623684,0.0051978281814975,0.0460077041063918,-0.0043695516821371,-0.0016200363825632,0.0091002191069957,0.0179867149820751,-0.0036306590828821,0.0506500267281775,0.0696372735150199,0.1332695094941294,2.248162838900928e-05,0.058616199314982,0.0,0.0,0.0,0.0,0.0663775970619457,0.0379427069675312,0.0627143363349145,0.0935589126873779,0.0124641768840335,0.0729937144700987,0.0546331623459453,0.049757037485822,0.0896796892366318,0.022453331865009,0.0645039168202915,0.0317117190557976,0.0257642732261232,0.0326265823279112,0.039161253970079,0.0358655361934037,0.009439517957795,0.0125699316196916,0.0059600853559222,0.0198420421358549,0.0056733195138986
thyroid_disease_variant1ori,0.0540242601907559,-0.0070456434472404,-0.0105202281322428,0.051504407736423,0.0961861353492173,-0.0063335990617489,-0.0159837995772487,0.0020115431895982,0.0916272231598629,0.1395646071025493,0.1602979559185564,-0.0080088904359792,0.0913030459396226,0.0,0.0,0.0,0.0,0.2255142884726983,0.0295993935257399,-0.0027412349475243,-0.0056810988537383,-0.0031549195654955,-0.008335031431674,0.0600460599093025,0.053933157791552,-0.0033015886415343,-0.0032611364375191,-0.0104318298911516,0.054269032276568,0.0573129634765958,0.0246563713486048,-0.000609641005889,0.0159049700649976,0.0,0.0,0.0,-0.0008164517585604,0.0
anneal,-0.01606881583245,0.0932366581898899,0.1078885842848881,-0.0189376543314082,0.0502008345287894,0.0641071843192868,0.0171258737512674,0.0099744763409878,0.1361139117726527,0.6873221732754036,0.6248489242020742,0.05359221961002,0.0596794381496569,0.3224775264909718,0.3489605828576625,0.2621381378921582,0.0,0.1615432636793502,0.2476293010192158,0.5128719263624845,0.4826910568039318,0.3035264215830594,0.2371427501311583,0.3724522924042434,0.5576161213733313,0.3578492793889892,0.2940747025947406,0.2227066260820202,0.1210033592233176,0.4946969290833671,0.2523757144713734,0.091654253921005,0.0827793561259533,0.017449323286216,0.0135734049982485,0.0168393987191931,0.0247894753739745,0.0102298069395997
australian,-0.020533034144572,0.2907709717509028,0.3957021094006265,-0.0198773681388772,0.1248636542040018,0.1459980049044153,0.3012004156662659,-0.0280241975869689,0.130935310511376,0.2146517529372319,0.346059799961451,0.1476559775142662,0.4952821412269828,0.318030937428497,0.2501311408671575,0.4516920578301702,0.0,0.1899723785663632,0.3118738496375131,0.3383532459154743,0.3500570265112769,0.247098973727534,0.4687354284597513,0.3130368061147933,0.2538801974702447,0.4110532692865677,0.2049689724528103,0.3169237353251299,0.174877062170112,0.0841834209012335,0.0981043407581821,0.1567857038653181,0.0314683447127941,0.0496172130131429,0.0677819491326061,0.0313576713703308,0.06549826262707,0.0222641912251777
crx,-0.0266622366563774,0.3264162681007909,0.3525875380657424,-0.0303894727171807,0.1216346448948428,0.2294504992145901,0.2631377010834572,0.0896501624295178,0.066210046135311,0.2043966701735914,0.1638779118855376,0.2237676531096435,0.2947878852415088,0.1461870772781792,0.1873958918688862,0.2243204345407003,0.0,0.1531480193257099,0.1767366755294571,0.2455180530928161,0.2247266924651679,0.3224995469708411,0.2754352084545369,0.1458011672430329,0.1752304369878742,0.2514629248866095,0.2309546229713615,0.1682922736973613,0.1066109800333013,0.059308306996836,0.0985239755468678,0.1659990453002778,0.0577522207059759,0.0595810843139562,0.0592932114358125,0.106192680017299,0.01808845387272,0.036120358279926
ecoli,-0.0061949136138259,0.0559956643492277,0.2545270208332902,-0.0116473436961802,0.014457810795991,0.2494158049061558,0.0256288413213482,-0.0109368784519277,0.6663134687214931,0.6685170411736029,0.6513408440013946,0.0541826842035076,0.6529263435617287,0.1653107558467288,0.1653107558467288,0.1653107558467288,0.0,0.2094884058760401,0.5062954052599538,0.4880262907826763,0.5101776705516534,0.0844793799478382,0.4793536510539121,0.5779552256548309,0.5779552256548309,0.5779552256548309,0.133531717544842,0.5183319945917884,0.4852065053000474,0.5156394548499922,0.4966112523355512,0.1153662293700375,0.2969360687565669,-0.0030508926596782,-0.0050771099787592,-0.0015398460560601,-0.0016452949150968,-0.0029240263842238
